GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,14915,N.A.,15428,N.A.,16581,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,15706,N.A.,16941,N.A.,17493,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,15626,N.A.,16131,N.A.,17028,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,15609,N.A.,16187,N.A.,17027,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,11399,1|57,11733,1|57,11205,1|57,957,986,1060
A. K-6,Bergen,3870,Oradell Boro,14234,15|57,15008,18|57,15821,14|57,739,752,751
A. K-6,Bergen,4410,River Edge Boro,14036,13|57,13882,12|57,14362,8|57,1199,1239,1318
A. K-6,Bergen,4620,Saddle River Boro,29039,57|57,26297,55|57,24557,54|57,146,161,183
A. K-6,Burlington,200,Bass River Twp,20018,48|57,20646,50|57,21276,49|57,111,105,108
A. K-6,Burlington,830,Chesterfield Twp,13559,10|57,12742,5|57,15362,12|57,755,786,775
A. K-6,Burlington,2960,Mansfield Twp,17973,39|57,18872,40|57,20228,43|57,565,538,565
A. K-6,Burlington,3650,North Hanover Twp,16992,35|57,18029,34|57,19975,41|57,1119,1104,1180
A. K-6,Burlington,5010,Springfield Twp,19482,46|57,18310,35|57,19299,37|57,217,227,226
A. K-6,Camden,2540,Laurel Springs Boro,13728,11|57,13394,10|57,15930,15|57,186,188,170
A. K-6,Camden,3770,Oaklyn Boro,15923,31|57,18624,37|57,18372,32|57,358,247,273
A. K-6,Camden,5560,Waterford Twp,16333,34|57,18588,36|57,20149,42|57,806,832,871
A. K-6,Cape May,710,Cape May City,20299,50|57,24735,54|57,23061,52|57,168,151,174
A. K-6,Cape May,2840,Lower Twp,14391,18|57,14979,17|57,16530,20|57,1657,1708,1633
A. K-6,Cape May,5610,West Cape May Boro,14545,20|57,16209,26|57,16211,16|57,100,96,106
A. K-6,Essex,1400,Essex Fells Boro,19141,44|57,18758,39|57,19900,40|57,228,252,262
A. K-6,Essex,1465,Fairfield Twp,15424,27|57,16159,25|57,17493,29|57,689,674,676
A. K-6,Essex,3630,North Caldwell Boro,17227,36|57,17228,30|57,19238,36|57,675,673,673
A. K-6,Essex,4530,Roseland Boro,15005,22|57,15217,22|57,16966,24|57,460,465,486
A. K-6,Gloucester,1180,East Greenwich Twp,11671,2|57,11830,3|57,13086,3|57,1270,1299,1305
A. K-6,Gloucester,1330,Elk Twp,12895,8|57,14717,16|57,16214,17|57,374,348,347
A. K-6,Gloucester,1590,Franklin Twp,12641,6|57,12190,4|57,14181,6|57,1406,1410,1419
A. K-6,Gloucester,2070,Harrison Twp,12148,3|57,12857,6|57,13481,4|57,1396,1358,1348
A. K-6,Gloucester,2990,Mantua Twp,14423,19|57,15029,19|57,14629,10|57,1279,1270,1310
A. K-6,Gloucester,3490,National Park Boro,15092,23|57,15211,21|57,16540,21|57,272,270,266
A. K-6,Gloucester,4880,South Harrison Twp,12694,7|57,12931,7|57,13040,2|57,369,359,363
A. K-6,Gloucester,5120,Swedesboro-Woolwich,12561,5|57,13145,8|57,14307,7|57,1675,1646,1657
A. K-6,Gloucester,5590,Wenonah Boro,16078,32|57,16941,29|57,17310,28|57,179,176,178
A. K-6,Gloucester,5740,Westville Boro,12172,4|57,11776,2|57,13508,5|57,361,395,409
A. K-6,Gloucester,5870,Woodbury Heights Boro,14350,17|57,14656,15|57,16651,22|57,231,235,234
A. K-6,Hunterdon,2590,Lebanon Boro,19029,43|57,20626,47|57,18537,33|57,110,106,123
A. K-6,Monmouth,130,Atlantic Highlands Boro,15803,30|57,16494,27|57,17293,27|57,316,309,319
A. K-6,Monmouth,2160,Highlands Boro,20469,52|57,22225,52|57,24605,55|57,198,188,199
A. K-6,Monmouth,4520,Roosevelt Boro,22472,54|57,23075,53|57,17644,30|57,80,80,106
A. K-6,Morris,3240,Mine Hill Twp,15302,25|57,17252,31|57,15755,13|57,365,348,400
A. K-6,Ocean,230,Beach Haven Boro,25568,56|57,27360,57|57,30903,57|57,68,67,67
A. K-6,Ocean,320,Berkeley Twp,13363,9|57,14032,13|57,14840,11|57,2167,2258,2433
A. K-6,Ocean,1150,Eagleswood Twp,16128,33|57,20636,49|57,20555,44|57,147,133,130
A. K-6,Ocean,2350,Island Heights Boro,18651,40|57,17931,33|57,18550,34|57,117,123,128
A. K-6,Ocean,2690,Little Egg Harbor Twp,14303,16|57,14401,14|57,16281,18|57,1606,1623,1617
A. K-6,Ocean,2760,Long Beach Island,25475,55|57,27262,56|57,29085,56|57,233,220,239
A. K-6,Ocean,3800,Ocean Gate Boro,17560,38|57,20356,44|57,19591,39|57,151,138,152
A. K-6,Ocean,3820,Ocean Twp,18819,41|57,13333,9|57,19225,35|57,497,708,532
A. K-6,Ocean,4710,Seaside Heights Boro,17263,37|57,19067,41|57,20649,45|57,227,204,206
A. K-6,Ocean,5020,Stafford Twp,15391,26|57,16826,28|57,17970,31|57,2187,2086,2128
A. K-6,Ocean,5220,Tuckerton Boro,15257,24|57,15691,24|57,16334,19|57,296,310,300
A. K-6,Sussex,1630,Fredon Twp,21101,53|57,21726,51|57,21256,48|57,218,194,201
A. K-6,Sussex,1980,Hampton Twp,20062,49|57,20260,43|57,20878,46|57,281,278,308
A. K-6,Sussex,4650,Sandyston-Walpack Twp,19366,45|57,20419,45|57,22025,50|57,141,132,122
A. K-6,Sussex,5040,Stillwater Twp,18987,42|57,19950,42|57,23476,53|57,285,266,248
A. K-6,Warren,400,Blairstown Twp,15706,29|57,17711,32|57,16958,23|57,466,466,462
A. K-6,Warren,1620,Franklin Twp,20403,51|57,20484,46|57,20906,47|57,216,205,215
A. K-6,Warren,1670,Frelinghuysen Twp,14930,21|57,15145,20|57,17199,25|57,140,146,139
A. K-6,Warren,2470,Knowlton Twp,19506,47|57,20634,48|57,22477,51|57,184,175,182
A. K-6,Warren,2970,Mansfield Twp,13766,12|57,13840,11|57,14567,9|57,633,624,627
A. K-6,Warren,5480,Washington Boro,15590,28|57,15322,23|57,17199,25|57,474,489,512
A. K-6,Warren,5530,Washington Twp,14212,14|57,18631,38|57,19379,38|57,546,426,421
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,15947,N.A.,16500,N.A.,17598,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,16393,N.A.,16944,N.A.,18142,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,15626,N.A.,16131,N.A.,17028,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,15609,N.A.,16187,N.A.,17027,N.A.,,,
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,16868,33|75,16790,23|77,18014,26|77,183,181,180
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,14118,N.R.,14156,7|77,14669,6|77,395,397,396
B. K-8 / 0 - 400,Atlantic,3020,Margate City,27516,70|75,27647,72|77,30327,73|77,367,354,352
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,16910,34|75,18769,40|77,18938,36|77,115,102,107
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,19597,48|75,18132,35|77,16642,20|77,155,166,178
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,31020,72|75,30597,75|77,35506,76|77,147,139,140
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,19895,50|75,21008,58|77,21690,59|77,416,398,404
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,17512,39|75,18027,33|77,19611,42|77,313,318,334
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,16690,28|75,17292,27|77,18778,35|77,293,290,286
B. K-8 / 0 - 400,Burlington,380,Beverly City,16725,29|75,16528,22|77,17867,25|77,293,307,304
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,21222,59|75,22655,64|77,23218,63|77,188,170,172
B. K-8 / 0 - 400,Burlington,4460,Riverton,13503,8|75,14654,9|77,15530,10|77,295,294,292
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,18275,1|75,18897,43|77,18151,29|77,131,132,139
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,14365,14|75,14089,5|77,14332,4|77,310,320,322
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,15086,17|75,15241,13|77,15825,12|77,265,275,293
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,13422,6|75,15545,14|77,14748,7|77,370,307,334
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,15298,33|75,17345,28|77,19915,44|77,420,403,406
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,13091,4|75,13842,3|77,18047,27|77,366,375,380
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,39061,74|75,33087,77|77,31486,74|77,73,84,97
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,31558,73|75,29439,74|77,35423,75|77,209,217,219
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,25265,68|75,24157,68|77,24823,68|77,90,98,106
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,23602,66|75,25801,71|77,27044,70|77,275,266,292
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,16257,25|75,16322,21|77,15746,11|77,211,220,241
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,14124,12|75,16885,24|77,16797,22|77,330,302,311
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,16324,26|75,17227,26|77,18526,32|77,181,180,185
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,21443,61|75,21604,60|77,16325,17|77,62,67,93
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,15920,20|75,15713,15|77,16067,15|77,111,117,131
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,12476,3|75,12163,1|77,9634,1|77,255,241,334
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,21370,60|75,23928,67|77,23705,65|77,368,332,349
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,21979,63|75,20689,53|77,22954,62|77,84,90,98
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,28244,71|75,31713,76|77,35703,77|77,86,76,71
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,17745,41|75,18865,42|77,19487,39|77,444,419,427
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,19318,47|75,21004,57|77,23785,66|77,389,373,362
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,19260,46|75,19699,50|77,21065,50|77,352,363,367
