GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
A. K-6,,,1. State average - Operating Type K-6,13377,,13685,,14481,,,,,
A. K-6,,,2. State median - Operating Type K-6,14234,,14639,,15516,,,,,
A. K-6,,,5. State average - All operating types,14546,,14736,,15296,,,,,
A. K-6,,,6. State median - All operating types,14149,,14490,,14922,,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,10514,4|56,10653,4|56,11290,3|56,802,907,1050,
A. K-6,BERGEN,3870,ORADELL BORO,12270,11|56,12973,14|56,13801,16|56,774,739,766,
A. K-6,BERGEN,4410,RIVER EDGE BORO,12447,14|56,12504,11|56,13348,12|56,1167,1202,1202,
A. K-6,BERGEN,4620,SADDLE RIVER BORO,22298,55|56,24031,54|56,25051,55|56,198,188,194,
A. K-6,BURLINGTON,200,BASS RIVER TWP,19785,51|56,19443,52|56,17395,43|56,109,116,131,
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,10744,6|56,11073,5|56,10908,1|56,696,728,767,
A. K-6,BURLINGTON,2960,MANSFIELD TWP,13410,22|56,13561,21|56,14312,21|56,727,658,672,
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15739,39|56,15393,33|56,16281,33|56,1267,1209,1240,
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,17642,47|56,18412,47|56,18352,47|56,245,245,249,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11880,10|56,11342,7|56,12441,9|56,191,200,204,
A. K-6,CAMDEN,5560,WATERFORD TWP,13904,25|56,14148,25|56,16857,39|56,898,877,838,
A. K-6,CAPE MAY,710,CAPE MAY CITY,19584,50|56,17428,45|56,17435,44|56,160,175,182,
A. K-6,CAPE MAY,2840,LOWER TWP,13369,21|56,13503,20|56,13904,17|56,1826,1788,1812,
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,14514,30|56,13960,24|56,14106,19|56,75,82,97,
A. K-6,ESSEX,1400,ESSEX FELLS BORO,18874,48|56,19408,51|56,20662,53|56,207,209,208,
A. K-6,ESSEX,1465,FAIRFIELD TWP,15093,35|56,15749,35|56,16646,35|56,643,627,617,
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,15262,37|56,15793,36|56,16922,40|56,672,665,680,
A. K-6,ESSEX,4530,ROSELAND BORO,16475,42|56,15648,34|56,16441,34|56,419,436,439,
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9840,2|56,10559,2|56,11210,2|56,1221,1243,1322,
A. K-6,GLOUCESTER,1330,ELK TWP,13181,18|56,13495,18|56,14221,20|56,354,350,346,
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,11557,8|56,11757,9|56,13298,11|56,1385,1399,1396,
A. K-6,GLOUCESTER,2070,HARRISON TWP,10503,3|56,10631,3|56,11466,4|56,1473,1494,1463,
A. K-6,GLOUCESTER,2990,MANTUA TWP,13206,19|56,14301,26|56,13427,13|56,1312,1270,1345,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,13524,23|56,13496,19|56,14869,25|56,272,271,271,
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,9830,1|56,10194,1|56,11718,5|56,373,386,383,
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,10695,5|56,11544,8|56,12137,7|56,1760,1751,1754,
A. K-6,GLOUCESTER,5590,WENONAH BORO,13028,17|56,14599,28|56,14845,24|56,223,208,206,
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,12692,16|56,13417,16|56,13946,18|56,365,355,380,
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,14134,27|56,13879,23|56,15468,28|56,212,220,224,
A. K-6,HUNTERDON,2590,LEBANON BORO,22094,54|56,22237,53|56,19398,50|56,91,92,105,
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13941,26|56,14401,27|56,15406,27|56,320,317,311,
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,19477,49|56,19251,50|56,20653,52|56,177,178,189,
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,15649,38|56,17356,44|56,17352,42|56,96,93,101,
A. K-6,MORRIS,3240,MINE HILL TWP,11681,9|56,13389,15|56,12299,8|56,389,367,405,
A. K-6,OCEAN,230,BEACH HAVEN BORO,20189,52|56,26613,56|56,25989,56|56,74,63,70,
A. K-6,OCEAN,320,BERKELEY TWP,12582,15|56,12655,13|56,13794,15|56,2112,2103,2087,
A. K-6,OCEAN,1150,EAGLESWOOD TWP,15087,34|56,16085,38|56,16169,32|56,143,138,144,
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,17493,46|56,17848,46|56,16004,31|56,106,121,135,
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,14163,28|56,15061,31|56,15563,29|56,1666,1614,1620,
A. K-6,OCEAN,2760,LONG BEACH ISLAND,23868,56|56,24207,55|56,24257,54|56,230,230,246,
A. K-6,OCEAN,3800,OCEAN GATE BORO,17214,45|56,16098,39|56,16724,36|56,143,152,160,
A. K-6,OCEAN,3820,OCEAN TWP,16462,41|56,16453,40|56,18634,49|56,519,542,535,
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,21444,53|56,15961,37|56,16763,38|56,204,227,229,
A. K-6,OCEAN,5020,STAFFORD TWP,13351,20|56,13634,22|56,15303,26|56,2271,2203,2155,
A. K-6,OCEAN,5220,TUCKERTON BORO,12315,12|56,12591,12|56,13599,14|56,328,331,343,
A. K-6,SUSSEX,1630,FREDON TWP,15199,36|56,16908,43|56,17563,45|56,276,246,250,
A. K-6,SUSSEX,1980,HAMPTON TWP,16336,40|56,16619,41|56,17224,41|56,325,316,341,
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,16531,43|56,18801,49|56,18399,48|56,148,143,148,
A. K-6,SUSSEX,5040,STILLWATER TWP,14974,32|56,15014,30|56,16741,37|56,343,350,351,
A. K-6,WARREN,400,BLAIRSTOWN TWP,13725,24|56,13448,17|56,14539,23|56,533,541,537,
A. K-6,WARREN,1620,FRANKLIN TWP,17162,44|56,18438,48|56,19448,51|56,251,231,236,
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,14916,31|56,14678,29|56,14537,22|56,153,152,164,
A. K-6,WARREN,2470,KNOWLTON TWP,15085,33|56,16886,42|56,17916,46|56,242,217,217,
A. K-6,WARREN,2970,MANSFIELD TWP,11278,7|56,11246,6|56,12024,6|56,708,706,705,
A. K-6,WARREN,5480,WASHINGTON BORO,12348,13|56,12257,10|56,13003,10|56,551,566,559,
A. K-6,WARREN,5530,WASHINGTON TWP,14304,29|56,15181,32|56,15973,30|56,545,519,507,
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,13878,,14407,,15369,,,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,14143,,14616,,15570,,,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,14546,,14736,,15296,,,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,14149,,14490,,14922,,,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,15506,41|75,16457,43|75,16307,40|75,177,164,175,
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,10725,N.A.,11946,N.A.,13625,9|75,435,415,423,
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,20182,N.A.,22448,N.A.,23494,71|75,456,425,441,
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,13748,23|75,13401,16|75,14637,19|75,128,133,126,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,14896,36|75,15039,31|75,14886,22|75,193,182,188,
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,24191,72|75,26092,73|75,27924,73|75,160,155,164,
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,22612,71|75,17270,53|75,18781,53|75,288,293,293,
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,18740,63|75,18047,55|75,18894,55|75,253,249,250,
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,14212,30|75,14049,23|75,14634,18|75,289,303,318,
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,12878,13|75,13687,19|75,16428,42|75,390,387,388,
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,19048,64|75,20489,66|75,23144,69|75,188,186,182,
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,12057,9|75,13121,14|75,13347,7|75,303,293,297,
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,27746,73|75,21379,69|75,22168,65|75,31,40,47,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,15564,43|75,15514,36|75,15873,35|75,145,154,157,
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,11559,7|75,12293,8|75,12849,5|75,336,345,341,
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,14258,31|75,15122,33|75,15025,25|75,277,273,287,
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,16728,47|75,18007,54|75,20156,58|75,276,267,255,
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,11223,5|75,10370,2|75,13779,10|75,418,418,393,
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,49670,75|75,57388,75|75,47401,75|75,57,51,61,
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,18703,61|75,20442,65|75,22501,67|75,320,301,304,
