GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,,,1. State average - Operating Type K-6,0.319,0.322,0.352
A. K-6,,,2. State median - Operating Type K-6,0.299,0.303,0.334
A. K-6,,,5. State average - All operating types,0.292,0.290,0.318
A. K-6,,,6. State median - All operating types,0.280,0.279,0.310
A. K-6,BERGEN,1270,EDGEWATER BORO,0.315,0.309,0.316
A. K-6,BERGEN,3870,ORADELL BORO,0.282,0.276,0.336
A. K-6,BERGEN,4410,RIVER EDGE BORO,0.242,0.244,0.304
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0.360,0.361,0.363
A. K-6,BURLINGTON,200,BASS RIVER TWP,0.299,0.322,0.354
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0.324,0.306,0.289
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0.299,0.307,0.320
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0.382,0.361,0.372
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0.329,0.310,0.374
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0.304,0.274,0.308
A. K-6,CAMDEN,5560,WATERFORD TWP,0.228,0.259,0.309
A. K-6,CAPE MAY,710,CAPE MAY CITY,0.311,0.311,0.332
A. K-6,CAPE MAY,2840,LOWER TWP,0.441,0.397,0.391
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0.156,0.139,0.200
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0.260,0.277,0.290
A. K-6,ESSEX,1465,FAIRFIELD TWP,0.298,0.286,0.309
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,0.347,0.335,0.370
A. K-6,ESSEX,4530,ROSELAND BORO,0.256,0.249,0.287
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,0.254,0.265,0.305
A. K-6,GLOUCESTER,1330,ELK TWP,0.309,0.289,0.362
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0.357,0.371,0.404
A. K-6,GLOUCESTER,2070,HARRISON TWP,0.261,0.268,0.286
A. K-6,GLOUCESTER,2990,MANTUA TWP,0.356,0.346,0.334
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0.276,0.275,0.333
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,0.182,0.246,0.310
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0.365,0.415,0.403
A. K-6,GLOUCESTER,5590,WENONAH BORO,0.232,0.217,0.244
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0.265,0.254,0.288
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0.215,0.218,0.256
A. K-6,HUNTERDON,2590,LEBANON BORO,0.300,0.341,0.374
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,0.284,0.277,0.304
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0.315,0.304,0.349
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0.229,0.206,0.303
A. K-6,MORRIS,3240,MINE HILL TWP,0.199,0.283,0.312
A. K-6,OCEAN,230,BEACH HAVEN BORO,0.297,0.313,0.336
A. K-6,OCEAN,320,BERKELEY TWP,0.349,0.348,0.407
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0.270,0.267,0.344
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0.242,0.267,0.337
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,0.353,0.368,0.420
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0.352,0.323,0.353
A. K-6,OCEAN,3800,OCEAN GATE BORO,0.320,0.330,0.351
A. K-6,OCEAN,3820,OCEAN TWP,0.304,0.332,0.406
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0.437,0.383,0.413
A. K-6,OCEAN,5020,STAFFORD TWP,0.359,0.385,0.425
A. K-6,OCEAN,5220,TUCKERTON BORO,0.343,0.399,0.436
A. K-6,SUSSEX,1630,FREDON TWP,0.271,0.329,0.318
A. K-6,SUSSEX,1980,HAMPTON TWP,0.290,0.302,0.371
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0.283,0.291,0.268
A. K-6,SUSSEX,5040,STILLWATER TWP,0.281,0.277,0.334
A. K-6,WARREN,400,BLAIRSTOWN TWP,0.249,0.247,0.288
A. K-6,WARREN,1620,FRANKLIN TWP,0.359,0.353,0.385
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0.301,0.307,0.335
