GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,,,1. State average - Operating Type K-6,101,158,82
A. K-6,,,2. State median - Operating Type K-6,83,103,110
A. K-6,,,5. State average - All operating types,94,84,72
A. K-6,,,6. State median - All operating types,70,72,64
A. K-6,BERGEN,1270,EDGEWATER BORO,17,0,0
A. K-6,BERGEN,3870,ORADELL BORO,3,70,0
A. K-6,BERGEN,4410,RIVER EDGE BORO,13,11,0
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0,0,0
A. K-6,BURLINGTON,200,BASS RIVER TWP,0,0,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0,0,14
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,98,0
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,83,186,121
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,230,108,0
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0,0,0
A. K-6,CAMDEN,5560,WATERFORD TWP,25,31,157
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0,137
A. K-6,CAPE MAY,2840,LOWER TWP,95,122,66
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,534,154,227
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0,0,0
A. K-6,ESSEX,1465,FAIRFIELD TWP,40,158,198
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,40,54,15
A. K-6,ESSEX,4530,ROSELAND BORO,0,0,217
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,20,6,0
A. K-6,GLOUCESTER,1330,ELK TWP,94,47,0
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,186,343,18
A. K-6,GLOUCESTER,2070,HARRISON TWP,0,0,99
A. K-6,GLOUCESTER,2990,MANTUA TWP,63,58,0
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,132,0,0
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,42,0,145
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0,0,8
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0,0,0
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,67,0,0
A. K-6,HUNTERDON,2590,LEBANON BORO,42,24,143
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,39,69,0
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0,0,0
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0,0,0
A. K-6,MORRIS,3240,MINE HILL TWP,260,1716,0
A. K-6,OCEAN,230,BEACH HAVEN BORO,0,0,0
A. K-6,OCEAN,320,BERKELEY TWP,234,282,97
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0,0,0
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0,0,0
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,31,48,12
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0,455,0
A. K-6,OCEAN,3800,OCEAN GATE BORO,495,0,243
A. K-6,OCEAN,3820,OCEAN TWP,0,262,452
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,387,673,0
A. K-6,OCEAN,5020,STAFFORD TWP,135,13,14
A. K-6,OCEAN,5220,TUCKERTON BORO,0,0,0
A. K-6,SUSSEX,1630,FREDON TWP,283,309,300
A. K-6,SUSSEX,1980,HAMPTON TWP,0,0,0
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,233,51,364
A. K-6,SUSSEX,5040,STILLWATER TWP,91,149,33
A. K-6,WARREN,400,BLAIRSTOWN TWP,127,428,31
A. K-6,WARREN,1620,FRANKLIN TWP,14,91,0
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0,237,162
A. K-6,WARREN,2470,KNOWLTON TWP,50,82,23
A. K-6,WARREN,2970,MANSFIELD TWP,3,74,0
A. K-6,WARREN,5480,WASHINGTON BORO,0,0,0
A. K-6,WARREN,5530,WASHINGTON TWP,185,112,33
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,105,78,79
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,73,62,66
B. K-8 / 0 - 400,,,5. State average - All operating types,94,84,72
B. K-8 / 0 - 400,,,6. State median - All operating types,70,72,64
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,0,265,0
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,57,8,0
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,144,102,67
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,0,0,0
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,114,165,27
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,58,184,0
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,48,76,0
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,609,0,0
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,28,85,13
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,133,103,99
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,162,291,0
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,523,307,111
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,0,82,64
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,0,0,0
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,43,46,103
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,0,0,0
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,804,442,253
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,91,24,76
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,440,2373,168
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,245,179,92
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,291,716,0
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,314,652,873
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,132,0,0
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,0,199,205
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,13,43,0
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,133,0,79
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,204,0,0
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,0,84,113
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,70,58,0
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,188,26,351
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,0,110,83
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,0,85,0
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0,0,0
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,0,15,0
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,257,33,0
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,0,0,1433
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,36,37,0
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,194,501,455
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,0,366,281
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,53,7,28
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,40,77,117
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,0,0,0
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,165,0,0
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,46,34,38
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,0,86,73
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,181,28,88
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,0,76,358
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,0,27,0
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,289,124,655
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,83,55,79
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,119,52,0
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,525,181,82
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,0,51,0
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,439,241,19
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,0,115,0
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,183,244,345
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,94,92,0
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,44,56,0
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,0,0,0
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,139,26,38
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,17,38,0
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,21,52,21
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,194,65,65
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,56,0,0
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,15,0,0
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,0,0,0
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,0,31,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,40,243,0
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,43,14,0
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,105,78,79
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,73,62,66
C. K-8 / 401 - 750,,,5. State average - All operating types,94,84,72
C. K-8 / 401 - 750,,,6. State median - All operating types,70,72,64
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,199,128,117
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,0,0,0
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,127,31,20
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,59,58,22
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,25,34,253
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,95,12,19
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,32,38,0
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,398,70,199
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,41,38,0
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,238,80,270
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,0,0,0
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,0,40,0
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,155,93,177
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,9,0,0
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,12,17,13
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,0,0,7
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,70,242,109
C. K-8 / 401 - 750,BURLINGTON,5130,TABERNACLE TWP,111,62,0
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,14,15,0
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,0,162,120
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,53,34,161
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,6,89,0
C. K-8 / 401 - 750,CAMDEN,3110,MERCHANTVILLE BORO,0,0,0
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,63,38,42
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,110,215,77
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,35,40,37
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,0,0,0
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,5,11,62
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,41,0,72
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,121,12,0
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,125,0,0
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,0,57,121
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,0,0,0
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,40,422,58
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,94,84,0
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,12,0,0
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,0,49,152
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,96,114,0
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,7,15,10
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,0,0,0
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,73,83,15
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,4,0,0
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,96,0,0
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,0,275,201
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,0,44,0
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,0,104,36
