GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,15.1,,14.5,
A. K-6,BERGEN,1270,EDGEWATER BORO,13.3,28|56,12.4,37|56
A. K-6,BERGEN,3870,ORADELL BORO,13.5,27|56,11.3,42|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,10,43|56,10.2,43|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,8.2,49|56,5.8,54|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,17.4,11|56,16.6,16|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,12.2,36|56,13.2,32|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,12.5,34|56,12.8,35|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,19,7|56,15.6,22|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,7.3,52|56,14.5,28|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,5.3,54|56,12.4,37|56
A. K-6,CAMDEN,5560,WATERFORD TWP,16.2,18|56,16.3,17|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,9.9,44|56,7.4,52|56
A. K-6,CAPE MAY,2840,LOWER TWP,17.5,10|56,17.9,8|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,3.6,55|56,5,55|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,16.5,16|56,16.3,17|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,13,30|56,13.5,30|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,19.6,5|56,19.7,6|56
A. K-6,ESSEX,4530,ROSELAND BORO,21.8,3|56,10.1,45|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,18.4,8|56,16.3,17|56
A. K-6,GLOUCESTER,1330,ELK TWP,19.5,6|56,18.3,7|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,16.2,18|56,16.7,15|56
A. K-6,GLOUCESTER,2070,HARRISON TWP,14.3,25|56,15.3,25|56
A. K-6,GLOUCESTER,2990,MANTUA TWP,,N.A.,19.9,4|56
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,15.4,21|56,15.6,22|56
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,11.4,39|56,34.8,1|56
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,14.9,23|56,15.4,24|56
A. K-6,GLOUCESTER,5590,WENONAH BORO,17.7,9|56,17.7,9|56
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,17,13|56,17.6,10|56
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,25.3,2|56,26.3,2|56
A. K-6,HUNTERDON,2590,LEBANON BORO,6.3,53|56,7.4,52|56
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13.6,26|56,13.5,30|56
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,10.9,42|56,11.4,41|56
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,12.9,31|56,12.8,35|56
A. K-6,MORRIS,3240,MINE HILL TWP,11.8,38|56,11.5,40|56
A. K-6,OCEAN,230,BEACH HAVEN BORO,12.4,35|56,5,55|56
A. K-6,OCEAN,320,BERKELEY TWP,16.8,15|56,17.5,11|56
A. K-6,OCEAN,1150,EAGLESWOOD TWP,8.2,49|56,7.9,51|56
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9.8,46|56,10.2,43|56
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,16.5,16|56,15.2,26|56
A. K-6,OCEAN,2760,LONG BEACH ISLAND,12.1,37|56,13,34|56
A. K-6,OCEAN,3800,OCEAN GATE BORO,9.3,48|56,8.8,49|56
A. K-6,OCEAN,3820,OCEAN TWP,15.3,22|56,16.1,20|56
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,13.2,29|56,19.9,4|56
A. K-6,OCEAN,5020,STAFFORD TWP,25.4,1|56,17.4,13|56
A. K-6,OCEAN,5220,TUCKERTON BORO,17,13|56,13.2,32|56
A. K-6,SUSSEX,1630,FREDON TWP,12.7,33|56,11.7,39|56
A. K-6,SUSSEX,1980,HAMPTON TWP,12.8,32|56,16.1,20|56
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,17.4,11|56,17.3,14|56
A. K-6,SUSSEX,5040,STILLWATER TWP,9.9,44|56,9.5,48|56
A. K-6,WARREN,400,BLAIRSTOWN TWP,11,41|56,14.2,29|56
A. K-6,WARREN,1620,FRANKLIN TWP,9.7,47|56,10,46|56
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,7.5,51|56,8.1,50|56
A. K-6,WARREN,2470,KNOWLTON TWP,11.4,39|56,9.7,47|56
A. K-6,WARREN,2970,MANSFIELD TWP,20.9,4|56,20.9,3|56
A. K-6,WARREN,5480,WASHINGTON BORO,16.1,20|56,17.5,11|56
A. K-6,WARREN,5530,WASHINGTON TWP,14.9,23|56,14.9,27|56
B. K-8 / 0 - 400,,,K-8 Average,15.6,,15.3,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,6.5,65|75,6.9,64|75
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,14.7,N.A.,15.7,16|75
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,14.1,N.A.,11.8,32|75
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,32.3,2|75,27.2,5|75
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,7,62|75,7.2,61|75
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,5.8,72|75,5.7,70|75
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,10.1,49|75,10.1,49|75
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,7.2,61|75,5.5,71|75
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,5.8,72|75,6.7,65|75
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,18.2,8|75,18.6,8|75
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,11.1,36|75,10.7,41|75
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,13.9,25|75,13.8,24|75
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,N.A.,,N.A.
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,6,69|75,7,63|75
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,17.7,9|75,14,23|75
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,15.6,16|75,16.2,15|75
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,6.5,65|75,4.7,72|75
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,17,10|75,6.5,67|75
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,4.4,74|75,4.6,73|75
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,12.7,28|75,11,37|75
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,7.7,60|75,3.6,74|75
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,8.3,59|75,10.4,44|75
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,5.9,70|75,7.2,61|75
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,11.5,33|75,11.1,34|75
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,19.4,6|75,18,9|75
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,9.9,52|75,9.8,52|75
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,10.5,44|75,10.3,48|75
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,12.6,29|75,6.5,67|75
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,16.3,14|75,12.5,28|75
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,15.8,15|75,17.8,10|75
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,6.9,63|75,7.7,59|75
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,16.9,11|75,16.9,13|75
