GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,42,,,38,,,31,,
A. K-6,,,2. State median - Operating Type K-6,30,,,36,,,32,,
A. K-6,,,5. State average - All operating types,43,,,46,,,41,,
A. K-6,,,6. State median - All operating types,36,,,38,,,38,,
A. K-6,BERGEN,1270,EDGEWATER BORO,77,47|56,0.007,66,44|56,0.006,43,41|56,0.004
A. K-6,BERGEN,3870,ORADELL BORO,55,41|56,0.004,26,23|56,0.002,78,53|56,0.006
A. K-6,BERGEN,4410,RIVER EDGE BORO,17,18|56,0.001,17,16|56,0.001,21,15|56,0.002
A. K-6,BERGEN,4620,SADDLE RIVER BORO,316,53|56,0.014,215,53|56,0.009,26,23|56,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,40,31|56,0.002,33,25|56,0.002,70,52|56,0.004
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,33,29|56,0.003,18,18|56,0.002,18,10|56,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,45,35|56,0.003,36,27|56,0.003,52,47|56,0.004
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,43,33|56,0.003,44,37|56,0.003,24,21|56,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,57,44|56,0.003,151,50|56,0.008,60,50|56,0.003
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,5,3|56,0.000,11,7|56,0.001,12,5|56,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,27,27|56,0.002,43,36|56,0.003,36,35|56,0.002
A. K-6,CAPE MAY,710,CAPE MAY CITY,23,24|56,0.001,24,22|56,0.001,25,22|56,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,18,19|56,0.001,17,16|56,0.001,18,10|56,0.001
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,54,39|56,0.004,246,54|56,0.018,41,40|56,0.003
A. K-6,ESSEX,1400,ESSEX FELLS BORO,49,38|56,0.003,198,52|56,0.010,96,54|56,0.005
A. K-6,ESSEX,1465,FAIRFIELD TWP,55,41|56,0.004,53,38|56,0.003,50,45|56,0.003
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,13,9|56,0.001,65,43|56,0.004,64,51|56,0.004
A. K-6,ESSEX,4530,ROSELAND BORO,11,6|56,0.001,95,48|56,0.006,34,30|56,0.002
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,22,23|56,0.002,42,33|56,0.004,27,26|56,0.002
A. K-6,GLOUCESTER,1330,ELK TWP,20,21|56,0.002,10,6|56,0.001,23,18|56,0.002
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,19,20|56,0.002,15,13|56,0.001,32,29|56,0.002
A. K-6,GLOUCESTER,2070,HARRISON TWP,30,28|56,0.003,40,30|56,0.004,31,27|56,0.003
A. K-6,GLOUCESTER,2990,MANTUA TWP,2,2|56,0.000,9,5|56,0.001,11,4|56,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1,1|56,0.000,5,2|56,0.000,10,3|56,0.001
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,55,41|56,0.006,40,30|56,0.004,26,23|56,0.002
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,25,26|56,0.002,30,24|56,0.003,23,18|56,0.002
A. K-6,GLOUCESTER,5590,WENONAH BORO,15,14|56,0.001,18,18|56,0.001,19,14|56,0.001
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,14,13|56,0.001,19,21|56,0.001,16,8|56,0.001
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,15,14|56,0.001,14,10|56,0.001,18,10|56,0.001
A. K-6,HUNTERDON,2590,LEBANON BORO,1156,55|56,0.052,184,51|56,0.008,48,44|56,0.002
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,12,7|56,0.001,54,39|56,0.004,55,49|56,0.004
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,64,46|56,0.003,41,32|56,0.002,53,48|56,0.003
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,13,9|56,0.001,70,46|56,0.004,50,45|56,0.003
A. K-6,MORRIS,3240,MINE HILL TWP,87,49|56,0.007,67,45|56,0.005,35,33|56,0.003
A. K-6,OCEAN,230,BEACH HAVEN BORO,280,52|56,0.014,456,56|56,0.017,100,55|56,0.004
A. K-6,OCEAN,320,BERKELEY TWP,13,9|56,0.001,13,8|56,0.001,26,23|56,0.002
A. K-6,OCEAN,1150,EAGLESWOOD TWP,33,29|56,0.002,42,33|56,0.003,35,33|56,0.002
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,117,51|56,0.007,95,48|56,0.005,44,42|56,0.003
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,45,35|56,0.003,63,42|56,0.004,36,35|56,0.002
A. K-6,OCEAN,2760,LONG BEACH ISLAND,441,54|56,0.018,305,55|56,0.013,122,56|56,0.005
A. K-6,OCEAN,3800,OCEAN GATE BORO,6,4|56,0.000,42,33|56,0.003,47,43|56,0.003
