GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,BERGEN,1270,EDGEWATER BORO,444256,4946
A. K-6,BERGEN,3870,ORADELL BORO,162353,257031
A. K-6,BERGEN,4410,RIVER EDGE BORO,504018,500000
A. K-6,BERGEN,4620,SADDLE RIVER BORO,222892,285637
A. K-6,BURLINGTON,200,BASS RIVER TWP,0,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,670271
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,92174,83047
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,71067,105928
A. K-6,CAMDEN,5560,WATERFORD TWP,437890,423938
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0
A. K-6,CAPE MAY,2840,LOWER TWP,154300,164441
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,47914,50091
A. K-6,ESSEX,1400,ESSEX FELLS BORO,259183,200607
A. K-6,ESSEX,1465,FAIRFIELD TWP,30151,34431
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,200000,150000
A. K-6,ESSEX,4530,ROSELAND BORO,0,60488
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1071304,1211449
A. K-6,GLOUCESTER,1330,ELK TWP,79812,0
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0,87804
A. K-6,GLOUCESTER,2070,HARRISON TWP,346151,614687
A. K-6,GLOUCESTER,2990,MANTUA TWP,89019,313289
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,280198,441616
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,475256,360922
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,994133,767413
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,314162,38100
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,297976,313037
A. K-6,HUNTERDON,2590,LEBANON BORO,0,17053
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,241113,153812
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,311142,358464
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,41287,131130
A. K-6,MORRIS,3240,MINE HILL TWP,0,0
A. K-6,OCEAN,230,BEACH HAVEN BORO,28361,0
A. K-6,OCEAN,320,BERKELEY TWP,1675795,1338040
A. K-6,OCEAN,1150,EAGLESWOOD TWP,103077,127186
