GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,2738544,45102,2783646,-595314
A. K-6,BERGEN,3870,ORADELL BORO,1318278,778367,2096645,403056
A. K-6,BERGEN,4410,RIVER EDGE BORO,1897388,-103430,1759495,442575
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1492867,105698,1598565,-163712
A. K-6,BURLINGTON,200,BASS RIVER TWP,370309,-120222,250087,-87048
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,717728,-264873,452855,-46162
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1002979,438328,1441307,190013
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,27655222,-1268072,6231660,-428440
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1423893,-600348,823545,-50378
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,577096,-64621,512475,50399
A. K-6,CAMDEN,5560,WATERFORD TWP,4390224,-1069123,3321101,-1546518
A. K-6,CAPE MAY,710,CAPE MAY CITY,1326457,-640778,685679,223406
A. K-6,CAPE MAY,2840,LOWER TWP,2208793,-520813,1687980,288116
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,617630,136275,753905,58618
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1242442,-138058,1104384,-150571
A. K-6,ESSEX,1465,FAIRFIELD TWP,886623,-154370,732253,7339
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,3165472,324700,3490172,241424
A. K-6,ESSEX,4530,ROSELAND BORO,875739,15887,891626,158748
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,3313920,83961,3397881,-170163
A. K-6,GLOUCESTER,1330,ELK TWP,1142188,-239593,902595,-26166
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,2951754,1015894,3967648,-545303
A. K-6,GLOUCESTER,2070,HARRISON TWP,1648875,213139,1862014,-226171
A. K-6,GLOUCESTER,2990,MANTUA TWP,1833499,-176938,1656561,-343910
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1275031,-71157,1203874,49717
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1298581,106049,1404630,-166985
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,4090111,400709,4490820,-617213
A. K-6,GLOUCESTER,5590,WENONAH BORO,191378,47352,238730,-28747
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,860740,73623,934363,-285421
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,715577,48985,764562,101100
A. K-6,HUNTERDON,2590,LEBANON BORO,968752,-81460,887292,-300625
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1161476,-8690,1033807,-123510
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,1443230,-183707,1259523,-41012
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,150564,274693,425257,251680
A. K-6,MORRIS,3240,MINE HILL TWP,1573821,686166,2259987,-641105
A. K-6,OCEAN,230,BEACH HAVEN BORO,565743,71236,636979,81832
A. K-6,OCEAN,320,BERKELEY TWP,6592941,690973,7283914,506465
A. K-6,OCEAN,1150,EAGLESWOOD TWP,467550,57550,525100,62978
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,299537,61387,360924,-70808
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,1722605,13615,1736220,-184960
A. K-6,OCEAN,2760,LONG BEACH ISLAND,2306420,533639,2840059,-181286
A. K-6,OCEAN,3800,OCEAN GATE BORO,1378300,83307,1461606,-312925
A. K-6,OCEAN,3820,OCEAN TWP,5090246,481478,5571724,79676
