GROUP,CONAME,DIST,DISTNAME,PP110,RK110,PCT110,PP210,RK210,PCT210,PP310,RK310,PCT310
A. K-6,WARREN,400,BLAIRSTOWN TWP,1559,30|56,0.114,1358,19|56,0.101,1380,15|56,0.095
A. K-6,WARREN,1620,FRANKLIN TWP,1755,39|56,0.102,1703,38|56,0.092,1784,32|56,0.092
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,2110,50|56,0.141,1693,35|56,0.115,1983,42|56,0.136
A. K-6,WARREN,2470,KNOWLTON TWP,1526,28|56,0.101,1622,32|56,0.096,1940,39|56,0.108
A. K-6,WARREN,2970,MANSFIELD TWP,914,2|56,0.081,884,1|56,0.079,907,1|56,0.075
A. K-6,WARREN,5480,WASHINGTON BORO,1159,10|56,0.094,1121,5|56,0.091,1365,14|56,0.105
A. K-6,WARREN,5530,WASHINGTON TWP,1317,17|56,0.092,1409,22|56,0.093,1488,21|56,0.093
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,1541,,,1573,,,1723,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,1556,,,1586,,,1775,,
B. K-8 / 0 - 400,,,5. State average - All operating types,1788,,,1777,,,1846,,
B. K-8 / 0 - 400,,,6. State median - All operating types,1642,,,1674,,,1750,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,2869,68|75,0.185,2568,62|75,0.156,2768,61|75,0.170
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,1034,N.A.,0.096,1378,N.A.,0.115,1539,19|75,0.113
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,2923,N.A.,0.145,2988,N.A.,0.133,3290,68|75,0.140
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,945,1|75,0.069,1176,10|75,0.088,1599,23|75,0.109
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,1753,37|75,0.118,2025,50|75,0.135,1780,29|75,0.120
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,2204,54|75,0.091,2283,56|75,0.088,3087,67|75,0.111
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,5804,74|75,0.257,1662,33|75,0.096,2126,47|75,0.113
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,3080,69|75,0.164,2781,67|75,0.154,2850,63|75,0.151
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,1498,26|75,0.105,1530,26|75,0.109,1517,17|75,0.104
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,1654,35|75,0.128,1632,31|75,0.119,2443,54|75,0.149
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,1869,42|75,0.098,1931,45|75,0.094,2740,59|75,0.118
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,1435,22|75,0.119,1827,41|75,0.139,1655,24|75,0.124
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,5641,73|75,0.203,3941,73|75,0.184,5359,74|75,0.242
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,2218,57|75,0.143,2082,52|75,0.134,2082,44|75,0.131
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,1041,5|75,0.090,1068,5|75,0.087,1163,5|75,0.091
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,1227,10|75,0.086,1392,20|75,0.092,1390,10|75,0.093
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,2207,55|75,0.132,2329,57|75,0.129,2547,58|75,0.126
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,1190,9|75,0.106,959,2|75,0.092,1357,9|75,0.099
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,8625,75|75,0.174,9947,75|75,0.173,8509,75|75,0.180
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,2195,53|75,0.117,2384,58|75,0.117,2916,64|75,0.130
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,4501,71|75,0.151,6754,74|75,0.198,4661,73|75,0.164
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,2864,67|75,0.137,3036,69|75,0.135,3975,72|75,0.157
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,1086,7|75,0.074,1137,7|75,0.076,1106,1|75,0.072
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,1265,13|75,0.104,1275,14|75,0.098,1397,11|75,0.104
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,1538,27|75,0.113,1421,22|75,0.102,1542,20|75,0.103
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,4940,72|75,0.250,3495,71|75,0.164,2959,65|75,0.138
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,1932,47|75,0.146,1707,37|75,0.121,2267,49|75,0.150
