GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,72.0,N.A.,65462,N.A.,68.3,N.A.,68495,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,70.7,N.A.,65485,N.A.,71.7,N.A.,67799,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,74.1,N.A.,78782,N.A.,68.8,N.A.,80199,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,74.5,N.A.,77696,N.A.,71.0,N.A.,79000,N.A.
A. K-6,Bergen,1270,Edgewater Boro,94.7,9|58,58816,21|58,170.3,1|57,80326,48|57
A. K-6,Bergen,3870,Oradell Boro,83.3,15|58,73836,45|58,81.6,13|57,79764,47|57
A. K-6,Bergen,4410,River Edge Boro,83.3,15|58,85332,58|58,73.0,26|57,73692,39|57
A. K-6,Bergen,4620,Saddle River Boro,64.3,37|58,73669,44|58,46.8,47|57,66712,29|57
A. K-6,Burlington,200,Bass River Twp,52.2,50|58,52339,11|58,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,76.1,23|58,73176,41|58,71.7,29|57,67902,32|57
A. K-6,Burlington,2960,Mansfield Twp,71.2,29|58,73540,43|58,54.3,42|57,65263,27|57
A. K-6,Burlington,3650,North Hanover Twp,57.4,43|58,73482,42|58,50.5,45|57,73209,38|57
A. K-6,Burlington,5010,Springfield Twp,81.0,18|58,57600,20|58,76.0,20|57,57600,15|57
A. K-6,Camden,2540,Laurel Springs Boro,84.7,13|58,13100,3|58,65.0,33|57,17433,1|57
A. K-6,Camden,3770,Oaklyn Boro,223.2,4|58,61025,24|58,71.7,29|57,59650,20|57
A. K-6,Camden,5560,Waterford Twp,78.0,21|58,65122,32|58,64.2,35|57,74556,41|57
A. K-6,Cape May,710,Cape May City,74.5,27|58,54935,16|58,74.5,22|57,60080,21|57
A. K-6,Cape May,2840,Lower Twp,57.4,43|58,79286,54|58,65.0,33|57,85568,56|57
A. K-6,Cape May,5610,West Cape May Boro,232.5,3|58,19096,4|58,79.0,15|57,54943,10|57
A. K-6,Essex,1400,Essex Fells Boro,65.8,34|58,39290,7|58,76.1,19|57,40504,4|57
