GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,15452,N.A.,15680,N.A.,17017,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,17085,N.A.,16977,N.A.,18503,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,16133,N.A.,16327,N.A.,17510,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,16196,N.A.,16209,N.A.,17545,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,11733,1|58,12889,3|57,15493,9|57,986,924,975
A. K-6,Bergen,3870,Oradell Boro,15008,18|58,15262,18|57,15827,14|57,752,751,761
A. K-6,Bergen,4410,River Edge Boro,13882,12|58,14267,11|57,15574,12|57,1239,1257,1251
A. K-6,Bergen,4620,Saddle River Boro,26297,56|58,29489,57|57,30755,56|57,161,141,154
A. K-6,Burlington,200,Bass River Twp,20646,50|58,23666,51|57,N.R.,N.R.,105,93,0
A. K-6,Burlington,830,Chesterfield Twp,12742,5|58,13913,8|57,16158,16|57,786,761,775
A. K-6,Burlington,2960,Mansfield Twp,18872,40|58,19165,38|57,21358,46|57,538,546,543
A. K-6,Burlington,3650,North Hanover Twp,18029,34|58,17674,33|57,20069,39|57,1104,1193,1208
A. K-6,Burlington,5010,Springfield Twp,18310,35|58,15334,20|57,16593,19|57,227,244,245
A. K-6,Camden,2540,Laurel Springs Boro,13394,10|58,14288,13|57,16467,18|57,188,184,164
A. K-6,Camden,3770,Oaklyn Boro,18624,37|58,16622,27|57,17634,25|57,247,283,308
A. K-6,Camden,5560,Waterford Twp,18588,36|58,18108,35|57,19685,35|57,832,892,860
A. K-6,Cape May,710,Cape May City,24735,55|58,24370,53|57,20252,42|57,151,148,195
A. K-6,Cape May,2840,Lower Twp,14979,17|58,15274,19|57,16756,21|57,1708,1606,1650
A. K-6,Cape May,5610,West Cape May Boro,16209,26|58,18204,36|57,18537,30|57,96,91,93
A. K-6,Essex,1400,Essex Fells Boro,18758,39|58,19621,41|57,19944,38|57,252,254,261
A. K-6,Essex,1465,Fairfield Twp,16159,25|58,15899,23|57,17570,24|57,674,696,692
A. K-6,Essex,3630,North Caldwell Boro,17228,30|58,16977,29|57,18541,31|57,673,699,709
A. K-6,Essex,4530,Roseland Boro,15217,22|58,16068,25|57,17359,23|57,465,463,478
A. K-6,Gloucester,1180,East Greenwich Twp,11830,3|58,12186,1|57,13454,1|57,1299,1316,1314
A. K-6,Gloucester,1330,Elk Twp,14717,16|58,15870,22|57,17998,27|57,348,322,320
