GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,135.9,N.A.,111065,N.A.,134.9,N.A.,117747,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,114.0,N.A.,114801,N.A.,123.3,N.A.,117214,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,147.3,N.A.,128371,N.A.,145.3,N.A.,131604,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,131.8,N.A.,128054,N.A.,130.0,N.A.,130541,N.A.
A. K-6,Bergen,1270,Edgewater Boro,157.8,18|58,129178,51|58,227.0,6|57,169000,56|57
A. K-6,Bergen,3870,Oradell Boro,107.1,32|58,129445,52|58,122.3,29|57,117520,34|57
A. K-6,Bergen,4410,River Edge Boro,146.9,20|58,159427,58|58,150.5,20|57,160334,55|57
A. K-6,Bergen,4620,Saddle River Boro,40.0,57|58,116118,36|58,37.2,56|57,108600,19|57
A. K-6,Burlington,200,Bass River Twp,94.0,39|58,105000,21|58,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,135.9,23|58,111114,29|58,102.4,33|57,111564,25|57
A. K-6,Burlington,2960,Mansfield Twp,90.5,40|58,104390,16|58,84.5,38|57,108234,17|57
A. K-6,Burlington,3650,North Hanover Twp,132.1,26|58,125600,48|58,112.0,32|57,123603,42|57
A. K-6,Burlington,5010,Springfield Twp,97.2,36|58,75000,8|58,114.0,30|57,75000,3|57
A. K-6,Camden,2540,Laurel Springs Boro,113.0,30|58,47475,5|58,92.3,35|57,51783,1|57
A. K-6,Camden,3770,Oaklyn Boro,372.0,1|58,136312,57|58,276.0,4|57,139720,54|57
A. K-6,Camden,5560,Waterford Twp,146.3,21|58,111934,30|58,142.8,23|57,113634,28|57
A. K-6,Cape May,710,Cape May City,74.5,44|58,85431,10|58,74.5,43|57,111188,24|57
A. K-6,Cape May,2840,Lower Twp,178.6,10|58,105625,23|58,166.2,16|57,106250,15|57
A. K-6,Cape May,5610,West Cape May Boro,54.7,54|58,72000,7|58,46.7,53|57,86848,7|57
A. K-6,Essex,1400,Essex Fells Boro,125.0,27|58,135073,56|58,125.5,27|57,138207,53|57
A. K-6,Essex,1465,Fairfield Twp,137.4,22|58,132659,55|58,139.2,24|57,136984,52|57
A. K-6,Essex,3630,North Caldwell Boro,172.3,13|58,115000,34|58,171.0,15|57,115000,31|57
A. K-6,Essex,4530,Roseland Boro,156.0,19|58,126515,49|58,152.0,19|57,136000,50|57
A. K-6,Gloucester,1180,East Greenwich Twp,187.3,7|58,112150,31|58,215.3,8|57,114700,30|57
