GROUP,CONAME,DIST,DISTNAME,PP19,RK19,PCT19,SBA9,PP29,RK29,PCT29,SBB9,PP39,RK39,PCT39,SBC9
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,1297,N.A.,0.084,0.799,1271,N.A.,0.081,0.793,1347,N.A.,0.079,0.8
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,1412,N.A.,0.083,0.797,1297,N.A.,0.076,0.725,1384,N.A.,0.075,0.786
A. K-6,Statewide,N.A.,5. State average - All operating types,1438,N.A.,0.089,0.803,1455,N.A.,0.089,0.8,1462,N.A.,0.083,0.795
A. K-6,Statewide,N.A.,6. State median - All operating types,1477,N.A.,0.091,0.791,1478,N.A.,0.091,0.782,1518,N.A.,0.087,0.771
A. K-6,Bergen,1270,Edgewater Boro,1204,22|57,0.103,0.8152,1427,32|57,0.111,0.8206,1403,30|57,0.091,0.8925
A. K-6,Bergen,3870,Oradell Boro,1516,38|57,0.101,0.8555,1437,33|57,0.094,0.8468,1596,40|57,0.101,0.8702
A. K-6,Bergen,4410,River Edge Boro,1502,34|57,0.108,0.9005,1540,36|57,0.108,0.8917,1580,37|57,0.101,0.8972
A. K-6,Bergen,4620,Saddle River Boro,1412,29|57,0.054,0.6635,1704,45|57,0.058,0.6641,1561,35|57,0.051,0.682
A. K-6,Burlington,200,Bass River Twp,1502,34|57,0.073,0.6141,1198,24|57,0.051,0.4331,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,1032,14|57,0.081,0.7273,1232,26|57,0.089,0.7788,1248,19|57,0.077,0.7924
A. K-6,Burlington,2960,Mansfield Twp,1832,49|57,0.097,0.8654,1717,46|57,0.09,0.8433,1850,51|57,0.087,0.8739
A. K-6,Burlington,3650,North Hanover Twp,1454,32|57,0.081,0.8593,1305,30|57,0.074,0.858,1372,26|57,0.068,0.8376
A. K-6,Burlington,5010,Springfield Twp,1534,40|57,0.084,0.7553,1276,28|57,0.083,0.8091,1370,25|57,0.083,0.8415
A. K-6,Camden,2540,Laurel Springs Boro,1114,18|57,0.083,0.6954,1100,19|57,0.077,0.7324,1273,22|57,0.077,0.771
A. K-6,Camden,3770,Oaklyn Boro,722,7|57,0.039,0.4882,744,5|57,0.045,0.5511,683,4|57,0.039,0.4441
A. K-6,Camden,5560,Waterford Twp,1528,39|57,0.082,0.7796,1228,25|57,0.068,0.7407,1384,29|57,0.07,0.79
A. K-6,Cape May,710,Cape May City,2130,58|57,0.086,0.8202,2230,56|57,0.092,0.8577,1719,43|57,0.085,0.8713
A. K-6,Cape May,2840,Lower Twp,985,13|57,0.066,0.8433,983,13|57,0.064,0.8212,959,12|57,0.057,0.8039
A. K-6,Cape May,5610,West Cape May Boro,590,2|57,0.036,0.4449,1197,23|57,0.066,0.7524,1178,18|57,0.064,0.7735
A. K-6,Essex,1400,Essex Fells Boro,1434,31|57,0.076,0.8401,1496,34|57,0.076,0.8578,1553,34|57,0.078,0.8399
A. K-6,Essex,1465,Fairfield Twp,1493,33|57,0.092,0.8217,1679,40|57,0.106,0.8781,1778,48|57,0.101,0.8427
A. K-6,Essex,3630,North Caldwell Boro,1836,50|57,0.107,0.8996,1835,48|57,0.108,0.9184,1918,54|57,0.103,0.8563
