GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,48,N.A.,0.003,55,N.A.,0.004,41,N.A.,0.002
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,49,N.A.,0.003,46,N.A.,0.003,41,N.A.,0.002
A. K-6,Statewide,N.A.,5. State average - All operating types,46,N.A.,0.003,44,N.A.,0.003,45,N.A.,0.003
A. K-6,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,40,N.A.,0.002,43,N.A.,0.002
A. K-6,Bergen,1270,Edgewater Boro,103,45|58,0.009,142,49|57,0.011,10,3|57,67E-5
A. K-6,Bergen,3870,Oradell Boro,48,28|58,0.003,52,32|57,0.003,58,38|57,0.004
A. K-6,Bergen,4410,River Edge Boro,10,6|58,7E-4,37,22|57,0.003,20,6|57,0.001
A. K-6,Bergen,4620,Saddle River Boro,361,57|58,0.014,298,53|57,0.01,162,52|57,0.005
A. K-6,Burlington,200,Bass River Twp,130,50|58,0.006,617,57|57,0.026,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,146,52|58,0.011,142,49|57,0.01,52,36|57,0.003
A. K-6,Burlington,2960,Mansfield Twp,68,39|58,0.004,82,40|57,0.004,46,30|57,0.002
A. K-6,Burlington,3650,North Hanover Twp,13,8|58,73E-5,11,7|57,59E-5,27,10|57,0.001
A. K-6,Burlington,5010,Springfield Twp,199,54|58,0.011,46,29|57,0.003,51,35|57,0.003
A. K-6,Camden,2540,Laurel Springs Boro,4,3|58,33E-5,1,1|57,35E-6,N.R.,N.R.,N.R.
A. K-6,Camden,3770,Oaklyn Boro,36,22|58,0.002,11,7|57,67E-5,81,47|57,0.005
A. K-6,Camden,5560,Waterford Twp,70,41|58,0.004,60,37|57,0.003,70,44|57,0.004
A. K-6,Cape May,710,Cape May City,54,32|58,0.002,36,21|57,0.001,31,17|57,0.002
A. K-6,Cape May,2840,Lower Twp,31,21|58,0.002,57,34|57,0.004,46,30|57,0.003
A. K-6,Cape May,5610,West Cape May Boro,86,44|58,0.005,113,47|57,0.006,86,48|57,0.005
A. K-6,Essex,1400,Essex Fells Boro,57,34|58,0.003,28,17|57,0.001,65,42|57,0.003
A. K-6,Essex,1465,Fairfield Twp,37,24|58,0.002,40,23|57,0.002,36,25|57,0.002
A. K-6,Essex,3630,North Caldwell Boro,50,30|58,0.003,33,20|57,0.002,71,45|57,0.004
A. K-6,Essex,4530,Roseland Boro,126,48|58,0.008,57,34|57,0.004,86,48|57,0.005
A. K-6,Gloucester,1180,East Greenwich Twp,57,34|58,0.005,89,43|57,0.007,61,41|57,0.005
A. K-6,Gloucester,1330,Elk Twp,2,1|58,15E-5,5,4|57,3E-4,31,17|57,0.002
A. K-6,Gloucester,1590,Franklin Twp,23,17|58,0.002,17,14|57,0.001,35,24|57,0.002
A. K-6,Gloucester,2070,Harrison Twp,55,33|58,0.004,46,29|57,0.004,52,36|57,0.004
A. K-6,Gloucester,2990,Mantua Twp,3,2|58,19E-5,42,26|57,0.003,12,4|57,77E-5
A. K-6,Gloucester,3490,National Park Boro,N.R.,N.R.,N.R.,11,7|57,73E-5,3,1|57,19E-5
A. K-6,Gloucester,4880,South Harrison Twp,129,49|58,0.01,40,23|57,0.003,31,17|57,0.002
A. K-6,Gloucester,5120,Swedesboro-Woolwich,45,27|58,0.003,52,32|57,0.004,30,14|57,0.002
A. K-6,Gloucester,5590,Wenonah Boro,30,20|58,0.002,84,42|57,0.005,58,38|57,0.003
A. K-6,Gloucester,5740,Westville Boro,19,13|58,0.002,41,25|57,0.003,27,10|57,0.002
A. K-6,Gloucester,5870,Woodbury Heights Boro,14,10|58,97E-5,31,18|57,0.002,38,27|57,0.003
A. K-6,Hunterdon,2590,Lebanon Boro,142,51|58,0.007,406,55|57,0.019,47,33|57,0.002
A. K-6,Hunterdon,3180,Milford Boro,149,N.A.,0.006,82,40|57,0.003,164,53|57,0.005
A. K-6,Monmouth,130,Atlantic Highlands Boro,49,29|58,0.003,74,39|57,0.004,75,46|57,0.004
A. K-6,Monmouth,2160,Highlands Boro,264,56|58,0.012,168,51|57,0.007,216,56|57,0.007
A. K-6,Monmouth,4520,Roosevelt Boro,73,42|58,0.003,140,48|57,0.007,49,34|57,0.002
A. K-6,Morris,3240,Mine Hill Twp,64,38|58,0.004,101,44|57,0.006,42,29|57,0.002
A. K-6,Ocean,230,Beach Haven Boro,78,43|58,0.003,103,46|57,0.004,118,51|57,0.004
A. K-6,Ocean,320,Berkeley Twp,14,10|58,97E-5,16,13|57,0.001,14,5|57,93E-5
A. K-6,Ocean,1150,Eagleswood Twp,121,47|58,0.006,338,54|57,0.017,167,54|57,0.007
A. K-6,Ocean,2350,Island Heights Boro,19,13|58,0.001,13,12|57,65E-5,20,6|57,0.001
A. K-6,Ocean,2690,Little Egg Harbor Twp,50,30|58,0.003,25,16|57,0.002,34,23|57,0.002
A. K-6,Ocean,2760,Long Beach Island,261,55|58,0.01,430,56|57,0.016,207,55|57,0.007
A. K-6,Ocean,3800,Ocean Gate Boro,26,19|58,0.001,176,52|57,0.009,69,43|57,0.003
A. K-6,Ocean,3820,Ocean Twp,58,36|58,0.004,N.R.,N.R.,N.R.,30,14|57,0.002
A. K-6,Ocean,4710,Seaside Heights Boro,21,15|58,0.001,32,19|57,0.002,33,22|57,0.002
A. K-6,Ocean,5020,Stafford Twp,22,16|58,0.001,47,31|57,0.003,31,17|57,0.002
A. K-6,Ocean,5220,Tuckerton Boro,16,12|58,0.001,3,3|57,19E-5,30,14|57,0.002
A. K-6,Sussex,1630,Fredon Twp,60,37|58,0.003,45,28|57,0.002,59,40|57,0.003
A. K-6,Sussex,1980,Hampton Twp,6,5|58,31E-5,5,4|57,26E-5,46,30|57,0.002
A. K-6,Sussex,4650,Sandyston-Walpack Twp,68,39|58,0.003,102,45|57,0.005,39,28|57,0.002
A. K-6,Sussex,5040,Stillwater Twp,104,46|58,0.005,59,36|57,0.003,88,50|57,0.004
A. K-6,Warren,400,Blairstown Twp,24,18|58,0.001,67,38|57,0.005,29,12|57,0.002
A. K-6,Warren,1620,Franklin Twp,36,22|58,0.002,23,15|57,0.001,36,25|57,0.002
A. K-6,Warren,1670,Frelinghuysen Twp,12,7|58,79E-5,11,7|57,67E-5,29,12|57,0.001
A. K-6,Warren,2470,Knowlton Twp,4,3|58,21E-5,12,11|57,52E-5,6,2|57,25E-5
A. K-6,Warren,2970,Mansfield Twp,43,26|58,0.003,43,27|57,0.003,31,17|57,0.002
A. K-6,Warren,5480,Washington Boro,13,8|58,86E-5,2,2|57,14E-5,23,8|57,0.001
A. K-6,Warren,5530,Washington Twp,39,25|58,0.002,6,6|57,34E-5,25,9|57,0.001
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,45,N.A.,0.003,47,N.A.,0.003,44,N.A.,0.002
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,43,N.A.,0.003,45,N.A.,0.003,46,N.A.,0.002
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,46,N.A.,0.003,44,N.A.,0.003,45,N.A.,0.003
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,40,N.A.,0.002,43,N.A.,0.002
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,69,51|77,0.004,80,49|80,0.005,57,47|81,0.004
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,28,19|77,0.002,57,38|80,0.004,64,54|81,0.004
B. K-8 / 0 - 400,Atlantic,3020,Margate City,81,56|77,0.003,106,57|80,0.004,98,72|81,0.003
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,33,22|77,0.002,109,58|80,0.006,77,62|81,0.004
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,273,73|77,0.015,31,22|80,0.002,59,50|81,0.003
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,104,65|77,0.003,66,42|80,0.002,93,70|81,0.003
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,27,18|77,0.001,104,54|80,0.005,52,42|81,0.002
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,57,45|77,0.003,70,46|80,0.004,55,45|81,0.003
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,11,3|77,61E-5,22,16|80,0.001,14,4|81,7E-4
B. K-8 / 0 - 400,Burlington,380,Beverly City,34,24|77,0.002,40,29|80,0.002,87,68|81,0.005
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,13,7|77,88E-5,73,48|80,0.005,39,31|81,0.002
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,109,67|77,0.005,66,42|80,0.003,69,58|81,0.004
B. K-8 / 0 - 400,Burlington,4460,Riverton,19,11|77,0.001,18,11|80,0.001,31,20|81,0.002
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,111,68|77,0.006,45,33|80,0.002,76,60|81,0.004
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,40,29|77,0.003,37,27|80,0.003,53,43|81,0.003
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,12,3|81,83E-5
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,85,61|77,0.005,178,73|80,0.012,90,69|81,0.006
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,67,50|77,0.004,147,68|80,0.009,100,73|81,0.005
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,47,36|77,0.003,7,4|80,47E-5,31,20|81,0.002
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,87,62|77,0.003,168,72|80,0.005,85,66|81,0.002
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,39,28|77,0.001,44,32|80,0.001,50,40|81,0.001
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,103,64|77,0.004,164,70|80,0.006,128,78|81,0.005
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,49,39|77,0.002,65,41|80,0.002,44,36|81,0.002
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,20,14|77,0.001,8,6|80,5E-4,43,35|81,0.002
