GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,19703,0.191,0.792,0.017,0,0,0,13.1,94.7,157.8,0.0993
A. K-6,Bergen,3870,Oradell Boro,20627,0.184,0.802,0.014,0,0,0,11.7,83.3,107.1,0.112
A. K-6,Bergen,4410,River Edge Boro,18759,0.254,0.698,0.023,0.025,0,0,13.2,83.3,146.9,0.0985
A. K-6,Bergen,4620,Saddle River Boro,27326,0.131,0.845,0.013,0.011,0,0,8.5,64.3,40,0.0946
A. K-6,Burlington,200,Bass River Twp,29626,0.417,0.555,0.028,0,0,0,7.3,52.2,94,0.2021
A. K-6,Burlington,830,Chesterfield Twp,20497,0.288,0.699,0.01,0.002,0,0.001,11.2,76.1,135.9,0.1327
A. K-6,Burlington,2960,Mansfield Twp,27381,0.192,0.788,0.01,0.01,0,0,9.5,71.2,90.5,0.1602
A. K-6,Burlington,3650,North Hanover Twp,27823,0.567,0.098,0.325,0.003,0,0.007,9.9,57.4,132.1,0.1186
A. K-6,Burlington,5010,Springfield Twp,22396,0.342,0.623,0.028,0.007,0,0,11.8,81,97.2,0.0988
A. K-6,Camden,2540,Laurel Springs Boro,19940,0.476,0.501,0.023,0,0,0,12.7,84.7,113,0.1257
A. K-6,Camden,3770,Oaklyn Boro,20169,0.414,0.544,0.029,0,0,0.013,9.8,223.2,372,0.1147
A. K-6,Camden,5560,Waterford Twp,20396,0.527,0.445,0.016,0,0,0.012,10,78,146.3,0.1401
A. K-6,Cape May,710,Cape May City,32038,0.252,0.404,0.342,0.001,0,0.001,7.4,74.5,74.5,0.1745
A. K-6,Cape May,2840,Lower Twp,20749,0.444,0.522,0.034,0,0,0,10.9,57.4,178.6,0.1493
A. K-6,Cape May,5610,West Cape May Boro,23206,0.404,0.56,0.033,0.003,0,0,8.9,232.5,54.7,0.0753
A. K-6,Essex,1400,Essex Fells Boro,24747,0.167,0.807,0.011,0.015,0,0,7.7,65.8,125,0.124
