CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Bergen,1380,Englewood Cliffs Boro,16431106,544,30216,59,16919096,547,30906,61,"J. K-12|K-8,401-750",JK-12K-8401-750
Bergen,1450,Fair Lawn Boro,113036422,5150,21949,38,115310065,5309,21722,36,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1470,Fairview Boro,30115424,2106,14302,1,33906725,2193,15459,2,"K. K-12|K-8,751+",KK-12K-8751plus
Bergen,1550,Fort Lee Boro,82715246,4098,20187,15,85153946,4182,20361,16,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1580,Franklin Lakes Boro,35170359,1149,30608,72,36781728,1163,31630,73,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1700,Garfield City,121579473,4999,24319,70,120210048,4984,24122,69,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1760,Glen Rock Boro,59301898,2551,23249,51,60446284,2589,23349,52,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1860,Hackensack City,133614483,5837,22893,50,133471280,5816,22948,54,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,2050,Harrington Park Boro,15739927,625,25173,47,16111994,622,25913,51,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,2080,Hasbrouck Heights Boro,39036455,1813,21532,19,40309281,1786,22568,22,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,2090,Haworth Boro,11380052,408,27929,58,10727239,396,27059,58,"C. K-8|K-8,0-400",CK-8K-80-400
Bergen,2180,Hillsdale Boro,27567303,1143,24116,50,27257593,1112,24515,53,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,2200,Ho Ho Kus Boro,17844307,878,20326,12,18068601,880,20539,9,"J. K-12|K-8,401-750",JK-12K-8401-750
Bergen,2620,Leonia Boro,43325621,1953,22188,45,44082472,2039,21616,34,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,2710,Little Ferry Boro,27449189,1255,21872,34,27283046,1204,22669,40,"K. K-12|K-8,751+",KK-12K-8751plus
Bergen,2740,Lodi Borough,68939393,3230,21345,31,70089468,3405,20586,20,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,2860,Lyndhurst Twp,49466446,2558,19336,9,50053825,2580,19402,9,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,2900,Mahwah Twp,81949751,2899,28265,74,80404298,2907,27657,72,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,3060,Maywood Boro,24540272,1269,19337,12,24564132,1248,19681,15,"K. K-12|K-8,751+",KK-12K-8751plus
