CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
80,6060,6028133,2728759,2362732,86448,279579,385452,283469,2164288,378578,745232,41916,0,0,7090,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,387.6,Atlantic,
80,6104,5853489,3066149,2344613,399975,321561,252326,219916,1505385,814545,1029629,118450,0,0,29428,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,403.6,Atlantic,
80,7410,6020287,2955531,2850207,98327,6997,600857,537914,1209842,941065,1033093,32419,0,220936,20789,Charter~tech High School,Atlantic,K. Charter,C,,,1,357.2,Atlantic,
80,6013,13643212,6333262,5820523,305387,207352,875499,831558,3280308,1488413,2761645,763488,0,392498,115834,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,1155.1,Bergen,
80,6430,4249431,2590674,2464536,56638,69500,37678,0,1134107,925839,486972,0,0,0,33036,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,312.3,Bergen,
80,7890,5268302,2889407,2776553,58307,54547,0,0,1284962,1034630,1093933,0,0,0,68288,Teaneck Community Cs,Bergen,K. Charter,C,,,1,323.3,Bergen,
80,6026,1567478,848109,834748,11060,2301,0,0,542834,488499,176535,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,152.7,Burlington,
80,6076,4225540,2432176,2121795,238054,72327,0,0,1467374,1037083,325990,0,0,0,276,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,356.8,Burlington,
80,1799,21015286,8422895,7244376,999441,179078,0,0,10862005,5480917,1730386,0,0,0,522218,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,1350.9,Camden,
80,1801,12018418,4665486,4375089,203871,86526,0,0,5399883,2669446,1953049,0,0,0,0,Camden Prep,Camden,K. Charter,C,,,1,821.3,Camden,
80,1802,42901460,22279549,17176734,1123922,3978893,2123780,1566642,11108650,4326185,7149902,79225,0,239579,0,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,2268.4,Camden,
80,6086,2031192,810901,747303,32800,30798,178833,127238,625477,493121,415178,70583,0,0,0,Hope Community Cs,Camden,K. Charter,C,,,1,153.2,Camden,
80,6107,29935463,15744457,14126745,588470,1029242,274599,147399,8198303,6184269,5562470,0,155634,0,27000,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,2160.8,Camden,
80,6232,3640663,1896831,1589096,158054,149681,222449,104898,963113,687987,504142,0,54127,0,0,Environment Community Cs,Camden,K. Charter,C,,,1,185.4,Camden,
