GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,160,195,158
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,134,137,153
A. K-6,Statewide,N.A.,5. State average - All operating types,106,90,94
A. K-6,Statewide,N.A.,6. State median - All operating types,90,83,85
A. K-6,Bergen,1270,Edgewater Boro,0,0,0
A. K-6,Bergen,3870,Oradell Boro,12,136,0
A. K-6,Bergen,4410,River Edge Boro,0,1,0
A. K-6,Bergen,4620,Saddle River Boro,0,0,0
A. K-6,Burlington,200,Bass River Twp,0,0,N.R.
A. K-6,Burlington,830,Chesterfield Twp,32,237,9
A. K-6,Burlington,2960,Mansfield Twp,177,N.R.,23
A. K-6,Burlington,3650,North Hanover Twp,222,747,163
A. K-6,Burlington,5010,Springfield Twp,0,55,0
A. K-6,Camden,2540,Laurel Springs Boro,96,210,278
A. K-6,Camden,3770,Oaklyn Boro,569,228,0
A. K-6,Camden,5560,Waterford Twp,291,132,28
A. K-6,Cape May,710,Cape May City,308,295,390
A. K-6,Cape May,2840,Lower Twp,251,363,270
A. K-6,Cape May,5610,West Cape May Boro,0,0,0
A. K-6,Essex,1400,Essex Fells Boro,182,225,0
A. K-6,Essex,1465,Fairfield Twp,89,225,0
A. K-6,Essex,3630,North Caldwell Boro,134,145,0
A. K-6,Essex,4530,Roseland Boro,0,0,0
A. K-6,Gloucester,1180,East Greenwich Twp,29,31,15
A. K-6,Gloucester,1330,Elk Twp,0,358,0
A. K-6,Gloucester,1590,Franklin Twp,37,411,303
A. K-6,Gloucester,2070,Harrison Twp,67,193,0
A. K-6,Gloucester,2990,Mantua Twp,46,0,0
A. K-6,Gloucester,3490,National Park Boro,0,67,33
A. K-6,Gloucester,4880,South Harrison Twp,272,0,0
A. K-6,Gloucester,5120,Swedesboro-Woolwich,71,95,41
A. K-6,Gloucester,5590,Wenonah Boro,23,0,142
A. K-6,Gloucester,5740,Westville Boro,0,0,0
A. K-6,Gloucester,5870,Woodbury Heights Boro,0,0,0
A. K-6,Hunterdon,2590,Lebanon Boro,0,466,0
A. K-6,Hunterdon,3180,Milford Boro,151,36,0
A. K-6,Monmouth,130,Atlantic Highlands Boro,52,13,0
A. K-6,Monmouth,2160,Highlands Boro,0,137,0
A. K-6,Monmouth,4520,Roosevelt Boro,0,0,0
A. K-6,Morris,3240,Mine Hill Twp,155,67,132
A. K-6,Ocean,230,Beach Haven Boro,30,0,1084
A. K-6,Ocean,320,Berkeley Twp,338,159,207
A. K-6,Ocean,1150,Eagleswood Twp,0,0,0
A. K-6,Ocean,2350,Island Heights Boro,0,0,0
A. K-6,Ocean,2690,Little Egg Harbor Twp,168,28,165
A. K-6,Ocean,2760,Long Beach Island,1272,798,828
A. K-6,Ocean,3800,Ocean Gate Boro,216,0,0
A. K-6,Ocean,3820,Ocean Twp,51,N.R.,0
A. K-6,Ocean,4710,Seaside Heights Boro,198,18,22
A. K-6,Ocean,5020,Stafford Twp,83,98,107
A. K-6,Ocean,5220,Tuckerton Boro,25,1043,330
A. K-6,Sussex,1630,Fredon Twp,0,66,0
A. K-6,Sussex,1980,Hampton Twp,147,0,0
A. K-6,Sussex,4650,Sandyston-Walpack Twp,0,0,0
A. K-6,Sussex,5040,Stillwater Twp,32,223,255
A. K-6,Warren,400,Blairstown Twp,264,23,20
A. K-6,Warren,1620,Franklin Twp,125,174,0
A. K-6,Warren,1670,Frelinghuysen Twp,24,29,325
A. K-6,Warren,2470,Knowlton Twp,216,86,62
A. K-6,Warren,2970,Mansfield Twp,90,44,0
A. K-6,Warren,5480,Washington Boro,0,0,0
A. K-6,Warren,5530,Washington Twp,794,261,0
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,126,116,124
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,95,90,94
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,106,90,94
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,90,83,85
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,0,0,0
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,105,65,0
B. K-8 / 0 - 400,Atlantic,3020,Margate City,93,329,752
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0,0,0
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,0,0,0
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,302,639,4755
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,0,667,779
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,156,7,826
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,0,13,0
B. K-8 / 0 - 400,Burlington,380,Beverly City,272,0,13
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,66,11,0
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,112,0,0
B. K-8 / 0 - 400,Burlington,4460,Riverton,96,101,24
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,0,0,0
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0,0,0
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,15,0,46
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,0,0,0
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,9,8,0
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,9,164,0
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,439,1539,0
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,0,0,125
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,424,1565,0
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,856,247,168
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,143,0,333
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,0,0,0
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,68,83,0
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,397,0,0
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,90,164,0
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,506,0,0
B. K-8 / 0 - 400,Gloucester,1830,Greenwich Twp,0,0,0
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,161,0,0
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,51,400,0
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,0,0,0
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,0,88,270
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,50,15,0
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,74,438,25
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,142,14,0
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,124,229,0
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,0,0,0
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,21,114,0
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,0,77,79
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,307,494,351
B. K-8 / 0 - 400,Hunterdon,5270,Union Twp,95,129,7
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,362,83,177
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,0,0,0
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,112,16,59
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,0,82,45
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,32,554,36
