GROUP,CONAME,DIST,DISTNAME,PP16,RK16,PCT16,PP26,RK26,PCT26,PP36,RK36,PCT36
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,2607,N.A.,0.169,2674,N.A.,0.171,3081,N.A.,0.181
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,2799,N.A.,0.164,2920,N.A.,0.172,3299,N.A.,0.178
A. K-6,Statewide,N.A.,5. State average - All operating types,2599,N.A.,0.161,2662,N.A.,0.163,2921,N.A.,0.167
A. K-6,Statewide,N.A.,6. State median - All operating types,2516,N.A.,0.155,2589,N.A.,0.16,2874,N.A.,0.164
A. K-6,Bergen,1270,Edgewater Boro,1914,8|58,0.163,2147,11|57,0.167,2400,11|57,0.155
A. K-6,Bergen,3870,Oradell Boro,2369,21|58,0.158,2542,21|57,0.167,2786,19|57,0.176
A. K-6,Bergen,4410,River Edge Boro,1892,7|58,0.136,1933,5|57,0.135,2216,8|57,0.142
A. K-6,Bergen,4620,Saddle River Boro,8639,58|58,0.329,9669,57|57,0.328,11600,57|57,0.377
A. K-6,Burlington,200,Bass River Twp,2894,33|58,0.14,4025,44|57,0.17,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,2644,26|58,0.208,3326,35|57,0.239,3834,38|57,0.237
A. K-6,Burlington,2960,Mansfield Twp,4289,46|58,0.227,4462,52|57,0.233,5002,49|57,0.234
A. K-6,Burlington,3650,North Hanover Twp,3295,38|58,0.183,3771,42|57,0.213,4084,42|57,0.203
A. K-6,Burlington,5010,Springfield Twp,3585,41|58,0.196,3214,33|57,0.21,3649,35|57,0.22
A. K-6,Camden,2540,Laurel Springs Boro,2182,17|58,0.163,2813,26|57,0.197,2956,24|57,0.18
A. K-6,Camden,3770,Oaklyn Boro,4545,52|58,0.244,3669,41|57,0.221,4618,46|57,0.262
A. K-6,Camden,5560,Waterford Twp,4039,45|58,0.217,4423,50|57,0.244,5043,50|57,0.256
A. K-6,Cape May,710,Cape May City,4369,48|58,0.177,3664,40|57,0.15,3888,39|57,0.192
