CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
1,10,14302154,8771973,8257866,433846,80261,2668521,2286227,1632757,1186505,1118993,578708,0,98681,65144,11.1,75053,85.9,64318,147.5,121937,15,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,924.0
1,110,140614439,89646505,78805267,3229046,7612192,16467738,14147321,13762818,9784071,19349223,9512069,0,1152745,1239901,10,87533,89.6,95966,196.1,140603,21.7,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic,6842.9
1,120,28362403,15767853,14564918,881444,321491,3425925,3057305,3133543,2200902,5088007,2664227,0,842580,145336,12.4,66671,102.2,62047,133.6,100842,12.1,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic,1731.9
1,125,18266579,9977006,9283148,120605,573253,3640391,3420399,2243902,1740230,2361780,1241130,40000,0,21000,6.5,90973,12.2,98151,50.7,120537,12,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic,314.0
1,570,14826265,9061115,8600089,341226,119800,2410807,2019907,1097879,837479,2056637,1048937,0,193806,169800,7,97126,37,83916,88.8,119750,15,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic,509.0
1,590,31397928,18139962,17258583,358452,522927,5072441,3840190,3629670,2565672,3508991,1622801,0,1040517,540026,10.8,79896,56,78932,101.4,115794,11.2,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic,1681.0
1,1300,8917331,5136851,4778361,254605,103885,1551191,1299091,930165,760720,1205831,528322,0,93292,69195,9.8,56969,48.8,78677,128,126929,15.6,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic,492.0
1,1310,122763502,72412010,69333161,1650501,1428348,24094165,21965379,9475990,7783438,14019169,8359164,0,1493653,27800,11.4,81917,69.1,78017,173.5,111269,17.8,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic,7164.9
1,1410,3117351,1793373,1739873,43000,10500,479617,415617,325166,248748,476234,203234,0,26867,0,12.6,63541,72.4,55745,92.2,65000,8.4,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic,193.0
1,1540,6109224,3635664,3443764,99000,92900,1112973,1019173,627199,462199,661684,276684,0,68198,0,11,61028,42.8,59756,128.3,102000,14.7,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic,394.0
1,1690,60284801,39857361,38392414,1214913,250034,9167400,8174109,5445966,4621864,5609046,3070578,0,157100,86676,10.3,84330,63.4,83022,176.1,122810,19.9,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,3336.9
1,1790,56069916,31184276,27568608,1205454,2410214,7057347,6589987,5773653,4128659,8500098,4400374,0,3490039,0,11.4,76020,96.8,90325,101.1,111300,9.9,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,Atlantic,2973.0
1,1940,46201977,29217820,27676856,1247484,293480,8163307,6756961,3974150,3326800,4644338,2361883,0,180051,70000,11.2,67705,73.1,60527,189.1,123087,19.5,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,3010.1
1,1960,47164132,27831482,26696108,899858,235516,6746371,5986768,4753230,3724566,6264142,2569896,0,1152516,1300000,13.4,79000,101.3,79074,178.1,130990,15,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,Atlantic,3485.9
1,2680,14430471,8460309,8024085,266572,169652,2440084,2203328,1631960,1218382,1741061,788188,0,157057,165000,11.6,76096,68.3,73905,117.1,105000,11.9,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,Atlantic,806.0
1,2910,26769287,14832514,14425902,406612,0,3899682,3543274,1896969,1453970,4150746,1841342,100000,1531191,183000,11.5,91093,69.6,91043,123.9,132787,12.6,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,Atlantic,1251.0
1,3020,11016564,6605622,6140566,451631,13425,1786681,1383133,785558,623115,1625764,731646,40000,149347,270119,8.4,96600,53.3,96600,76.6,106546,10.6,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic,359.0
1,3480,11238249,6419820,6006587,318565,94668,1916928,1417111,1412802,1070814,1394992,614351,0,93707,62100,11.4,67544,72,74244,129.6,112841,13.1,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic,701.0
1,3720,14901095,10393906,9958001,384380,51525,1672837,1441372,1502499,1193363,1240372,595420,0,91480,0,10,67965,79.2,58758,180.6,113290,20.4,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,Atlantic,947.0
1,4180,69873304,40025938,36585704,1859459,1580775,10619178,9064964,7619098,5844331,10081485,4942080,0,1016346,1538257,10.2,55850,66.7,57021,179,115163,20.2,Pleasantville City,Atlantic,F. K-12 / 1801 - 3500,3,A,1,1,Atlantic,3625.1
1,4240,1965267,1187030,1142345,26600,18085,405811,338553,213091,143404,155783,61670,0,3552,0,9.1,61834,75,50678,105,102999,13,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,Atlantic,104.0
1,4800,17089029,10016498,9486109,286146,244243,3262030,2723005,1800806,1507289,1855082,835162,0,154614,14600,10.1,83825,75.9,86925,402.5,141692,45,Somers Point City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,855.0
1,5350,14297115,9123612,8498507,605091,20014,2055712,1508373,1425144,1151145,1593787,430821,0,98860,68797,8.5,92675,64.2,66000,122,116362,16.3,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic,654.0
1,5760,3088645,1631421,1537561,45487,48373,671007,500737,321765,264065,428350,171800,6000,14165,0,9.1,58886,68.1,32065,47.7,81276,6,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,Atlantic,169.0
3,40,16586128,9255678,8395186,433328,427164,3116382,2578886,1920433,1577499,2099220,1170395,0,190255,82000,12.3,80452,72.3,85437,169.8,157601,16.2,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,849.0
3,80,5123061,2788117,2555351,96985,135781,1231570,976153,366587,294724,587893,218163,0,142230,746600,6.5,69442,60.4,87037,41.9,119500,7.1,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen,157.0
3,285,55477321,30123145,26663095,519300,2940750,13280811,12206361,5407649,4342299,5888601,2610243,100000,73150,0,2.9,80853,4,83443,34.2,127163,20.4,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen,582.0
3,290,68017326,35084841,31541391,2276850,1266600,7514244,6907744,13130722,10174272,9558884,5141384,0,2257210,0,10.5,86011,65,84908,115.3,148155,12.7,Bergen County Vocational Technical Schoo,Bergen,J. VOC,8,,,1,Bergen,2402.5
3,300,61825845,38683937,32406525,1573380,4704032,7465780,6099648,6720189,5514370,7319171,4363359,0,1204567,565266,12.9,80274,76.3,84274,173.7,143064,15.8,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,3700.6
