cds,fiscal_year,student_count
131465,2015-2016,27467
131750,2015-2016,82027
132330,2015-2016,409205.5
132730,2015-2016,264082.5
133190,2015-2016,216832
133310,2015-2016,315326
133570,2015-2016,2630386
133630,2015-2016,28589
133750,2015-2016,183106
133880,2015-2016,293133.5
134530,2015-2016,19162
134900,2015-2016,327250
135370,2015-2016,96316
135630,2015-2016,74976
135680,2015-2016,337568
150860,2015-2016,69701.5
150870,2015-2016,113382.5
151100,2015-2016,208615
151180,2015-2016,56716
151330,2015-2016,15631
151590,2015-2016,63965
151715,2015-2016,48004
151730,2015-2016,104445
151775,2015-2016,48009.5
151830,2015-2016,27511
152070,2015-2016,67468.5
152440,2015-2016,105303
152750,2015-2016,50385.5
152990,2015-2016,58047
153280,2015-2016,294547
153490,2015-2016,12540
153580,2015-2016,11902
154020,2015-2016,57178
154140,2015-2016,65780
154880,2015-2016,17435
154940,2015-2016,76246.5
155120,2015-2016,79431
155500,2015-2016,354854.5
155590,2015-2016,9273
155620,2015-2016,143979
155740,2015-2016,17363.5
155860,2015-2016,76901
155870,2015-2016,10505
170220,2015-2016,476861
171200,2015-2016,21697.5
171850,2015-2016,70389
172060,2015-2016,116886
172210,2015-2016,138127
172295,2015-2016,78787.5
172390,2015-2016,1680437
172410,2015-2016,290427.5
173610,2015-2016,392546
174730,2015-2016,101590.5
175240,2015-2016,700172
175580,2015-2016,64372
175670,2015-2016,417274
190020,2015-2016,21428
190370,2015-2016,18007
190430,2015-2016,8090.5
190670,2015-2016,4565
190910,2015-2016,14916
190920,2015-2016,63712
191040,2015-2016,16753
191050,2015-2016,39248
191160,2015-2016,17369
191376,2015-2016,41900
191510,2015-2016,155199
191600,2015-2016,13260.5
191680,2015-2016,6193
191740,2015-2016,6710
191970,2015-2016,5230.5
192140,2015-2016,16764
192220,2015-2016,26224
192300,2015-2016,134073.5
192308,2015-2016,8772.5
192450,2015-2016,15972
192590,2015-2016,5109.5
192600,2015-2016,30250
193180,2015-2016,3927
193660,2015-2016,123117.5
194350,2015-2016,78771
195180,2015-2016,29315
195270,2015-2016,21708.5
211245,2015-2016,254177
211430,2015-2016,180840
211950,2015-2016,586415.5
212280,2015-2016,161865
212580,2015-2016,188397
213105,2015-2016,18722
214255,2015-2016,164829.5
215210,2015-2016,793864.5
215510,2015-2016,131769
215715,2015-2016,437090.5
230750,2015-2016,193803.5
230970,2015-2016,34017.5
231140,2015-2016,57794
231170,2015-2016,387761
231290,2015-2016,691817.5
232110,2015-2016,13948
232150,2015-2016,78287
232370,2015-2016,45061.5
233120,2015-2016,98010
233140,2015-2016,99693
233150,2015-2016,83187.5
233220,2015-2016,44011
233290,2015-2016,275907.5
233530,2015-2016,529298
233620,2015-2016,304799
233845,2015-2016,429671
234090,2015-2016,558530.5
234130,2015-2016,351725
234660,2015-2016,295922
234830,2015-2016,54043
234860,2015-2016,394025.5
234910,2015-2016,163856
234920,2015-2016,115500
234970,2015-2016,54879
235850,2015-2016,668420.5
250050,2015-2016,220
250100,2015-2016,132583
250130,2015-2016,10467
250180,2015-2016,7392
250270,2015-2016,28622
250500,2015-2016,19888
250560,2015-2016,36498
250945,2015-2016,42190.5
251000,2015-2016,9240
