district_id,cds_code,district_name
4800,014800,Somers Point City
5840,095840,Woodbine Boro
0540,110540,Bridgeton City
0950,110950,Commercial Twp
0680,070680,Camden City
0800,070800,Cherry Hill Twp
3780,093780,Ocean City
1210,131210,East Orange
3310,133310,Montclair Town
0997,110997,Cumberland Regional
3630,133630,North Caldwell Boro
3750,133750,Nutley Town
3880,133880,City Of Orange Twp
4530,134530,Roseland Boro
4900,134900,South Orange-Maplewood
5370,135370,Verona Boro
5630,135630,West Essex Regional
5680,135680,West Orange Town
0860,150860,Clayton Boro
0870,150870,Clearview Regional
1100,151100,Deptford Twp
1180,151180,East Greenwich Twp
1330,151330,Elk Twp
1590,151590,Franklin Twp
1715,151715,Gateway Regional
1730,151730,Glassboro
1830,151830,Greenwich Twp
2070,152070,Harrison Twp
2440,152440,Kingsway Regional
0300,030300,Bergenfield Boro
2750,152750,Logan Twp
2990,152990,Mantua Twp
3280,153280,Monroe Twp
3490,153490,National Park Boro
3580,153580,Newfield Boro
0440,030440,Bogota Boro
4020,154020,Paulsboro Boro
0560,250560,Brielle Boro
