cds_code,district_name
232370,Jamesburg Boro
230750,Carteret Boro
050380,Beverly City
310420,Bloomingdale Boro
054740,Shamong Twp
034310,Ramsey Boro
070800,Cherry Hill Twp
190370,Bethlehem Twp
151590,Franklin Twp
070810,Chesilhurst
254360,Red Bank Boro
314010,Paterson City
253040,Matawan-Aberdeen Regional
213105,Mercer County Vocational
030290,Bergen County Vocational
075035,Sterling High School Dist
292940,Manchester Twp
253810,Ocean Twp
411620,Franklin Twp
395090,Summit City
152990,Mantua Twp
371800,Green Twp
254760,Shore Regional
031360,Emerson Boro
015760,Weymouth Twp
090710,Cape May City
010960,Corbin City
374650,Sandyston-Walpack Twp
095790,Wildwood City
332800,Lower Alloways Creek
251660,Freehold Twp
095840,Woodbine Boro
250180,Avon Boro
053010,Maple Shade Twp
034430,River Vale Twp
411670,Frelinghuysen Twp
412970,Mansfield Twp
295190,Toms River Regional
235850,Woodbridge Twp
294710,Seaside Heights Boro
231170,East Brunswick Twp
272000,Hanover Twp
251260,Eatontown Boro
130660,Caldwell-West Caldwell
254690,Sea Girt Boro
034370,Ridgefield Boro
071770,Gloucester City
032180,Hillsdale Boro
255645,Loch Arbour
251440,Fair Haven Boro
131465,Fairfield Twp
315570,Wayne Twp
294220,Point Pleasant Beach
031230,East Rutherford Boro
054930,Southampton Twp
331350,Elsinboro Twp
095700,West Wildwood
252320,Interlaken
274560,Roxbury Twp
275770,Wharton Boro
173610,North Bergen Twp
370520,Frankford Twp(Branchville Boro)
055010,Springfield Twp
215510,Robbinsville Twp
191050,Delaware Valley Regional
252920,Manalapan-Englishtown Reg
011690,Galloway Twp
033930,Paramus Boro
271090,Denville Twp
134900,South Orange-Maplewood
254570,Rumson Boro
331340,Pittsgrove Twp (Elmer Boro)
392420,Kenilworth Boro
393560,New Providence Boro
372165,High Point Regional
234910,South Plainfield Boro
034470,Rochelle Park Twp
275660,West Morris Regional
253500,Neptune City
034300,Ramapo-Indian Hill Reg
251456,Henry Hudson Regional
110995,Cumberland Co Vocational
031550,Franklin Lakes Boro
255310,Upper Freehold Regional
031450,Fair Lawn Boro
011310,Egg Harbor Twp
054450,Riverside Twp
354510,Montgomery Twp (Rocky Hill)
073420,Mount Ephraim Boro
092840,Lower Twp
090170,Avalon Boro
292550,Lavallette Boro
111120,Downe Twp
353320,Montgomery Twp
031345,Elmwood Park
035920,Wyckoff Twp
415480,Washington Boro
191970,Hampton Boro
251000,Deal Boro
035170,Hasbrouck Heights Boro (Teterboro)
034610,Saddle Brook Twp
072890,Magnolia Boro
214255,Princeton
074060,Pennsauken Twp
255185,Tinton Falls
350240,Bedminster Twp
190430,Bloomsbury Boro
172295,Hudson County Vocational
191600,Franklin Twp
175670,West New York Town
370640,Byram Twp
273950,Parsippany-Troy Hills Twp
170220,Bayonne City
155740,Westville Boro
412040,Harmony Twp
233220,Milltown Boro
093780,Ocean City
075140,Haddonfield (Tavistock)
293790,Ocean County Vocational
010110,Atlantic City
034600,Rutherford Boro
292500,Lakehurst Boro
012910,Mainland Regional
270785,Sch Dist Of The Chathams
155500,Washington Twp
351810,Green Brook Twp
250050,Allenhurst
071720,Gibbsboro Boro
034410,River Edge Boro
035330,Upper Saddle River Boro
033850,Old Tappan Boro
411870,Hackettstown
355550,Watchung Hills Regional
334150,Pittsgrove Twp
395290,Union Twp
355470,Warren Twp
014240,Port Republic City
250130,null
233140,Middlesex Boro
313995,Passaic County Vocational
372465,Kittatinny Regional
071900,Haddonfield
050840,Cinnaminson Twp
395000,Springfield Twp
233120,Metuchen Boro
071880,Haddon Heights Boro
030890,Cliffside Park Boro
234830,South Amboy City
151730,Glassboro
233845,Old Bridge Twp
011790,Greater Egg Harbor Reg
371930,Hamburg Boro
175580,Weehawken Twp
070150,Audubon Boro
273100,Mendham Twp
251650,Freehold Regional
132330,Irvington Township
010590,Buena Regional
030745,Carlstadt-East Rutherford
353670,North Plainfield Boro
070390,Black Horse Pike Regional
293820,Ocean Twp
412470,Knowlton Twp
033870,Oradell Boro
053920,Palmyra Boro
092820,Lower Cape May Regional
115300,Upper Deerfield Twp
053650,North Hanover Twp
195050,null
292980,Point Pleasant Beach (Mantoloking)
194350,Readington Twp
070880,Clementon Boro
034870,South Hackensack Twp
035755,Westwood Regional
231140,Dunellen Boro
334280,Quinton Twp
211430,Ewing Twp
054050,Pemberton Twp
073110,Merchantville Boro
110950,Commercial Twp
375110,Sussex County Vocational
250945,Colts Neck Twp
055490,Washington Twp
012780,Longport
115070,Stow Creek Twp
314270,Prospect Park Boro
273090,Mendham Boro
350350,Bernards Twp
030930,Closter Boro
070330,Berlin Boro
334075,Pennsville
253160,Middletown Twp
270450,Boonton Town
132730,Livingston Twp
192220,Holland Twp
192308,Hunterdon Co Vocational
253270,Monmouth Regional
190670,Califon Boro
053080,Medford Twp
035880,Woodcliff Lake Boro
051280,Edgewater Park Twp
234130,Piscataway Twp
055130,Tabernacle Twp
095610,West Cape May Boro
333860,Oldmans Twp
350555,Bridgewater-Raritan Reg
291150,Eagleswood Twp
111820,Greenwich Twp
273520,Netcong Boro
010570,Brigantine City
391320,Elizabeth City
052960,Mansfield Twp
252770,Long Branch City
231290,Edison Twp
354820,Somerville Boro
314230,Pompton Lakes Boro
274490,Rockaway Twp
274080,Pequannock Twp
075820,Winslow Twp
032200,Ho Ho Kus Boro
051250,Eastampton Twp
154020,Paulsboro Boro
215715,W Windsor-Plainsboro Reg
135630,West Essex Regional
395730,Westfield Town
053070,Medford Lakes Boro
190920,Clinton Twp
354850,South Bound Brook
050475,Bordentown Regional
075400,Voorhees Twp
151100,Deptford Twp
070340,Berlin Twp
415460,Warren County Vocational
354815,Somerset Hills Regional
271190,East Hanover Twp
171850,Guttenberg Town
212580,Lawrence Twp
294210,Point Pleasant Boro
051910,Hainesport Twp
171200,East Newark Boro
292360,Jackson Twp
113050,Maurice River Twp
272380,Jefferson Twp
031130,Dumont Boro
091080,Dennis Twp
174730,Secaucus Town
372615,Lenape Valley Regional
070700,Camden County Vocational
131400,Essex Fells Boro
133630,North Caldwell Boro
373840,Ogdensburg Boro
273370,Morris Hills Regional
234920,South River Boro
392190,Hillside Twp
033600,North Arlington Boro
133750,Nutley Town
273410,Mount Arlington Boro
