CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
3,80,4571306,2826374,2637035,99709,89632,912672,839794,384708,322057,437240,176139,0,2500,0,147,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,5.9,63199,49.3,78177,37,129451,7,Bergen
3,285,50934809,28105191,24729479,674882,2700830,12465276,11406153,4446710,3146681,5119478,2038554,150000,50345,1098098,602,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,2.9,78852,3.9,83506,36.1,131000,21.5,Bergen
3,290,59660740,29788177,27403030,1487780,897367,6024934,5616036,11954331,8729252,9069489,4858071,300172,1874389,453846,2381,Bergen County Vocational,Bergen,J. VOC,8,,,1,10.2,81938,65.6,82297,110.8,139759,12.5,Bergen
3,300,55613642,34793210,28786396,1671772,4335042,6890168,5866209,5937813,4910610,6513725,3933999,0,1120259,700318,3561,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,13,74275,71.8,79860,186.2,131239,17,Bergen
3,440,16490565,9894630,9003282,452740,438608,2168067,1240645,2166640,1362091,1657198,762259,0,586211,181939,1116,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,11.7,64233,64.1,64233,173.3,115653,17.5,Bergen
3,740,8707340,5289323,5030510,210772,48041,1290372,1110809,1128411,961577,958132,470583,0,35662,0,542,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,12.1,74234,88.8,75812,106.6,120000,10,Bergen
3,745,9987501,4976885,4665063,291720,20102,1943835,908870,1331611,974789,1255033,626812,0,448453,0,467,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,12.6,87502,104.6,116264,85.5,137600,7.6,Bergen
3,890,41595092,26743714,24687019,1186517,870178,6127222,4229698,4169163,3037727,2916083,1669274,251935,895844,248640,3110,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,12.8,64090,100.4,96728,210.9,126490,18.6,Bergen
3,930,17759169,11715032,11103177,398512,213343,2285714,1848452,2011490,1774040,1650342,1031869,0,92249,78572,1166,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,12.1,87760,77.8,90415,182.3,122005,17.4,Bergen
3,990,26740031,17318305,15847571,608619,862115,2947341,2435752,3277783,2876291,2523353,1314182,0,673248,42341,1851,Cresskill Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,12.7,77350,90.7,82277,141.6,128000,12.7,Bergen
3,1070,12687058,7581809,6941229,326635,313945,2271226,1794172,1342431,1159492,1304323,719980,0,129842,181502,684,Demarest Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,9.4,61833,53.2,67609,112.5,131427,14.1,Bergen
3,1130,38571817,24259022,22781043,1379515,98464,3922292,3547834,4740915,4121824,4621919,2906188,0,951005,26896,2536,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,11.9,73615,84.8,73180,142,137208,13.7,Bergen
3,1230,13643147,8943737,8369544,178729,395464,1924270,1527710,1524390,1222830,1160691,595692,0,47689,8773,819,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,11.5,89662,86.5,102647,164.4,124309,16.2,Bergen
3,1270,10905308,6640476,6200951,311139,128386,1749532,1066356,1312197,1098662,1163581,615890,0,18136,151727,957,Edgewater Boro,Bergen,A. K-6,1,DE,,1,13.7,55578,88.5,60079,159.3,137684,13.4,Bergen
3,1345,28402086,15400086,14573226,463320,363540,4754446,3687048,4449710,3596137,3142540,1832801,25000,607103,145165,2601,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,14.1,51610,114.6,54896,235.5,112939,18.7,Bergen
3,1360,17503646,10282821,9720788,263546,298487,1929980,1537618,2504951,2363392,1929746,1142745,0,795338,31447,1113,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,11.4,62625,86,61200,107.2,128385,10.7,Bergen
3,1370,53745406,31942675,26931029,1265099,3746547,9225985,6087199,6444790,5022513,5156473,1090197,0,922739,66759,3009,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,10.3,72006,66.7,75806,128.8,133148,14.5,Bergen
3,1380,10475748,6043059,5354561,522288,166210,2162138,1864206,1160319,880960,1068437,627484,0,19142,102943,484,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,8.7,69740,69.8,69715,97,130000,12.5,Bergen
3,1450,79385420,46384838,44293980,957262,1133596,13342965,11654949,9643399,8103439,7868576,3360040,0,1548046,316816,4941,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,12.2,74555,66.6,78755,182.9,157577,17.8,Bergen
