GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,0.335,0.336,0.372
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,0.311,0.323,0.359
A. K-6,Statewide,N.A.,5. State average - All operating types,0.301,0.306,0.333
A. K-6,Statewide,N.A.,6. State median - All operating types,0.290,0.295,0.326
A. K-6,Bergen,1270,Edgewater Boro,0.276,0.324,0.403
A. K-6,Bergen,3870,Oradell Boro,0.299,0.299,0.319
A. K-6,Bergen,4410,River Edge Boro,0.294,0.313,0.356
A. K-6,Bergen,4620,Saddle River Boro,0.380,0.370,0.387
A. K-6,Burlington,200,Bass River Twp,0.312,0.370,0.365
A. K-6,Burlington,830,Chesterfield Twp,0.305,0.299,0.331
A. K-6,Burlington,2960,Mansfield Twp,0.280,0.306,0.300
A. K-6,Burlington,3650,North Hanover Twp,0.334,0.362,0.383
A. K-6,Burlington,5010,Springfield Twp,0.320,0.322,0.388
A. K-6,Camden,2540,Laurel Springs Boro,0.312,0.282,0.393
A. K-6,Camden,5560,Waterford Twp,0.295,0.334,0.321
A. K-6,Cape May,710,Cape May City,0.318,0.346,0.389
A. K-6,Cape May,2840,Lower Twp,0.400,0.334,0.391
A. K-6,Cape May,5610,West Cape May Boro,0.137,0.154,0.206
A. K-6,Essex,1400,Essex Fells Boro,0.229,0.248,0.267
A. K-6,Essex,1465,Fairfield Twp,0.282,0.295,0.294
A. K-6,Essex,3630,North Caldwell Boro,0.352,0.362,0.401
A. K-6,Essex,4530,Roseland Boro,0.295,0.305,0.360
A. K-6,Gloucester,1180,East Greenwich Twp,0.255,0.253,0.283
A. K-6,Gloucester,1330,Elk Twp,0.366,0.365,0.426
A. K-6,Gloucester,1590,Franklin Twp,0.382,0.383,0.421
A. K-6,Gloucester,2070,Harrison Twp,0.247,0.242,0.253
A. K-6,Gloucester,2990,Mantua Twp,0.331,0.305,0.321
A. K-6,Gloucester,3490,National Park Boro,0.303,0.304,0.339
A. K-6,Gloucester,4880,South Harrison Twp,0.321,0.329,0.329
A. K-6,Gloucester,5120,Swedesboro-Woolwich,0.422,0.374,0.391
A. K-6,Gloucester,5590,Wenonah Boro,0.246,0.251,0.264
A. K-6,Gloucester,5740,Westville Boro,0.302,0.302,0.348
A. K-6,Gloucester,5870,Woodbury Heights Boro,0.240,0.253,0.285
