CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,7325,63247479,26672643,22871109,2571860,1229674,0,0,19570419,3626283,17004416,5273939,0,0,54124,3702,Team Academy Charter School,Essex,K. Charter,C,,,1,Essex
80,7730,9760237,5015776,4232347,621396,162033,1628372,1037995,1625741,1102273,1490348,0,0,0,29422,682,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,Essex
80,7735,8587487,4304733,3990246,201701,112786,786779,752573,2407042,1835414,1088933,287626,0,0,0,540,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,Essex
80,8065,11141526,5633066,5160894,216821,255351,381471,256328,3644901,2575686,1452300,0,29788,0,0,631,University Heights Cs,Essex,K. Charter,C,,,1,Essex
80,6030,3662705,2293408,1731388,78770,483250,0,0,618665,510432,750632,347621,0,0,50597,368,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6036,4253117,2719517,2357188,106352,255977,0,0,812454,698630,661710,87474,59436,0,0,365,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,Hudson
80,6064,4670900,2302911,2209519,31584,61808,0,0,1764103,1277803,603886,0,0,0,0,386,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6068,6390365,3297136,2786475,123706,386955,58413,0,1948979,1657723,1039355,0,0,46482,2058,506,M E T S Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6082,8666695,4257685,3735335,43209,479141,0,0,1143714,948934,3265296,990877,0,0,43430,839,Beloved Community Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6093,3161362,1570642,1421144,103255,46243,153059,74155,813974,248420,623686,132766,0,0,79840,358,Jersey City Global Cs,Hudson,K. Charter,C,,,1,Hudson
80,6103,3717292,1869991,1344675,28485,496831,0,0,722844,478702,1124456,298711,0,0,0,331,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6105,3132906,1753033,1490811,233188,29034,0,0,899217,516412,480656,0,0,0,66008,357,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6420,4247545,2905825,2769153,25849,110823,207362,182525,601567,498218,472277,40668,40000,20514,0,288,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,Hudson
80,6720,4696825,2456187,2279721,118652,57814,777806,390105,932198,728900,530634,0,0,0,0,298,Hoboken Cs,Hudson,K. Charter,C,,,1,Hudson
80,6910,6188204,3831858,3695663,69736,66459,326213,262746,1232804,840364,797330,465796,0,0,289059,560,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,Hudson
80,6915,5875864,2847204,2580713,139658,126833,1154920,967488,592975,471954,1280765,0,0,0,130387,499,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,Hudson
80,7115,5340664,3530031,3119819,95471,314741,0,0,1006540,743234,804093,290109,0,0,0,539,Learning Community Cs,Hudson,K. Charter,C,,,1,Hudson
80,7830,2670488,1688332,1571694,62540,54098,0,0,391492,295587,590664,74308,0,0,0,240,Soaring Heights Cs,Hudson,K. Charter,C,,,1,Hudson
80,8060,6255402,3497210,3206312,72775,218123,0,0,743307,601412,2002841,826731,0,0,99958,424,University Academy Cs,Hudson,K. Charter,C,,,1,Hudson
80,6017,11718359,6590873,5954020,293858,342995,241344,241344,3221334,2857948,1664808,249853,0,0,60682,1002,Foundation Academy Cs,Mercer,K. Charter,C,,,1,Mercer
80,6025,5365746,2782417,2139054,104720,538643,0,0,1374219,904717,1190538,276591,18572,0,0,375,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,Mercer
80,6183,4763202,2806402,1728699,525324,552379,48291,0,1499599,1312386,361791,0,47119,0,16579,295,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,Mercer
80,6810,1208953,602148,507733,42683,51732,0,0,501397,381061,105408,0,0,0,0,89,International Charter School,Mercer,K. Charter,C,,,1,Mercer
