GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,75.0,N.A.,63767,N.A.,72.6,N.A.,64519,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,75.0,N.A.,63584,N.A.,72.6,N.A.,64715,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,75.9,N.A.,77041,N.A.,74.8,N.A.,77501,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,75.9,N.A.,76138,N.A.,74.8,N.A.,76263,N.A.
A. K-6,Bergen,1270,Edgewater Boro,88.5,16|56,60079,27|56,93.0,13|56,60679,23|56
A. K-6,Bergen,3870,Oradell Boro,96.5,10|56,63815,34|56,109.1,7|56,68994,40|56
A. K-6,Bergen,4410,River Edge Boro,91.7,14|56,76441,51|56,81.8,18|56,82327,53|56
A. K-6,Bergen,4620,Saddle River Boro,47.4,51|56,66712,39|56,49.1,52|56,66712,37|56
A. K-6,Burlington,200,Bass River Twp,59.4,43|56,52339,16|56,58.9,40|56,52339,14|56
A. K-6,Burlington,830,Chesterfield Twp,97.9,9|56,59251,25|56,79.9,20|56,64630,33|56
A. K-6,Burlington,2960,Mansfield Twp,85.2,18|56,74857,47|56,95.4,10|56,73808,46|56
A. K-6,Burlington,3650,North Hanover Twp,54.6,47|56,70133,44|56,59.5,37|56,69533,42|56
A. K-6,Burlington,5010,Springfield Twp,72.0,31|56,57990,23|56,56.3,43|56,65276,35|56
A. K-6,Camden,2540,Laurel Springs Boro,84.2,22|56,49879,14|56,86.1,15|56,12616,1|56
A. K-6,Camden,5560,Waterford Twp,64.9,37|56,59707,26|56,56.9,42|56,62550,28|56
A. K-6,Cape May,710,Cape May City,176.0,3|56,31980,6|56,76.5,23|56,54935,16|56
A. K-6,Cape May,2840,Lower Twp,79.8,23|56,84973,55|56,61.4,35|56,84932,56|56
A. K-6,Cape May,5610,West Cape May Boro,127.5,5|56,17134,2|56,163.3,2|56,13459,2|56
A. K-6,Essex,1400,Essex Fells Boro,71.3,33|56,49094,13|56,59.5,37|56,41956,8|56
A. K-6,Essex,1465,Fairfield Twp,61.9,40|56,73527,46|56,60.8,36|56,74650,49|56
A. K-6,Essex,3630,North Caldwell Boro,70.1,34|56,51791,15|56,78.5,22|56,52183,13|56
A. K-6,Essex,4530,Roseland Boro,57.0,46|56,65029,36|56,55.1,45|56,63529,32|56
A. K-6,Gloucester,1180,East Greenwich Twp,84.7,20|56,64425,35|56,96.5,9|56,68269,39|56
A. K-6,Gloucester,1330,Elk Twp,126.0,6|56,67974,41|56,105.8,8|56,71889,44|56
A. K-6,Gloucester,1590,Franklin Twp,73.8,29|56,58124,24|56,73.0,27|56,55824,17|56
A. K-6,Gloucester,2070,Harrison Twp,107.4,8|56,78285,53|56,94.0,11|56,80725,52|56
A. K-6,Gloucester,2990,Mantua Twp,68.5,35|56,68753,42|56,63.9,34|56,71080,43|56
A. K-6,Gloucester,3490,National Park Boro,84.7,20|56,63361,33|56,84.4,16|56,67080,38|56
A. K-6,Gloucester,4880,South Harrison Twp,75.8,27|56,61265,31|56,93.9,12|56,63249,30|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,95.2,12|56,65082,38|56,91.6,14|56,65882,36|56
A. K-6,Gloucester,5590,Wenonah Boro,60.3,42|56,28079,5|56,58.5,41|56,28910,4|56
A. K-6,Gloucester,5740,Westville Boro,67.2,36|56,56620,21|56,69.1,31|56,58810,20|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,76.0,26|56,83284,54|56,76.3,24|56,83602,55|56
A. K-6,Hunterdon,2590,Lebanon Boro,N.R.,N.R.,N.R.,N.R.,133.8,5|56,44727,10|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,74.0,28|56,33334,7|56,75.9,25|56,29402,5|56
A. K-6,Monmouth,2160,Highlands Boro,62.5,38|56,27308,4|56,70.0,30|56,27028,3|56
A. K-6,Monmouth,4520,Roosevelt Boro,18.4,55|56,53798,17|56,18.0,56|56,56268,18|56
A. K-6,Morris,3240,Mine Hill Twp,144.0,4|56,61188,29|56,138.0,4|56,62398,26|56
A. K-6,Ocean,230,Beach Haven Boro,590.0,2|56,5000,1|56,59.5,37|56,30550,6|56
A. K-6,Ocean,320,Berkeley Twp,72.2,30|56,75390,48|56,75.0,26|56,74540,48|56
A. K-6,Ocean,1150,Eagleswood Twp,1775.0,1|56,57673,22|56,1600.0,1|56,62481,27|56
A. K-6,Ocean,2350,Island Heights Boro,96.0,11|56,44482,10|56,70.3,29|56,46069,11|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,84.9,19|56,69484,43|56,82.1,17|56,69484,41|56
A. K-6,Ocean,2760,Long Beach Island,58.8,44|56,78019,52|56,55.5,44|56,82719,54|56
A. K-6,Ocean,3800,Ocean Gate Boro,78.0,24|56,61018,28|56,71.0,28|56,63073,29|56
A. K-6,Ocean,3820,Ocean Twp,48.8,49|56,76402,50|56,50.7,50|56,76402,51|56
A. K-6,Ocean,4710,Seaside Heights Boro,38.5,54|56,54822,19|56,36.9,55|56,58999,21|56
A. K-6,Ocean,5020,Stafford Twp,77.8,25|56,55392,20|56,78.6,21|56,58232,19|56
A. K-6,Ocean,5220,Tuckerton Boro,48.3,50|56,54212,18|56,52.0,48|56,54212,15|56
