GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,18202,0.136,0.845,0.019,0,0,0,13.7,88.5,159.3,0.0805
A. K-6,Bergen,3870,Oradell Boro,18690,0.163,0.821,0.017,0,0,0,11.9,96.5,134.9,0.1253
A. K-6,Bergen,4410,River Edge Boro,18134,0.196,0.719,0.02,0.034,0.031,0,12.8,91.7,140.2,0.1082
A. K-6,Bergen,4620,Saddle River Boro,26200,0.125,0.85,0.008,0.012,0,0.005,8.9,47.4,37.7,0.1156
A. K-6,Burlington,200,Bass River Twp,25652,0.428,0.53,0.042,0,0,0,7.8,59.4,107,0.2991
A. K-6,Burlington,830,Chesterfield Twp,17800,0.177,0.808,0.012,0.003,0,0,12.9,97.9,150.8,0.1326
A. K-6,Burlington,2960,Mansfield Twp,25009,0.191,0.798,0.009,0.003,0,0,9.6,85.2,111.8,0.1306
A. K-6,Burlington,3650,North Hanover Twp,22303,0.474,0.1,0.417,0.01,0,0,10.3,54.6,141.5,0.1281
A. K-6,Burlington,5010,Springfield Twp,26776,0.324,0.572,0.025,0.01,0,0.069,9.1,72,61.7,0.1111
A. K-6,Camden,2540,Laurel Springs Boro,15960,0.461,0.513,0.026,0,0,0,12.2,84.2,111,0.1657
A. K-6,Camden,5560,Waterford Twp,19536,0.511,0.468,0.018,0.003,0,0,11,64.9,140.7,0.1256
A. K-6,Cape May,710,Cape May City,25633,0.241,0.393,0.362,0.003,0,0.001,8.3,176,58.7,0.1136
A. K-6,Cape May,2840,Lower Twp,19104,0.435,0.527,0.036,0.002,0,0,11.7,79.8,186.2,0.1301
A. K-6,Cape May,5610,West Cape May Boro,19394,0.429,0.53,0.037,0.004,0,0,10.7,127.5,51,0.0392
A. K-6,Essex,1400,Essex Fells Boro,24882,0.153,0.824,0.012,0.012,0,0,7.5,71.3,114,0.1228
A. K-6,Essex,1465,Fairfield Twp,19226,0.161,0.814,0.013,0.012,0,0,10.5,61.9,170.3,0.116
A. K-6,Essex,3630,North Caldwell Boro,21714,0.146,0.818,0.015,0.007,0.014,0,10,70.1,166.5,0.1486
A. K-6,Essex,4530,Roseland Boro,21688,0.161,0.818,0.015,0.006,0,0,12.4,57,91.2,0.1382
A. K-6,Gloucester,1180,East Greenwich Twp,17130,0.32,0.666,0.014,0,0,0,11.9,84.7,181.4,0.1228
A. K-6,Gloucester,1330,Elk Twp,18132,0.499,0.444,0.032,0.024,0,0.001,11.5,126,189,0.0794
A. K-6,Gloucester,1590,Franklin Twp,18487,0.475,0.445,0.027,0.045,0,0.008,11.4,73.8,175.3,0.1134
A. K-6,Gloucester,2070,Harrison Twp,16298,0.41,0.564,0.015,0.011,0,0,12,107.4,174.5,0.063
A. K-6,Gloucester,2990,Mantua Twp,18927,0.39,0.571,0.025,0.014,0,0,11.4,68.5,181,0.1247
