GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,136.6,N.A.,105595,N.A.,141.0,N.A.,108523,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,136.6,N.A.,109000,N.A.,141.0,N.A.,111620,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,150.8,N.A.,124099,N.A.,148.3,N.A.,125838,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,150.8,N.A.,123923,N.A.,148.3,N.A.,125207,N.A.
A. K-6,Bergen,1270,Edgewater Boro,159.3,17|56,137684,54|56,167.3,13|56,129178,51|56
A. K-6,Bergen,3870,Oradell Boro,134.9,27|56,109681,33|56,115.8,30|56,107161,24|56
A. K-6,Bergen,4410,River Edge Boro,140.2,24|56,150504,56|56,151.5,21|56,154869,56|56
A. K-6,Bergen,4620,Saddle River Boro,37.7,56|56,112406,40|56,43.8,56|56,120018,43|56
A. K-6,Burlington,200,Bass River Twp,107.0,35|56,130000,52|56,106.0,36|56,130000,52|56
A. K-6,Burlington,830,Chesterfield Twp,150.8,18|56,106644,27|56,155.0,20|56,106644,22|56
A. K-6,Burlington,2960,Mansfield Twp,111.8,33|56,96823,16|56,134.3,25|56,112192,34|56
A. K-6,Burlington,3650,North Hanover Twp,141.5,21|56,122876,48|56,139.1,24|56,125425,48|56
A. K-6,Burlington,5010,Springfield Twp,61.7,50|56,83215,10|56,112.5,33|56,102500,19|56
A. K-6,Camden,2540,Laurel Springs Boro,111.0,34|56,42498,4|56,114.8,32|56,46176,3|56
A. K-6,Camden,5560,Waterford Twp,140.7,23|56,104921,24|56,145.4,23|56,105593,21|56
A. K-6,Cape May,710,Cape May City,58.7,53|56,85862,11|56,51.0,55|56,85862,11|56
A. K-6,Cape May,2840,Lower Twp,186.2,6|56,100211,19|56,182.9,8|56,102857,20|56
A. K-6,Cape May,5610,West Cape May Boro,51.0,55|56,107703,28|56,81.7,42|56,67012,6|56
A. K-6,Essex,1400,Essex Fells Boro,114.0,31|56,128539,51|56,125.0,28|56,131616,53|56
A. K-6,Essex,1465,Fairfield Twp,170.3,12|56,130207,53|56,167.3,13|56,134438,54|56
A. K-6,Essex,3630,North Caldwell Boro,166.5,14|56,115000,42|56,166.8,15|56,115000,38|56
A. K-6,Essex,4530,Roseland Boro,91.2,39|56,109000,31|56,156.0,19|56,122830,46|56
A. K-6,Gloucester,1180,East Greenwich Twp,181.4,7|56,111000,36|56,184.7,6|56,111000,32|56
A. K-6,Gloucester,1330,Elk Twp,189.0,5|56,45000,5|56,349.0,2|56,102151,18|56
A. K-6,Gloucester,1590,Franklin Twp,175.3,10|56,110933,35|56,173.4,10|56,114242,36|56
A. K-6,Gloucester,2070,Harrison Twp,174.5,11|56,114128,41|56,173.4,10|56,116411,40|56
A. K-6,Gloucester,2990,Mantua Twp,181.0,8|56,105998,25|56,205.5,4|56,109178,28|56
A. K-6,Gloucester,3490,National Park Boro,150.6,19|56,33500,1|56,96.4,39|56,37822,2|56
A. K-6,Gloucester,4880,South Harrison Twp,364.0,1|56,103841,22|56,357.0,1|56,106759,23|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,165.7,15|56,111193,37|56,163.1,16|56,114992,37|56
A. K-6,Gloucester,5590,Wenonah Boro,100.6,36|56,92500,12|56,109.4,34|56,91050,12|56
A. K-6,Gloucester,5740,Westville Boro,165.0,16|56,33500,1|56,116.6,29|56,37250,1|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,228.0,3|56,110000,34|56,229.0,3|56,110000,29|56
A. K-6,Hunterdon,2590,Lebanon Boro,53.5,54|56,38695,3|56,107.0,35|56,143500,55|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,100.6,36|56,112270,39|56,98.4,38|56,127729,50|56
A. K-6,Monmouth,2160,Highlands Boro,95.7,38|56,55833,6|56,90.4,40|56,62000,5|56
A. K-6,Monmouth,4520,Roosevelt Boro,79.0,42|56,125000,50|56,81.0,43|56,125000,47|56
A. K-6,Morris,3240,Mine Hill Twp,120.0,29|56,122996,49|56,115.0,31|56,126378,49|56
A. K-6,Ocean,230,Beach Haven Boro,59.0,52|56,115000,42|56,66.0,50|56,85500,10|56
A. K-6,Ocean,320,Berkeley Twp,179.3,9|56,109000,31|56,177.6,9|56,112000,33|56
A. K-6,Ocean,1150,Eagleswood Twp,71.0,47|56,95470,14|56,64.0,51|56,95470,14|56
A. K-6,Ocean,2350,Island Heights Boro,80.0,41|56,77086,8|56,82.0,41|56,83201,9|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,142.8,20|56,111516,38|56,161.7,17|56,110861,31|56
A. K-6,Ocean,2760,Long Beach Island,78.3,43|56,116165,45|56,74.0,46|56,121973,45|56
A. K-6,Ocean,3800,Ocean Gate Boro,78.0,44|56,107722,29|56,71.0,48|56,113421,35|56
A. K-6,Ocean,3820,Ocean Twp,125.1,28|56,102622,21|56,130.0,27|56,108660,27|56
A. K-6,Ocean,4710,Seaside Heights Boro,233.0,2|56,92535,13|56,171.2,12|56,50673,4|56
A. K-6,Ocean,5020,Stafford Twp,167.5,13|56,116947,46|56,183.5,7|56,118814,42|56
A. K-6,Ocean,5220,Tuckerton Boro,136.5,26|56,106377,26|56,147.0,22|56,108500,26|56
A. K-6,Sussex,1630,Fredon Twp,73.7,46|56,102500,20|56,63.0,52|56,97000,15|56
A. K-6,Sussex,1980,Hampton Twp,62.4,49|56,82650,9|56,61.8,53|56,82150,8|56
A. K-6,Sussex,4650,Sandyston-Walpack Twp,141.0,22|56,115000,42|56,133.0,26|56,115000,38|56
A. K-6,Sussex,5040,Stillwater Twp,81.7,40|56,96165,15|56,74.9,44|56,93083,13|56
A. K-6,Warren,400,Blairstown Twp,76.0,45|56,103858,23|56,73.8,47|56,117620,41|56
A. K-6,Warren,1620,Franklin Twp,70.7,48|56,96826,17|56,66.7,49|56,99972,16|56
A. K-6,Warren,1670,Frelinghuysen Twp,140.0,25|56,140288,55|56,74.5,45|56,107644,25|56
A. K-6,Warren,2470,Knowlton Twp,61.3,51|56,73688,7|56,58.0,54|56,75899,7|56
A. K-6,Warren,2970,Mansfield Twp,196.6,4|56,107887,30|56,190.3,5|56,110584,30|56
A. K-6,Warren,5480,Washington Boro,115.8,30|56,100000,18|56,157.7,18|56,101475,17|56
A. K-6,Warren,5530,Washington Twp,112.5,32|56,117981,47|56,105.3,37|56,120930,44|56
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,142.2,N.A.,117145,N.A.,136.0,N.A.,119031,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,2. State Median - Operating Type K-8,142.2,N.A.,118007,N.A.,136.0,N.A.,118947,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,5. State Average - All Operating Types,150.8,N.A.,124099,N.A.,148.3,N.A.,125838,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,6. State Median - All Operating Types,150.8,N.A.,123923,N.A.,148.3,N.A.,125207,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,81.8,46|75,85000,19|75,80.9,46|75,81600,17|75
B. K-8 / 0 - 400,Atlantic,3020,Margate City,73.2,56|75,117413,58|75,70.2,55|75,106000,50|75
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,116.0,17|75,95900,28|75,100.0,29|75,102999,45|75
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,61.2,65|75,84250,17|75,47.1,67|75,83000,19|75
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,37.0,71|75,129451,65|75,45.7,69|75,111780,55|75
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,104.8,28|75,115000,54|75,98.8,30|75,117200,63|75
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,104.0,30|75,95000,27|75,103.3,19|75,97613,35|75
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,90.0,40|75,132499,68|75,124.9,12|75,133657,69|75
B. K-8 / 0 - 400,Burlington,380,Beverly City,55.4,66|75,67758,6|75,71.5,54|75,96663,33|75
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,77.2,51|75,75675,12|75,49.1,65|75,85000,21|75
B. K-8 / 0 - 400,Burlington,4460,Riverton,134.5,8|75,72000,7|75,131.8,7|75,76500,9|75
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,71.1,58|75,77521,14|75,72.8,53|75,86509,22|75
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,276.4,1|75,73000,9|75,150.5,5|75,69010,8|75
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,187.9,3|75,127500,64|75,196.4,2|75,142500,72|75
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,64.4,63|75,74622,11|75,79.3,47|75,80388,16|75
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,121.3,14|75,65000,5|75,125.3,11|75,78000,11|75
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,24.3,73|75,99368,32|75,28.3,74|75,101354,39|75
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,52.5,68|75,105805,46|75,54.8,63|75,108768,53|75
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,30.0,72|75,99368,32|75,33.0,72|75,102349,43|75
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,74.4,55|75,101470,37|75,62.8,59|75,101620,40|75
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,110.5,21|75,92366,23|75,75.8,50|75,88000,25|75
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,108.7,23|75,105060,44|75,102.3,24|75,105060,48|75
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,89.0,41|75,84991,18|75,91.5,39|75,87541,24|75
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,63.0,64|75,82400,15|75,31.0,73|75,84872,20|75
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,110.0,22|75,145635,72|75,57.0,62|75,148347,73|75
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,N.R.,N.R.,N.R.,N.R.,237.0,1|75,65000,6|75
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,92.5,38|75,100565,35|75,88.5,42|75,102543,44|75
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,85.0,42|75,125000,63|75,95.0,34|75,125000,67|75
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,41.2,70|75,61225,3|75,44.1,70|75,60000,5|75
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,96.5,34|75,135402,71|75,101.0,27|75,102165,42|75
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,107.5,N.A.,97325,N.A.,103.6,18|75,100163,37|75
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,103.0,31|75,123520,61|75,89.8,40|75,123571,66|75
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,72.0,57|75,104239,40|75,92.3,38|75,110316,54|75
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,129.0,12|75,107520,49|75,127.0,10|75,117000,62|75
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,65.0,62|75,108500,50|75,53.5,64|75,50000,3|75
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,74.6,54|75,101990,38|75,74.4,52|75,102104,41|75
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,104.7,29|75,102559,39|75,101.9,26|75,105226,49|75
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro,54.3,67|75,64121,4|75,46.5,68|75,49275,2|75
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,51.1,69|75,28862,2|75,48.9,66|75,68580,7|75
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,79.5,49|75,106107,47|75,98.3,31|75,112172,56|75
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,81.5,47|75,129806,66|75,84.0,45|75,129806,68|75
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,79.6,48|75,104448,41|75,77.5,49|75,116187,61|75
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,102.5,32|75,93000,24|75,93.6,36|75,96000,31|75
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,116.0,17|75,135000,69|75,69.2,56|75,79500,13|75
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,70.5,60|75,119551,59|75,37.2,71|75,82560,18|75
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,69.6,61|75,115000,54|75,58.7,61|75,120000,65|75
