CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9987338,6727334,6576236,103483,47615,1136056,1007816,1133775,938704,939944,537529,0,43465,2670,819,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,110,116162600,75920177,70298883,2053825,3567469,12262002,10996779,11027682,8878467,15885384,8811639,0,798334,375345,6969,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic
1,120,19338645,10350077,9370448,618311,361318,2179719,2023990,2306387,1577104,3744389,1942677,0,476381,190359,1548,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic
1,125,18101715,10021310,9664664,93868,262778,3689874,3527560,2247484,1929950,1943047,1021794,200000,0,33441,365,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic
1,570,13417123,8438761,8154109,189676,94976,1941860,1649518,1246413,1010319,1634417,947692,0,148512,163696,611,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
1,590,28977380,17459441,16807020,210510,441911,4354840,3513957,3301674,2615114,3034353,1425136,0,826350,230164,1808,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic
1,1300,7435120,4453437,4168604,159010,125823,1207073,1105694,824780,693739,889368,395917,0,60462,0,495,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic
1,1310,104895839,63405105,59948690,1416653,2039762,18839822,17314109,8727811,7183151,11665044,7497067,0,1215970,587270,7395,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic
1,1410,2959299,1728371,1605450,102194,20727,409507,356389,360862,256067,443586,200512,0,8031,0,175,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,1540,5322944,3311216,3080960,146446,83810,899529,826795,552108,397203,508821,244149,0,48958,3516,401,Folsom Boro,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
