CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,20852,,N.A.,N.A.,21866,,N.A.,N.A.
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,20465,,N.A.,N.A.,21455,,N.A.,N.A.
Atlantic,10,Absecon City,15976759,875,18265,18,16497646,913,18066,12,"K. K-12|K-8,751+",KK-12K-8751plus
Atlantic,110,Atlantic City,172307927,7171,24029,85,172165007,7153,24068,79,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,120,Atlantic Co Vocational,28384686,1548,18333,4,32296966,1603,20150,5,Q. County Voc,QCountyVoc
Atlantic,125,Atlantic Co Special Serv,22625162,365,61963,4,22831287,348,65579,3,P. CSSD,PCSSD
Atlantic,570,Brigantine City,22060428,738,29886,69,21767781,687,31703,70,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,590,Buena Regional,45894390,1869,24555,40,45589351,1798,25354,41,"L. K-12|K-12,0-1800",LK-12K-120-1800
Atlantic,960,Corbin City,1229330,69,17816,4,1170341,66,17732,3,K-12|Non-Operating,
Atlantic,1300,Egg Harbor City,12961646,512,25298,63,12945232,553,23399,48,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,1310,Egg Harbor Twp,152996716,7497,20407,44,156806451,7485,20950,43,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,1410,Estell Manor City,5203137,208,25015,51,5053506,210,24015,40,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1540,Folsom Boro,9210858,486,18939,16,9820770,475,20670,24,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,1690,Galloway Twp,67859456,3336,20343,42,72249780,3357,21525,40,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1790,Greater Egg Harbor Reg,85261385,3270,26076,34,84487317,3184,26538,31,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,1940,Hamilton Twp,54536092,3132,17411,10,57815244,3049,18965,17,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1960,Hammonton Town,57151569,3631,15741,1,58596553,3546,16525,1,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,2680,Linwood City,15796985,840,18801,27,16472791,823,20015,31,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,2780,Longport,973809,43,22647,8,1205626,53,22748,11,K-12|Non-Operating,
Atlantic,2910,Mainland Regional,32690017,1303,25098,31,33318112,1273,26172,28,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,3020,Margate City,15750701,452,34881,73,15954619,434,36796,72,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,3480,Mullica Twp,13940596,758,18400,11,13343987,746,17885,7,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,3720,Northfield City,16439613,932,17643,12,17432898,909,19186,19,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,4180,Pleasantville City,97266425,3913,24858,89,96345838,3929,24519,82,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,4240,Port Republic City,3133900,171,18291,7,3131663,162,19281,6,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,4800,Somers Point City,19512019,963,20254,40,20652115,936,22057,43,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,5350,Ventnor City,24494361,944,25945,65,25601132,937,27324,64,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,5760,Weymouth Twp,5050353,202,24964,50,5435996,201,27112,57,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,6060,Atlantic City Community,4967582,294,16879,44,6590247,375,17593,49,O. Charter,OCharter
Atlantic,6104,International Academy,4381436,328,13366,12,5494149,348,15788,34,O. Charter,OCharter
Atlantic,7410,Charter~tech High School,6812273,320,21288,78,7120410,353,20188,76,O. Charter,OCharter
Bergen,40,Allendale Boro,18568226,925,20070,39,19646991,918,21403,39,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,80,Alpine Boro,6903158,225,30633,68,7229733,213,33884,70,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,285,Bergen Co Special Service,60684202,642,94464,8,62702317,602,104097,7,P. CSSD,PCSSD
Bergen,290,Bergen County Vocational,76219691,2321,32843,19,79362905,2381,33326,20,Q. County Voc,QCountyVoc
Bergen,300,Bergenfield Boro,71588135,3603,19870,39,73797241,3605,20470,35,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,440,Bogota Boro,25350711,1131,22421,32,26862594,1151,23341,33,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,740,Carlstadt Boro,13557226,561,24158,59,14000076,557,25156,60,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,745,Carlstadt-East Rutherford,15998769,496,32230,45,16317028,498,32768,45,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,890,Cliffside Park Boro,53825776,3099,17368,9,57624860,3154,18269,11,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,930,Closter Boro,22747884,1143,19894,36,23507453,1183,19877,29,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,990,Cresskill Boro,34580242,1868,18514,18,36995330,1869,19792,23,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1070,Demarest Boro,21467742,688,31226,70,17115769,699,24476,54,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,1130,Dumont Boro,51316451,2549,20128,38,55591083,2601,21371,45,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1230,East Rutherford Boro,18759259,836,22451,59,19921279,844,23606,60,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1270,Edgewater Boro,24860104,1323,18785,16,25467354,1399,18202,9,H. K-12|K-6,HK-12K-6
Bergen,1345,Elmwood Park,44977781,2636,17062,7,46477929,2658,17484,7,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1360,Emerson Boro,23056677,1142,20186,21,23902315,1137,21029,23,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,1370,Englewood City,79874487,3159,25286,72,80735585,3086,26158,69,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1380,Englewood Cliffs Boro,14765288,583,25320,64,16630237,550,30224,69,"J. K-12|K-8,401-750",JK-12K-8401-750
Bergen,1450,Fair Lawn Boro,103588981,4947,20940,56,107560724,5015,21450,48,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1470,Fairview Boro,26475581,1948,13591,1,30416208,2016,15091,1,"K. K-12|K-8,751+",KK-12K-8751plus
Bergen,1550,Fort Lee Boro,78258959,3793,20631,50,80241325,3977,20178,29,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1580,Franklin Lakes Boro,33084558,1169,28315,73,34696852,1137,30516,74,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1700,Garfield City,114235603,5029,22717,76,115395456,4969,23224,73,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,1760,Glen Rock Boro,52944004,2509,21099,51,56812491,2556,22231,49,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1860,Hackensack City,116073133,5769,20119,43,122074548,5766,21170,46,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,2050,Harrington Park Boro,14769002,631,23406,52,15151482,638,23759,49,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,2080,Hasbrouck Heights Boro,36243696,1890,19175,16,35408087,1831,19337,11,"L. K-12|K-12,0-1800",LK-12K-120-1800
