CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6099,5278958,2966269,2715069,91200,160000,701133,397493,1243643,1032108,367913,0,0,0,30000,10.6,59910,141,72383,69.6,70000,7,296,Link Community Charter School,Essex,K. Charter,C,,,1,Essex
80,6109,3159774,1721528,948515,100472,672541,268231,217477,626757,381760,533558,0,0,0,0,21.8,65000,60,58100,48,78750,3,240,Lead Charter School,Essex,K. Charter,C,,,1,Essex
80,6110,3035660,1937088,1607982,129345,199761,345573,266073,369999,253403,383000,0,0,0,214500,14.7,62000,250,66000,100,112000,7.2,250,Achieve Community Charter School,Essex,K. Charter,C,,,1,Essex
80,6320,1821506,1115876,897245,55000,163631,106500,0,384870,238780,214260,0,0,0,0,13,61800,,,38.8,84872,3,100,Discovery Cs,Essex,K. Charter,C,,,1,Essex
80,6410,6706473,3149394,2865547,167500,116347,1760098,1561348,1031730,515196,755012,0,0,0,60000,,,493,80793,,,,493,East Orange Community Cs,Essex,K. Charter,C,,,1,Essex
80,6665,5670307,2884839,2452663,261576,170600,811500,681240,1085968,805968,888000,0,0,0,0,17.3,69070,173,89713,115.3,118000,7.3,346,Gray Cs,Essex,K. Charter,C,,,1,Essex
80,7210,25457573,13393756,11539478,776775,1077503,4752744,3851244,3536513,3120941,3467560,0,0,0,36000,15.8,58725,116.3,77204,108,118980,7.8,1512,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,Essex
80,7290,9211489,5093872,4533872,400000,160000,1589869,611648,2144844,1436793,294126,0,0,0,505000,16.9,55913,271.6,30000,157.9,100000,9.9,679,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,Essex
80,7320,85122748,43415495,34870085,3214936,5330474,8042739,2375471,20872143,9809952,12792372,0,0,0,0,15.5,62000,410.5,70999,299.8,89500,20.1,5336,North Star Academy Charter School,Essex,K. Charter,C,,,1,Essex
80,7325,70576774,37919747,27231803,2398792,8289152,13941584,9436179,9662724,4718316,9052719,0,0,0,1585367,25.9,71000,190,74000,1092.8,92500,48,4371,Team Academy Charter School,Essex,K. Charter,C,,,1,Essex
80,7730,9815286,5116752,4235552,815200,66000,1654046,975046,1460487,1107075,1584000,0,0,0,50000,14.6,58767,148.3,62220,148.3,124873,11.2,682,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,Essex
80,7735,9666018,5401306,4890306,206000,305000,1230430,842530,2153396,1900221,880886,0,0,0,5000,10,53400,186,57475,62,124540,6.6,558,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,Essex
80,8065,14872581,7896478,7051533,393695,451250,2199268,1738134,2650735,1945715,2105700,0,0,0,0,17.5,53500,199,55000,99.5,91500,6.2,995,University Heights Cs,Essex,K. Charter,C,,,1,Essex
80,6030,4309339,2585858,2187873,81500,316485,620443,538643,687431,594431,415607,0,0,0,45000,11.7,46398,128.7,52545,64.3,66500,6,386,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6036,4752361,2640471,2345125,123970,171376,682568,326068,832635,615435,596688,0,0,0,0,18.1,54894,199.5,65819,399,78000,24.1,399,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,Hudson
80,6064,4788802,2658432,2538432,60000,60000,644556,494556,881237,666737,604577,0,0,0,43326,13.2,55750,128,60750,128,105000,10.7,384,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6068,9722033,4533024,3870480,252796,409748,1591339,880421,2078085,1606987,1519585,0,0,0,14753,11.7,55950,225.7,66829,112.8,104000,10.2,677,M E T S Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6082,11302475,5582520,5167386,125615,289519,2103312,1828186,1507809,1065410,2108834,0,0,0,104489,16.1,56250,360,65000,120,75000,7.8,1080,Beloved Community Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6093,4380453,2549403,2358828,108575,82000,525080,325477,728970,367050,577000,0,0,0,30000,14.6,46000,424,66000,141.3,90000,10,424,Jersey City Global Cs,Hudson,K. Charter,C,,,1,Hudson
80,6103,5983563,3172593,2694975,58860,418758,641875,467092,1117751,810931,1043821,0,0,0,59400,14.7,54000,191.3,54000,114.8,90000,8.4,574,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6105,8806184,3870168,3104388,557481,208299,1053465,695876,2175659,1025314,1706892,0,0,0,184489,15.9,45400,350.5,58650,701,93636,46,701,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,Hudson
80,6420,4593538,2980476,2782372,44688,153416,550046,410596,616105,483046,446911,0,0,0,0,11,62294,94.4,71120,276.9,10250,29.2,288,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,Hudson
80,6720,4726419,2391088,2211588,112000,67500,740037,410887,955890,724890,639403,0,0,0,0,10.6,58500,106.4,39875,59.6,94000,6.2,298,Hoboken Cs,Hudson,K. Charter,C,,,1,Hudson
80,6910,6467300,3590709,3402209,110000,78500,1058220,915120,1025308,501008,231100,0,0,0,27500,16.1,57480,165.7,54879,145,94000,9.9,580,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,Hudson
80,6915,5998604,3212207,2947207,135000,130000,908394,498394,904481,671481,973522,0,0,0,15000,12.9,50160,180.7,50845,90.3,111179,7.5,542,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,Hudson
80,7115,5630244,3748892,3399430,129650,219812,855598,696860,834004,505024,191750,0,0,0,140000,14.7,49533,157,64158,523.3,84701,38.8,628,Learning Community Cs,Hudson,K. Charter,C,,,1,Hudson
80,7830,2965550,1864083,1711083,80000,73000,251687,93687,454062,307062,395718,0,0,0,60000,16.7,70810,165.6,52223,265,118180,17.5,265,Soaring Heights Cs,Hudson,K. Charter,C,,,1,Hudson
80,8060,6443800,3803346,3578546,86200,138600,832436,730336,885518,722618,922500,0,0,0,66400,10.7,50958,81.5,61118,65.2,81949,6.8,440,University Academy Cs,Hudson,K. Charter,C,,,1,Hudson
80,6017,14265506,7896402,7390278,307274,198850,1458348,703769,4010424,3613672,748000,0,0,0,0,14,61627,218.4,59338,218.4,127618,16.6,1092,Foundation Academy Cs,Mercer,K. Charter,C,,,1,Mercer
80,6025,5417413,3169405,2445694,253545,470166,633214,383679,1133247,746601,481547,0,0,0,8544,,,,,,,,375,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,Mercer
80,6183,8934324,3991615,3092615,539000,360000,3108827,2086189,995382,621682,838500,0,0,0,40400,17.2,54000,195,80000,195,135000,12.3,585,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,Mercer
80,6810,1370792,710787,598683,47500,64604,183053,114353,362312,293062,114640,0,0,0,0,10.6,53557,89,54332,89,110480,9.4,89,International Charter School,Mercer,K. Charter,C,,,1,Mercer
80,7500,4238018,2615930,2407680,136500,71750,448002,311002,620526,512000,553560,0,0,0,0,12.8,53000,345,65000,172.5,112499,14,345,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,Mercer
80,7540,6034167,3835720,3681670,108000,46050,668843,300573,1135792,793392,146596,0,0,0,5000,10.9,65000,530,75785,141.3,132070,13.3,424,Princeton Cs,Mercer,K. Charter,C,,,1,Mercer
80,7895,1171839,600423,491523,93400,15500,209253,65253,248559,154509,113605,0,0,0,14900,14,50000,44.3,19320,23.3,75000,2.2,70,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,Mercer
80,8140,4589913,2674364,2339809,183890,150665,739594,422444,870891,763051,154047,0,0,0,0,10.6,55000,120,72000,90,137000,9.3,360,Village Cs,Mercer,K. Charter,C,,,1,Mercer
80,6032,8595962,4647462,3951106,225062,471294,1644115,1320470,1652382,1344027,652003,0,0,0,118000,10.6,53000,78.9,53000,78.9,105000,8.4,552,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,Middlesex
80,6041,5829758,3627113,3512749,72901,41463,438809,234809,924854,705400,838982,0,0,0,39319,12.7,53522,101.2,31000,163.7,89604,14.5,491,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,Middlesex
80,6635,5698177,3352717,3287217,61000,4500,673701,571877,1076357,781937,144500,0,0,0,0,11.2,57298,127.1,47188,98.5,92832,9.6,394,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,Middlesex
80,7896,1135192,575367,492842,58118,24407,141074,122574,205321,152826,213430,0,0,0,30240,9,46000,85.5,23006,470,7820,58,94,Middlesex Charter School,Middlesex,K. Charter,C,,,1,Middlesex
80,6010,3135343,1532009,1420230,60400,51379,659379,507134,529110,495712,414845,0,0,0,15675,11.1,54922,57.3,62783,90,115907,9.7,189,Academy Charter High School,Monmouth,K. Charter,C,,,1,Monmouth
80,6740,3138472,1615755,1456061,41125,118569,399178,225693,872700,662166,137872,0,0,0,102803,9.6,49000,81.1,28000,65.6,88009,7.6,236,Hope Academy Cs,Monmouth,K. Charter,C,,,1,Monmouth
80,7720,2791118,1549397,1417747,72250,59400,429082,343248,606731,484424,63000,0,0,0,43000,7.5,48475,55.6,37000,100,98124,15.2,200,The Red Bank Cs,Monmouth,K. Charter,C,,,1,Monmouth
80,7891,3058946,1880978,1732482,78800,69696,377343,247343,462438,192556,300187,0,0,0,26291,12,54500,228,76000,228,90000,20,228,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,Monmouth
80,8050,3673311,1866587,1701028,54000,111559,523204,411582,769352,539799,514168,0,0,0,0,11.7,49102,100,65000,80,69000,7.6,240,Unity Cs,Morris,K. Charter,C,,,1,Morris
80,7893,3286616,1620041,1330405,195000,94636,256608,130608,754491,567491,655476,0,0,0,39798,18.3,45000,220,50000,110,60000,6.5,220,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,Ocean
80,6021,14364470,7619141,5728862,1675279,215000,2159291,1516136,2531497,1988757,2054541,0,0,0,0,13.6,54587,225,60490,64.3,91867,5,900,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,Passaic
80,6079,4277673,2395367,2159336,155000,81031,629646,532646,681669,435664,550992,0,0,0,0,15.6,51400,105,71500,140,109200,10.3,420,John P Holland Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6080,17961627,8576685,7716149,613752,246784,2403532,1852853,4469160,2112923,2499999,0,0,0,92528,13.7,46700,181.3,59483,,,,1450,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6096,10492858,4683506,3977875,526861,178770,1440122,1083974,2340075,961258,2022156,0,0,0,174320,15.1,46000,136.7,56111,393,83455,28.9,786,Paterson Arts And Science Cs,Passaic,K. Charter,C,,,1,Passaic
80,6106,2588651,1492059,1470209,11400,10450,414476,318293,318873,194080,363244,0,0,0,0,11.4,52000,50.4,63000,107,95000,11.6,214,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,Passaic
80,6230,1863483,824198,734883,47785,41530,176690,102582,515374,170240,347222,0,0,0,0,10.3,39671,118,45000,59,62500,6.3,118,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,Passaic
80,7503,18612224,9399139,8847272,289806,262061,2791301,2250401,2769328,2386158,3642456,0,0,0,126205,12.6,54675,130.9,63675,144,87800,12.5,1440,Paterson Cs For Sci/Tech,Passaic,K. Charter,C,,,1,Passaic
80,7892,5812698,3130158,2386387,231750,512021,441677,365379,1443199,539690,759664,0,0,0,74500,18.1,53000,490,61500,122.5,92455,7,490,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6018,9733828,5335337,4824080,312298,198959,1094365,755836,1770187,1402345,1533940,0,0,0,503600,11.1,48600,138.6,49316,269.1,70380,26.4,818,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,Somerset
80,6081,6293879,3196856,2731257,288000,177599,768579,509679,1223934,978834,1104510,0,0,0,0,17.2,55000,263,63981,102.1,90880,6.3,526,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,Somerset
80,7850,3855846,2460101,2318406,82195,59500,491207,288671,634869,546469,104800,0,0,0,0,10,56968,112.5,59350,90,94000,9.8,225,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,Sussex
80,6033,3516514,1810744,1565944,90000,154800,571630,428552,599140,406230,535000,0,0,0,0,12,53045,,,239,68000,20,239,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,Union
80,6101,11458501,5804812,4509926,315800,979086,587623,292623,2574091,942064,2446975,0,0,0,182200,14.5,52500,253.3,60500,253.3,81750,18.5,1013,College Achieve Central Charter School,Union,K. Charter,C,,,1,Union
80,6102,2963686,1599394,1459915,74000,65479,370150,272330,603764,404664,390378,0,0,0,15000,11,55500,115.4,66750,72.6,95481,7.2,225,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,Union
80,7600,4260068,2488402,1959602,128300,400500,628038,274986,954902,628902,118450,0,0,0,0,0,50000,0,50000,0,115200,10.3,0,Queen City Academy Cs,Union,K. Charter,C,,,1,Union
80,8010,5581315,3160110,2370506,172604,617000,556305,392805,993309,498961,871592,0,0,0,0,19.2,52981,192,59978,76.8,70300,4.4,384,Union County Teams Cs,Union,K. Charter,C,,,1,Union
80,7727,1922056,1240946,1197730,37966,5250,172917,23457,453925,401818,54268,0,0,0,0,6.8,47000,,,62.8,70000,9,130,Ridge And Valley Cs,Warren,K. Charter,C,,,1,Warren
