GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,10.9,N.A.,62964,N.A.,10.9,N.A.,64207,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,10.9,N.A.,61184,N.A.,10.9,N.A.,61859,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,11.9,N.A.,71253,N.A.,11.8,N.A.,72376,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,11.9,N.A.,67836,N.A.,11.8,N.A.,68985,N.A.
A. K-6,Bergen,1270,Edgewater Boro,13.7,1|56,55578,10|56,14.3,1|56,56953,7|56
A. K-6,Bergen,3870,Oradell Boro,11.9,10|56,58208,21|56,11.4,15|56,64055,37|56
A. K-6,Bergen,4410,River Edge Boro,12.8,3|56,61977,35|56,13.1,5|56,64587,42|56
A. K-6,Bergen,4620,Saddle River Boro,8.9,42|56,74718,56|56,8.8,41|56,74718,55|56
A. K-6,Burlington,200,Bass River Twp,7.8,51|56,60434,27|56,8.3,43|56,61302,26|56
A. K-6,Burlington,830,Chesterfield Twp,12.9,2|56,59570,25|56,13.4,4|56,59570,20|56
A. K-6,Burlington,2960,Mansfield Twp,9.6,31|56,62288,38|56,9.5,32|56,61812,28|56
A. K-6,Burlington,3650,North Hanover Twp,10.3,28|56,69225,49|56,9.8,31|56,68060,45|56
A. K-6,Burlington,5010,Springfield Twp,9.1,38|56,61278,30|56,9.9,29|56,59018,17|56
A. K-6,Camden,2540,Laurel Springs Boro,12.2,6|56,58081,19|56,13.8,3|56,56869,6|56
A. K-6,Camden,5560,Waterford Twp,11.0,19|56,59003,23|56,10.2,25|56,60324,23|56
A. K-6,Cape May,710,Cape May City,8.3,46|56,58105,20|56,7.4,52|56,58105,13|56
A. K-6,Cape May,2840,Lower Twp,11.7,13|56,59507,24|56,11.1,17|56,59982,22|56
A. K-6,Cape May,5610,West Cape May Boro,10.7,24|56,53256,4|56,10.1,27|56,54975,4|56
A. K-6,Essex,1400,Essex Fells Boro,7.5,53|56,62536,39|56,7.8,48|56,64100,38|56
A. K-6,Essex,1465,Fairfield Twp,10.5,26|56,67277,46|56,10.5,24|56,60692,24|56
A. K-6,Essex,3630,North Caldwell Boro,10.0,30|56,51970,2|56,10.7,22|56,51904,2|56
A. K-6,Essex,4530,Roseland Boro,12.4,5|56,63529,40|56,11.7,12|56,62529,33|56
A. K-6,Gloucester,1180,East Greenwich Twp,11.9,10|56,58538,22|56,12.5,8|56,62335,31|56
A. K-6,Gloucester,1330,Elk Twp,11.5,16|56,61799,34|56,11.0,19|56,69301,49|56
A. K-6,Gloucester,1590,Franklin Twp,11.4,17|56,52824,3|56,11.9,9|56,51474,1|56
A. K-6,Gloucester,2070,Harrison Twp,12.0,8|56,70625,54|56,12.8,7|56,76625,56|56
A. K-6,Gloucester,2990,Mantua Twp,11.4,17|56,57053,15|56,11.0,19|56,61853,29|56
A. K-6,Gloucester,3490,National Park Boro,10.8,21|56,69561,51|56,11.1,17|56,70717,50|56
A. K-6,Gloucester,4880,South Harrison Twp,11.7,13|56,54006,6|56,11.2,16|56,56994,8|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,11.7,13|56,61582,32|56,11.6,13|56,64482,40|56
A. K-6,Gloucester,5590,Wenonah Boro,9.4,36|56,60454,28|56,8.9,40|56,62378,32|56
A. K-6,Gloucester,5740,Westville Boro,12.5,4|56,70470,52|56,13.0,6|56,73265,52|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,9.3,37|56,55242,9|56,9.4,35|56,58974,15|56
A. K-6,Hunterdon,2590,Lebanon Boro,5.9,55|56,53760,5|56,7.8,48|56,57838,11|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,10.8,21|56,74589,55|56,10.2,25|56,74589,54|56
A. K-6,Monmouth,2160,Highlands Boro,9.0,41|56,61195,29|56,8.3,43|56,59895,21|56
A. K-6,Monmouth,4520,Roosevelt Boro,8.4,45|56,55098,8|56,8.5,42|56,54868,3|56
A. K-6,Morris,3240,Mine Hill Twp,10.9,20|56,57925,18|56,10.1,27|56,59035,18|56
A. K-6,Ocean,230,Beach Haven Boro,5.0,56|56,51345,1|56,5.5,56|56,57240,10|56
A. K-6,Ocean,320,Berkeley Twp,12.2,6|56,62056,36|56,11.8,10|56,62540,34|56
A. K-6,Ocean,1150,Eagleswood Twp,9.1,38|56,57495,16|56,7.7,50|56,62720,35|56
A. K-6,Ocean,2350,Island Heights Boro,9.5,33|56,56980,14|56,9.4,35|56,57970,12|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,10.8,21|56,65772,43|56,11.8,10|56,65734,43|56
A. K-6,Ocean,2760,Long Beach Island,7.1,54|56,64879,42|56,7.1,54|56,68454,47|56
A. K-6,Ocean,3800,Ocean Gate Boro,9.5,33|56,54715,7|56,9.2,37|56,57145,9|56
A. K-6,Ocean,3820,Ocean Twp,9.5,33|56,64350,41|56,9.5,32|56,58975,16|56
A. K-6,Ocean,4710,Seaside Heights Boro,10.2,29|56,67901,47|56,9.9,29|56,73529,53|56
A. K-6,Ocean,5020,Stafford Twp,11.8,12|56,56167,11|56,11.6,13|56,59382,19|56
A. K-6,Ocean,5220,Tuckerton Boro,9.1,38|56,56712,12|56,9.5,32|56,56712,5|56
A. K-6,Sussex,1630,Fredon Twp,8.0,48|56,57561,17|56,6.7,55|56,58752,14|56
A. K-6,Sussex,1980,Hampton Twp,7.8,51|56,66793,45|56,7.3,53|56,64531,41|56
A. K-6,Sussex,4650,Sandyston-Walpack Twp,8.5,44|56,61349,31|56,8.1,46|56,62099,30|56
A. K-6,Sussex,5040,Stillwater Twp,8.9,42|56,69533,50|56,9.1,39|56,68408,46|56
A. K-6,Warren,400,Blairstown Twp,8.1,47|56,60258,26|56,7.9,47|56,61458,27|56
A. K-6,Warren,1620,Franklin Twp,8.0,48|56,61650,33|56,7.6,51|56,64150,39|56
A. K-6,Warren,1670,Frelinghuysen Twp,12.0,8|56,56837,13|56,14.0,2|56,60837,25|56
A. K-6,Warren,2470,Knowlton Twp,7.9,50|56,62091,37|56,8.3,43|56,63955,36|56
A. K-6,Warren,2970,Mansfield Twp,10.7,24|56,70534,53|56,10.7,22|56,70950,51|56
A. K-6,Warren,5480,Washington Boro,10.4,27|56,68055,48|56,10.8,21|56,67205,44|56
A. K-6,Warren,5530,Washington Twp,9.6,31|56,66320,44|56,9.2,37|56,68860,48|56
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,10.9,N.A.,68144,N.A.,10.6,N.A.,69242,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,2. State Median - Operating Type K-8,10.9,N.A.,65242,N.A.,10.6,N.A.,66405,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,5. State Average - All Operating Types,11.9,N.A.,71253,N.A.,11.8,N.A.,72376,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,6. State Median - All Operating Types,11.9,N.A.,67836,N.A.,11.8,N.A.,68985,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,12.6,2|75,73677,70|75,12.2,5|75,63541,46|75
B. K-8 / 0 - 400,Atlantic,3020,Margate City,7.1,64|75,93275,73|75,7.2,63|75,96145,74|75
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,8.7,40|75,59274,31|75,6.4,71|75,56766,16|75
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,8.6,43|75,51700,5|75,10.8,12|75,55200,10|75
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,5.9,69|75,63199,46|75,6.0,73|75,65561,54|75
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,10.2,21|75,66834,59|75,9.3,35|75,69304,62|75
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,11.5,12|75,68105,60|75,10.1,20|75,65270,51|75
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,13.8,1|75,73033,69|75,11.7,6|75,74635,70|75
B. K-8 / 0 - 400,Burlington,380,Beverly City,10.6,17|75,54333,9|75,10.7,14|75,55874,11|75
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,7.9,53|75,56721,22|75,7.3,62|75,56063,13|75
B. K-8 / 0 - 400,Burlington,4460,Riverton,11.8,8|75,63528,49|75,10.9,10|75,64405,48|75
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,7.9,53|75,50894,4|75,7.8,54|75,51644,3|75
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,10.6,17|75,62650,43|75,11.4,8|75,64550,49|75
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,10.0,25|75,62774,44|75,10.4,16|75,64892,50|75
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,12.4,5|75,55227,11|75,10.2,18|75,58000,23|75
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,11.0,14|75,54458,10|75,11.7,6|75,57851,22|75
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,5.7,71|75,83246,71|75,6.6,67|75,87426,73|75
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,5.9,69|75,70899,67|75,6.6,67|75,73199,69|75
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,6.8,67|75,88616,72|75,8.3,44|75,83081,72|75
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,8.6,43|75,64344,53|75,7.7,55|75,65875,55|75
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,12.0,7|75,55650,15|75,10.0,21|75,57500,19|75
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,10.9,15|75,56710,21|75,9.9,24|75,56578,14|75
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,10.5,20|75,56630,20|75,10.8,12|75,59925,34|75
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,7.4,63|75,56734,23|75,6.2,72|75,58152,25|75
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,7.7,58|75,62631,42|75,7.7,55|75,58152,25|75
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,N.R.,N.R.,N.R.,N.R.,14.9,1|75,45176,1|75
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,8.3,49|75,56105,16|75,7.9,52|75,60150,35|75
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,7.8,56|75,63288,47|75,8.8,39|75,59830,32|75
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,5.4,73|75,55479,13|75,4.9,74|75,54924,8|75
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,6.8,67|75,68200,61|75,6.8,66|75,70340,67|75
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,9.1,N.A.,65455,N.A.,8.8,39|75,69408,63|75
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,9.4,31|75,72640,68|75,9.7,27|75,76575,71|75
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,9.4,31|75,61418,40|75,9.6,29|75,63286,44|75
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,7.1,64|75,56515,19|75,7.0,64|75,59800,31|75
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,7.1,64|75,48333,2|75,6.5,69|75,51033,2|75
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,9.5,27|75,63105,45|75,9.6,29|75,69875,65|75
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,9.5,27|75,61431,41|75,9.8,25|75,63575,47|75
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro,5.6,72|75,48007,1|75,7.5,58|75,53735,6|75
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,7.9,53|75,57200,26|75,7.6,57|75,58500,27|75
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,8.6,43|75,57145,25|75,7.9,52|75,55120,9|75
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,9.5,27|75,60110,34|75,9.8,25|75,62835,43|75
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,7.5,60|75,52447,6|75,7.0,64|75,52526,5|75
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,9.3,34|75,59345,33|75,8.8,39|75,61055,36|75
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,8.5,46|75,48385,3|75,8.2,46|75,53810,7|75
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,7.5,60|75,70785,66|75,8.7,42|75,71390,68|75
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,7.5,60|75,69208,65|75,6.5,69|75,68945,61|75
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,10.1,24|75,60359,38|75,9.5,32|75,57419,18|75
B. K-8 / 0 - 400,Morris,2010,Harding Township,8.0,52|75,63735,50|75,7.4,60|75,65535,53|75
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,10.2,21|75,64550,54|75,10.0,21|75,66025,56|75
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,12.6,2|75,56440,18|75,11.0,9|75,66542,58|75
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,10.8,16|75,60254,35|75,10.9,10|75,61622,40|75
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,8.5,46|75,58015,28|75,8.0,49|75,58015,24|75
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,9.4,31|75,58069,29|75,10.4,16|75,59669,30|75
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,7.8,56|75,69058,64|75,9.3,35|75,70073,66|75
B. K-8 / 0 - 400,Salem,60,Alloway Twp,12.5,4|75,68349,62|75,12.6,3|75,67398,60|75
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,8.7,40|75,52497,7|75,8.0,49|75,51939,4|75
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,8.1,50|75,60270,37|75,8.1,47|75,59870,33|75
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,9.5,27|75,55582,14|75,8.9,37|75,57781,20|75
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,12.4,5|75,60256,36|75,12.7,2|75,61862,41|75
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,11.7,11|75,58276,30|75,10.7,14|75,58719,28|75
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,9.9,26|75,65668,57|75,9.4,34|75,66794,59|75
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,8.1,50|75,68650,63|75,8.3,44|75,69846,64|75
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,9.1,36|75,61120,39|75,8.9,37|75,65290,52|75
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,8.9,38|75,65980,58|75,10.0,21|75,61271,38|75
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,8.9,38|75,56250,17|75,9.7,27|75,56010,12|75
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,10.2,21|75,59283,32|75,9.6,29|75,62435,42|75
B. K-8 / 0 - 400,Union,1710,Garwood Boro,11.8,8|75,56742,24|75,12.4,4|75,57832,21|75
B. K-8 / 0 - 400,Union,5810,Winfield Twp,11.8,8|75,55258,12|75,7.5,58|75,56593,15|75
B. K-8 / 0 - 400,Warren,70,Alpha Boro,10.6,17|75,57615,27|75,8.4,43|75,59290,29|75
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,8.7,40|75,64115,52|75,7.4,60|75,61135,37|75
B. K-8 / 0 - 400,Warren,2250,Hope Twp,8.5,46|75,63310,48|75,8.0,49|75,63310,45|75
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,9.2,35|75,53610,8|75,9.5,32|75,56980,17|75
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,11.3,13|75,64065,51|75,10.2,18|75,61430,39|75
B. K-8 / 0 - 400,Warren,5780,White Twp,7.7,58|75,65000,55|75,8.1,47|75,66440,57|75
C. K-8 / 401 - 750,Statewide,N.A.,1. State Average - Operating Type K-8,10.9,N.A.,68144,N.A.,10.6,N.A.,69242,N.A.
C. K-8 / 401 - 750,Statewide,N.A.,2. State Median - Operating Type K-8,10.9,N.A.,65242,N.A.,10.6,N.A.,66405,N.A.
C. K-8 / 401 - 750,Statewide,N.A.,5. State Average - All Operating Types,11.9,N.A.,71253,N.A.,11.8,N.A.,72376,N.A.
C. K-8 / 401 - 750,Statewide,N.A.,6. State Median - All Operating Types,11.9,N.A.,67836,N.A.,11.8,N.A.,68985,N.A.
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,8.6,67|70,91899,70|70,8.2,69|70,93649,70|70
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,11.1,25|70,58526,18|70,10.5,26|70,55505,6|70
C. K-8 / 401 - 750,Atlantic,1540,Folsom Boro,10.2,N.A.,56036,N.A.,10.3,32|70,57779,13|70
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,13.0,3|70,53575,2|70,12.8,7|70,60925,23|70
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,9.9,N.A.,87950,N.A.,9.4,53|70,89450,69|70
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,12.1,11|70,74234,60|70,12.2,9|70,74328,61|70
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,9.4,55|70,61833,32|70,9.7,46|70,64577,37|70
