GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,Bergen,1270,Edgewater Boro,1798390,-213921,1584469,-262654
A. K-6,Bergen,3870,Oradell Boro,3178395,-252263,2926132,550729
A. K-6,Bergen,4410,River Edge Boro,2630947,-85457,2545490,-165494
A. K-6,Bergen,4620,Saddle River Boro,1566616,-6743,1559873,203402
A. K-6,Burlington,200,Bass River Twp,140420,45607,186027,-61700
A. K-6,Burlington,830,Chesterfield Twp,138946,293346,432292,646849
A. K-6,Burlington,2960,Mansfield Twp,2094556,62403,2156959,81006
A. K-6,Burlington,3650,North Hanover Twp,4646091,1348997,5995088,1996001
A. K-6,Burlington,5010,Springfield Twp,1002838,-105113,897725,289081
A. K-6,Camden,2540,Laurel Springs Boro,704048,-136587,567461,255035
A. K-6,Camden,5560,Waterford Twp,2614425,-406724,2210180,937568
A. K-6,Cape May,710,Cape May City,1300865,29103,1329968,211227
A. K-6,Cape May,2840,Lower Twp,2678819,699009,3377828,1633104
A. K-6,Cape May,5610,West Cape May Boro,741807,138032,879839,94393
A. K-6,Essex,1400,Essex Fells Boro,974238,114269,1088507,-136588
A. K-6,Essex,1465,Fairfield Twp,775901,-87664,688237,551184
A. K-6,Essex,3630,North Caldwell Boro,4213102,959327,5172429,1098454
A. K-6,Essex,4530,Roseland Boro,924188,730844,1655032,607473
A. K-6,Gloucester,1180,East Greenwich Twp,3152333,281213,3433546,330457
A. K-6,Gloucester,1330,Elk Twp,1334171,136248,1471482,97818
A. K-6,Gloucester,1590,Franklin Twp,5394717,-930895,4463822,-906911
A. K-6,Gloucester,2070,Harrison Twp,1999209,214090,2213299,562488
A. K-6,Gloucester,2990,Mantua Twp,1714824,357365,2072189,282942
A. K-6,Gloucester,3490,National Park Boro,1432442,-63589,1368853,-101367
A. K-6,Gloucester,4880,South Harrison Twp,976333,-109456,866877,-203763
A. K-6,Gloucester,5120,Swedesboro-Woolwich,4110170,-422588,3617261,237996
A. K-6,Gloucester,5590,Wenonah Boro,302804,30460,333264,91116
A. K-6,Gloucester,5740,Westville Boro,540683,339974,880657,562513
A. K-6,Gloucester,5870,Woodbury Heights Boro,946089,223785,1169874,255883
A. K-6,Hunterdon,2590,Lebanon Boro,624766,276286,901052,-44138
A. K-6,Monmouth,130,Atlantic Highlands Boro,888090,-61014,818223,-26414
A. K-6,Monmouth,2160,Highlands Boro,1297207,110928,1408135,110505
A. K-6,Monmouth,4520,Roosevelt Boro,932725,20421,953146,121689
A. K-6,Morris,3240,Mine Hill Twp,1873535,149731,2023266,1149000
A. K-6,Ocean,230,Beach Haven Boro,897090,20744,917834,253048
A. K-6,Ocean,320,Berkeley Twp,7273699,641292,7914991,167229
A. K-6,Ocean,1150,Eagleswood Twp,612738,29895,642633,100025
A. K-6,Ocean,2350,Island Heights Boro,469815,45694,515509,-13148
A. K-6,Ocean,2690,Little Egg Harbor Twp,2189080,221637,2410717,667775
A. K-6,Ocean,2760,Long Beach Island,1630240,523696,2153936,711544
A. K-6,Ocean,3800,Ocean Gate Boro,1202669,-21142,1181527,24825
A. K-6,Ocean,3820,Ocean Twp,6060522,434554,6495076,-240449
A. K-6,Ocean,4710,Seaside Heights Boro,1523318,-144473,1378845,-636291
A. K-6,Ocean,5020,Stafford Twp,4143467,1760699,5904166,586902
A. K-6,Ocean,5220,Tuckerton Boro,1936277,-8155,1923301,-278245
A. K-6,Sussex,1630,Fredon Twp,1616201,874398,2490599,-20547
A. K-6,Sussex,1980,Hampton Twp,1669788,330908,2000696,268381
A. K-6,Sussex,4650,Sandyston-Walpack Twp,1647056,-173924,1473132,-280299
A. K-6,Sussex,5040,Stillwater Twp,1881222,251616,2132838,-24202
A. K-6,Warren,400,Blairstown Twp,1518495,-496685,1021810,657421
A. K-6,Warren,1620,Franklin Twp,1524914,66738,1591652,108274
A. K-6,Warren,1670,Frelinghuysen Twp,405697,10838,416535,158243
A. K-6,Warren,2470,Knowlton Twp,1145422,407271,1552693,365697
A. K-6,Warren,2970,Mansfield Twp,1954171,-59599,1894572,-96176
A. K-6,Warren,5480,Washington Boro,1418778,190106,1608884,-61028
A. K-6,Warren,5530,Washington Twp,816640,277262,1093902,323579
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,1320571,60425,1380996,151060
B. K-8 / 0 - 400,Atlantic,3020,Margate City,1892992,-29047,1863945,-24871
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,468066,-49789,418279,34566
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,1001526,308054,1309579,89500
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,742905,152236,895141,227992
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,1654209,363681,2017890,21965
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,1591418,-185837,1405581,-132452
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,1021350,151595,1172945,270008
B. K-8 / 0 - 400,Burlington,380,Beverly City,2468408,951485,3419893,465495
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,3710830,-1373689,2337141,-511895
B. K-8 / 0 - 400,Burlington,4460,Riverton,1018650,200835,1219485,-239023
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,135241,-121278,13963,-279
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,872320,219409,1091729,-274759
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,654707,269861,924568,291965
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,1338501,42919,1381420,-364470
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,3566170,882750,4448920,137669
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,1504737,563854,2068591,-437082
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,2383757,-48233,2335524,504817
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,1005963,62166,1068129,229041
