GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,14554,N.A.,14904,N.A.,15779,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,15530,N.A.,15648,N.A.,16839,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,15259,N.A.,15809,N.A.,16599,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,15250,N.A.,15603,N.A.,16578,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,11599,4|56,11399,1|56,11232,1|56,906,957,1027
A. K-6,Bergen,3870,Oradell Boro,13363,12|56,14234,15|56,14793,13|56,773,739,754
A. K-6,Bergen,4410,River Edge Boro,13376,13|56,14036,13|56,14043,11|56,1192,1199,1255
A. K-6,Bergen,4620,Saddle River Boro,28684,56|56,29039,56|56,29163,55|56,151,146,154
A. K-6,Burlington,200,Bass River Twp,20496,53|56,20018,47|56,16251,23|56,106,111,143
A. K-6,Burlington,830,Chesterfield Twp,11398,2|56,13559,10|56,12671,4|56,767,755,778
A. K-6,Burlington,2960,Mansfield Twp,16300,34|56,17973,38|56,19217,40|56,611,565,557
A. K-6,Burlington,3650,North Hanover Twp,15562,29|56,16992,34|56,17989,33|56,1173,1119,1145
A. K-6,Burlington,5010,Springfield Twp,18624,46|56,19482,45|56,20857,47|56,237,217,219
A. K-6,Camden,2540,Laurel Springs Boro,12358,7|56,13728,11|56,16175,21|56,196,186,175
A. K-6,Camden,5560,Waterford Twp,17166,40|56,16333,33|56,17266,31|56,803,806,844
A. K-6,Cape May,710,Cape May City,16513,36|56,20299,49|56,20412,44|56,197,168,186
A. K-6,Cape May,2840,Lower Twp,14592,21|56,14391,18|56,15101,16|56,1666,1657,1710
A. K-6,Cape May,5610,West Cape May Boro,14171,16|56,14545,20|56,16402,26|56,95,100,104
A. K-6,Essex,1400,Essex Fells Boro,18442,45|56,19141,43|56,20516,45|56,223,228,241
A. K-6,Essex,1465,Fairfield Twp,15567,30|56,15424,27|56,16224,22|56,663,689,695
A. K-6,Essex,3630,North Caldwell Boro,15719,31|56,17227,35|56,18358,36|56,692,675,684
A. K-6,Essex,4530,Roseland Boro,15053,22|56,15005,22|56,17119,30|56,459,460,462
A. K-6,Gloucester,1180,East Greenwich Twp,11369,1|56,11671,2|56,12598,2|56,1257,1270,1292
A. K-6,Gloucester,1330,Elk Twp,13567,14|56,12895,8|56,15526,18|56,337,374,352
A. K-6,Gloucester,1590,Franklin Twp,12379,8|56,12641,6|56,13757,8|56,1447,1406,1399
A. K-6,Gloucester,2070,Harrison Twp,11504,3|56,12148,3|56,13382,7|56,1432,1396,1351
A. K-6,Gloucester,2990,Mantua Twp,14276,17|56,14423,19|56,14937,14|56,1251,1279,1284
A. K-6,Gloucester,3490,National Park Boro,15239,25|56,15092,23|56,16706,28|56,261,272,263
A. K-6,Gloucester,4880,South Harrison Twp,11635,5|56,12694,7|56,13055,5|56,386,369,366
A. K-6,Gloucester,5120,Swedesboro-Woolwich,12431,9|56,12561,5|56,13890,10|56,1695,1675,1631
A. K-6,Gloucester,5590,Wenonah Boro,16992,37|56,16078,31|56,14991,15|56,177,179,205
A. K-6,Gloucester,5740,Westville Boro,11980,6|56,12172,4|56,14059,12|56,378,361,364
A. K-6,Gloucester,5870,Woodbury Heights Boro,14418,19|56,14350,17|56,16314,25|56,226,231,234
A. K-6,Hunterdon,2590,Lebanon Boro,18853,49|56,19029,42|56,20189,43|56,103,110,116
A. K-6,Monmouth,130,Atlantic Highlands Boro,14534,20|56,15803,30|56,16273,24|56,333,316,332
A. K-6,Monmouth,2160,Highlands Boro,19513,50|56,20469,51|56,22437,50|56,190,198,210
A. K-6,Monmouth,4520,Roosevelt Boro,20114,51|56,22472,53|56,23406,53|56,86,80,85
A. K-6,Morris,3240,Mine Hill Twp,14285,18|56,15302,25|56,12600,3|56,352,365,504
A. K-6,Ocean,230,Beach Haven Boro,27708,55|56,25568,55|56,34770,56|56,68,68,61
A. K-6,Ocean,320,Berkeley Twp,13227,10|56,13363,9|56,15106,17|56,2112,2167,2073
A. K-6,Ocean,1150,Eagleswood Twp,16475,35|56,16128,32|56,18793,38|56,141,147,142
A. K-6,Ocean,2350,Island Heights Boro,17022,38|56,18651,39|56,17630,32|56,125,117,130
A. K-6,Ocean,2690,Little Egg Harbor Twp,15183,23|56,14303,16|56,13269,6|56,1578,1606,1886
A. K-6,Ocean,2760,Long Beach Island,25743,54|56,25475,54|56,28799,54|56,225,233,242
A. K-6,Ocean,3800,Ocean Gate Boro,17107,39|56,17560,37|56,18018,34|56,149,151,160
A. K-6,Ocean,3820,Ocean Twp,18276,43|56,18819,40|56,20720,46|56,507,497,496
A. K-6,Ocean,4710,Seaside Heights Boro,17893,42|56,17263,36|56,19148,39|56,213,227,226
A. K-6,Ocean,5020,Stafford Twp,15183,23|56,15391,26|56,15973,20|56,2174,2187,2210
A. K-6,Ocean,5220,Tuckerton Boro,15435,26|56,15257,24|56,16619,27|56,298,296,292
A. K-6,Sussex,1630,Fredon Twp,16218,33|56,21101,52|56,22656,51|56,240,218,199
A. K-6,Sussex,1980,Hampton Twp,18850,48|56,20062,48|56,21528,49|56,288,281,286
A. K-6,Sussex,4650,Sandyston-Walpack Twp,18838,47|56,19366,44|56,19940,41|56,148,141,139
A. K-6,Sussex,5040,Stillwater Twp,17861,41|56,18987,41|56,21109,48|56,289,285,278
