GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,42,N.A.,0.003,49,N.A.,0.003,37,N.A.,0.002
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,32,N.A.,0.002,48,N.A.,0.003,37,N.A.,0.002
A. K-6,Statewide,N.A.,5. State average - All operating types,46,N.A.,0.003,44,N.A.,0.003,44,N.A.,0.003
A. K-6,Statewide,N.A.,6. State median - All operating types,39,N.A.,0.003,41,N.A.,0.003,42,N.A.,0.003
A. K-6,Bergen,1270,Edgewater Boro,52,38|56,0.004,48,29|56,0.004,5,2|56,44E-5
A. K-6,Bergen,3870,Oradell Boro,86,46|56,0.006,105,49|56,0.007,66,50|56,0.004
A. K-6,Bergen,4410,River Edge Boro,20,15|56,0.002,14,11|56,96E-5,20,9|56,0.001
A. K-6,Bergen,4620,Saddle River Boro,57,42|56,0.002,140,52|56,0.005,65,49|56,0.002
A. K-6,Burlington,200,Bass River Twp,26,24|56,0.001,59,35|56,0.003,50,41|56,0.003
A. K-6,Burlington,830,Chesterfield Twp,96,48|56,0.008,113,50|56,0.008,99,53|56,0.008
A. K-6,Burlington,2960,Mansfield Twp,109,53|56,0.007,85,46|56,0.005,64,48|56,0.003
A. K-6,Burlington,3650,North Hanover Twp,17,12|56,0.001,73,43|56,0.004,38,29|56,0.002
A. K-6,Burlington,5010,Springfield Twp,24,21|56,0.001,69,39|56,0.004,55,45|56,0.003
A. K-6,Camden,2540,Laurel Springs Boro,2,4|56,17E-5,13,10|56,93E-5,14,6|56,88E-5
A. K-6,Camden,5560,Waterford Twp,175,55|56,0.01,65,38|56,0.004,59,46|56,0.003
A. K-6,Cape May,710,Cape May City,24,21|56,0.001,27,19|56,0.001,27,16|56,0.001
A. K-6,Cape May,2840,Lower Twp,15,11|56,0.001,17,14|56,0.001,18,8|56,0.001
A. K-6,Cape May,5610,West Cape May Boro,97,49|56,0.007,88,47|56,0.006,48,39|56,0.003
A. K-6,Essex,1400,Essex Fells Boro,63,43|56,0.003,71,40|56,0.004,50,41|56,0.002
A. K-6,Essex,1465,Fairfield Twp,63,43|56,0.004,47,27|56,0.003,36,27|56,0.002
A. K-6,Essex,3630,North Caldwell Boro,21,17|56,0.001,74,44|56,0.004,69,51|56,0.004
A. K-6,Essex,4530,Roseland Boro,90,47|56,0.006,199,55|56,0.013,76,52|56,0.004
A. K-6,Gloucester,1180,East Greenwich Twp,55,41|56,0.005,47,27|56,0.004,42,33|56,0.003
A. K-6,Gloucester,1330,Elk Twp,31,26|56,0.002,57,33|56,0.004,34,21|56,0.002
A. K-6,Gloucester,1590,Franklin Twp,20,15|56,0.002,34,24|56,0.003,42,33|56,0.003
A. K-6,Gloucester,2070,Harrison Twp,39,31|56,0.003,39,26|56,0.003,44,36|56,0.003
A. K-6,Gloucester,2990,Mantua Twp,6,7|56,39E-5,3,1|56,21E-5,8,4|56,52E-5
A. K-6,Gloucester,3490,National Park Boro,1,1|56,33E-6,6,4|56,38E-5,4,1|56,23E-5
A. K-6,Gloucester,4880,South Harrison Twp,4,5|56,35E-5,18,15|56,0.001,27,16|56,0.002
A. K-6,Gloucester,5120,Swedesboro-Woolwich,30,25|56,0.002,56,31|56,0.004,34,21|56,0.002
A. K-6,Gloucester,5590,Wenonah Boro,23,19|56,0.001,11,8|56,7E-4,24,11|56,0.002
A. K-6,Gloucester,5740,Westville Boro,18,13|56,0.002,7,6|56,58E-5,14,6|56,97E-5
