GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,14.4,N.A.,14.9,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,14.4,N.A.,14.9,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,14.7,N.A.,14.5,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,14.7,N.A.,14.5,N.A.
A. K-6,Bergen,1270,Edgewater Boro,13.4,28|56,13.5,30|56
A. K-6,Bergen,3870,Oradell Boro,12.8,31|56,11.3,39|56
A. K-6,Bergen,4410,River Edge Boro,12.5,34|56,13.4,33|56
A. K-6,Bergen,4620,Saddle River Boro,5.0,56|56,5.9,55|56
A. K-6,Burlington,200,Bass River Twp,15.6,23|56,14.6,26|56
A. K-6,Burlington,830,Chesterfield Twp,13.2,29|56,13.5,30|56
A. K-6,Burlington,2960,Mansfield Twp,12.9,30|56,15.5,24|56
A. K-6,Burlington,3650,North Hanover Twp,16.4,16|56,16.6,17|56
A. K-6,Burlington,5010,Springfield Twp,7.7,53|56,13.4,33|56
A. K-6,Camden,2540,Laurel Springs Boro,10.7,41|56,9.8,46|56
A. K-6,Camden,5560,Waterford Twp,15.0,24|56,16.8,16|56
A. K-6,Cape May,710,Cape May City,7.4,54|56,7.6,54|56
A. K-6,Cape May,2840,Lower Twp,18.2,8|56,19.4,7|56
A. K-6,Cape May,5610,West Cape May Boro,5.2,55|56,8.6,51|56
A. K-6,Essex,1400,Essex Fells Boro,16.9,15|56,18.1,12|56
A. K-6,Essex,1465,Fairfield Twp,18.9,6|56,18.7,9|56
A. K-6,Essex,3630,North Caldwell Boro,19.0,5|56,17.7,13|56
A. K-6,Essex,4530,Roseland Boro,9.0,49|56,16.2,21|56
A. K-6,Gloucester,1180,East Greenwich Twp,17.4,13|56,16.6,17|56
A. K-6,Gloucester,1330,Elk Twp,18.0,10|56,35.0,2|56
A. K-6,Gloucester,1590,Franklin Twp,17.7,12|56,17.0,15|56
A. K-6,Gloucester,2070,Harrison Twp,16.1,18|56,15.4,25|56
A. K-6,Gloucester,2990,Mantua Twp,18.5,7|56,21.8,4|56
A. K-6,Gloucester,3490,National Park Boro,15.8,20|56,9.8,46|56
A. K-6,Gloucester,4880,South Harrison Twp,36.0,1|56,35.8,1|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,15.9,19|56,15.9,22|56
A. K-6,Gloucester,5590,Wenonah Boro,12.3,36|56,14.3,28|56
A. K-6,Gloucester,5740,Westville Boro,15.7,22|56,10.7,42|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,27.4,3|56,27.4,3|56
A. K-6,Hunterdon,2590,Lebanon Boro,9.0,49|56,14.6,26|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,10.6,42|56,10.8,41|56
A. K-6,Monmouth,2160,Highlands Boro,12.1,37|56,12.1,37|56
A. K-6,Monmouth,4520,Roosevelt Boro,13.7,26|56,14.0,29|56
A. K-6,Morris,3240,Mine Hill Twp,11.8,39|56,12.2,36|56
A. K-6,Ocean,230,Beach Haven Boro,12.0,38|56,13.1,35|56
A. K-6,Ocean,320,Berkeley Twp,17.2,14|56,17.4,14|56
A. K-6,Ocean,1150,Eagleswood Twp,7.9,52|56,8.4,52|56
A. K-6,Ocean,2350,Island Heights Boro,9.3,46|56,10.0,44|56
