CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
3,40,17788264,9863495,8808409,623830,431256,3316235,2801311,1982473,1644582,2413851,1186001,0,212210,484000,12.9,88075,84.3,99425,181.2,168713,16.2,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,906.0
3,80,5349252,2717642,2443422,120360,153860,1488666,1224817,368738,304877,623146,214728,0,144860,0,7.8,75368,65.6,93924,32.8,127500,4.7,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen,155.0
3,285,53061055,28870503,25331403,690450,2848650,12875127,11630577,4874809,3670359,5887021,2544547,75000,70650,0,2.8,90301,3.9,93332,32.4,140592,20.1,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen,554.0
3,290,72561726,38141113,33370663,2369850,2400600,8213613,7532113,13806289,10729489,9735054,5265054,0,2322248,0,11,95512,63.9,92028,109,149416,11.6,Bergen County Vocational Technical Schoo,Bergen,J. VOC,8,,,1,Bergen,2678.5
3,300,67977651,42205128,34482360,1763455,5959313,8518264,6898047,6878453,5664112,8439213,5173536,0,1345485,803757,12.5,85369,67.7,83065,180.7,146179,17.2,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,3607.0
3,440,22908026,12691417,10548371,450626,1692420,3751618,2122238,2963798,2154672,2744820,1190490,0,722300,339425,12.3,76600,66.4,73100,126.3,113847,12.2,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1246.5
3,740,11299663,6621361,6267826,242960,110575,1774551,1517842,1395304,1215179,1453639,673004,0,54807,0,11.4,86047,75,89537,105,153613,10.6,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,Bergen,563.0
3,745,15307362,8363503,7650574,477929,235000,2488042,1486259,1766385,1233885,2083983,846992,5000,561186,69904,13.6,71839,96.5,61750,95.3,145468,8,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,Bergen,772.5
3,890,50021642,31055005,29164057,584327,1306621,7341560,4679040,5528920,4060501,4153535,2087960,141000,1116703,283000,12.2,69490,83,85900,170.6,140298,16.1,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen,3361.4
3,930,21085485,12949606,12388554,246755,314297,3772368,2977115,2223903,1900132,2015530,1057288,0,121803,44000,12,83527,63.5,79668,171.4,151929,17,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1177.0
3,990,31825222,21219197,18516617,856098,1846482,3523382,2875632,3547927,3012298,2720742,1558692,0,813974,0,11.4,99153,64.5,97190,111.7,139340,11.5,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen,1716.0
3,1070,16509262,9162403,8337170,508222,317011,3351070,2342377,1722957,1401324,2025454,869600,0,165542,72000,10.2,73310,58.7,73205,127.2,151659,14.7,Demarest Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,727.0
3,1130,41520782,25443036,24044651,1193517,204868,4316543,3828738,5404268,4662354,5241553,3161413,0,1023814,7500,12.2,84047,87.7,80447,149.6,150520,14,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen,2422.0
3,1230,17790290,11255803,10438832,344779,472192,2684213,2227206,2010122,1625021,1741373,801061,3000,54425,6400,9.4,95486,52.6,78636,109.7,146000,13.7,East Rutherford Boro,Bergen,C. K-8 / 401 - 750,2,CD,,1,Bergen,815.0
3,1270,16610760,9434730,8597980,531150,305600,3073095,1899061,1622318,1404673,2162293,1226157,0,14598,0,10.7,67878,94.3,61879,110,143377,11.4,Edgewater Boro,Bergen,A. K-6,1,DE,,1,Bergen,756.0
3,1345,41651133,22865288,20890085,1672503,302700,7033581,4855371,6008674,4796200,4849928,2443696,0,877027,0,12.4,58197,63,60299,157.4,117027,15.2,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,Bergen,2487.5
3,1360,20942789,11739396,11219978,257512,261906,2741662,2130217,2629623,2452206,2612272,1467805,0,1138587,0,10.9,73900,62.7,78150,105.4,152736,11.4,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,1061.0
3,1370,57402928,33634413,27188951,1935730,4509732,10350716,6942256,6467545,5134145,5846490,1259767,0,1045738,187927,11.3,79850,61.5,90033,149,165976,15.6,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2798.0
3,1380,12096654,6469500,6145344,168562,155594,2908179,2277890,1157705,928996,1467656,784833,0,58621,19759,7.7,83217,45.7,81081,78.6,144900,11.9,Englewood Cliffs Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen,467.0
