GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,187,202,207
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,123,181,173
A. K-6,Statewide,N.A.,5. State average - All operating types,109,122,118
A. K-6,Statewide,N.A.,6. State median - All operating types,91,100,91
A. K-6,Bergen,1270,Edgewater Boro,14,0,0
A. K-6,Bergen,3870,Oradell Boro,14,61,0
A. K-6,Bergen,4410,River Edge Boro,0,0,0
A. K-6,Bergen,4620,Saddle River Boro,0,420,0
A. K-6,Burlington,830,Chesterfield Twp,40,0,44
A. K-6,Burlington,2960,Mansfield Twp,20,N.R.,21
A. K-6,Burlington,3650,North Hanover Twp,367,455,568
A. K-6,Burlington,5010,Springfield Twp,45,35,0
A. K-6,Camden,2540,Laurel Springs Boro,172,277,28
A. K-6,Camden,3770,Oaklyn Boro,0,17,0
A. K-6,Camden,5560,Waterford Twp,16,6,114
A. K-6,Cape May,710,Cape May City,297,435,393
A. K-6,Cape May,2840,Lower Twp,392,181,176
A. K-6,Cape May,5610,West Cape May Boro,0,0,622
A. K-6,Essex,1400,Essex Fells Boro,26,232,0
A. K-6,Essex,1465,Fairfield Twp,0,0,0
A. K-6,Essex,3630,North Caldwell Boro,133,183,0
A. K-6,Essex,4530,Roseland Boro,0,0,0
A. K-6,Gloucester,1180,East Greenwich Twp,11,16,15
A. K-6,Gloucester,1330,Elk Twp,0,76,0
A. K-6,Gloucester,1590,Franklin Twp,505,444,440
A. K-6,Gloucester,2070,Harrison Twp,322,0,0
A. K-6,Gloucester,2990,Mantua Twp,0,211,418
A. K-6,Gloucester,3490,National Park Boro,37,11,434
A. K-6,Gloucester,4880,South Harrison Twp,0,0,0
A. K-6,Gloucester,5120,Swedesboro-Woolwich,39,59,0
A. K-6,Gloucester,5590,Wenonah Boro,49,191,0
A. K-6,Gloucester,5740,Westville Boro,0,287,247
A. K-6,Gloucester,5870,Woodbury Heights Boro,0,0,0
A. K-6,Hunterdon,2590,Lebanon Boro,299,98,0
