GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,52,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.003
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,48,N.A.,0.003,48,N.A.,0.003,49,N.A.,0.003
A. K-6,Statewide,N.A.,5. State average - All operating types,45,N.A.,0.003,46,N.A.,0.003,50,N.A.,0.003
A. K-6,Statewide,N.A.,6. State median - All operating types,41,N.A.,0.002,42,N.A.,0.002,48,N.A.,0.002
A. K-6,Bergen,1270,Edgewater Boro,99,46|57,0.007,68,37|57,0.004,53,33|57,0.002
A. K-6,Bergen,3870,Oradell Boro,35,19|57,0.002,78,42|57,0.005,67,43|57,0.004
A. K-6,Bergen,4410,River Edge Boro,48,25|57,0.003,30,19|57,0.002,21,8|57,0.001
A. K-6,Bergen,4620,Saddle River Boro,595,55|57,0.019,569,57|57,0.016,417,56|57,0.009
A. K-6,Burlington,830,Chesterfield Twp,139,49|57,0.009,187,54|57,0.011,192,53|57,0.011
A. K-6,Burlington,2960,Mansfield Twp,36,20|57,0.002,84,43|57,0.004,48,28|57,0.002
A. K-6,Burlington,3650,North Hanover Twp,6,2|57,34E-5,17,10|57,96E-5,24,9|57,0.001
A. K-6,Burlington,5010,Springfield Twp,83,44|57,0.005,34,21|57,0.002,52,30|57,0.003
A. K-6,Camden,2540,Laurel Springs Boro,5,1|57,31E-5,34,21|57,0.002,46,25|57,0.003
A. K-6,Camden,3770,Oaklyn Boro,20,11|57,0.001,18,11|57,94E-5,36,15|57,0.002
A. K-6,Camden,5560,Waterford Twp,50,28|57,0.003,51,31|57,0.003,63,42|57,0.003
A. K-6,Cape May,710,Cape May City,36,20|57,0.002,62,36|57,0.003,67,43|57,0.003
A. K-6,Cape May,2840,Lower Twp,60,32|57,0.004,58,34|57,0.003,52,30|57,0.003
A. K-6,Cape May,5610,West Cape May Boro,265,53|57,0.012,163,53|57,0.008,128,50|57,0.006
A. K-6,Essex,1400,Essex Fells Boro,62,34|57,0.003,54,33|57,0.003,59,38|57,0.003
A. K-6,Essex,1465,Fairfield Twp,52,29|57,0.003,77,41|57,0.005,44,24|57,0.002
A. K-6,Essex,3630,North Caldwell Boro,82,43|57,0.005,38,26|57,0.002,71,46|57,0.004
A. K-6,Essex,4530,Roseland Boro,135,48|57,0.008,193,55|57,0.011,60,39|57,0.003
A. K-6,Gloucester,1180,East Greenwich Twp,53,30|57,0.004,38,26|57,0.003,61,41|57,0.004
A. K-6,Gloucester,1330,Elk Twp,55,31|57,0.004,13,7|57,87E-5,36,15|57,0.002
A. K-6,Gloucester,1590,Franklin Twp,7,5|57,45E-5,29,17|57,0.002,37,19|57,0.002
A. K-6,Gloucester,2070,Harrison Twp,91,45|57,0.007,37,24|57,0.003,60,39|57,0.004
A. K-6,Gloucester,2990,Mantua Twp,48,25|57,0.003,32,20|57,0.002,19,7|57,0.001
A. K-6,Gloucester,3490,National Park Boro,N.R.,N.R.,N.R.,8,4|57,49E-5,24,9|57,0.001
A. K-6,Gloucester,4880,South Harrison Twp,24,13|57,0.002,75,39|57,0.005,46,25|57,0.003
A. K-6,Gloucester,5120,Swedesboro-Woolwich,61,33|57,0.004,35,23|57,0.002,38,21|57,0.002
A. K-6,Gloucester,5590,Wenonah Boro,81,42|57,0.004,41,28|57,0.002,56,36|57,0.003
A. K-6,Gloucester,5740,Westville Boro,26,17|57,0.002,9,5|57,53E-5,32,13|57,0.002
