GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,66.7,N.A.,69026,N.A.,66.1,N.A.,72210,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,64.9,N.A.,68957,N.A.,62.1,N.A.,72121,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,68.3,N.A.,81093,N.A.,67.1,N.A.,83386,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,69,N.A.,79914,N.A.,66.8,N.A.,82659,N.A.
A. K-6,Bergen,1270,Edgewater Boro,81,13|57,66886,27|57,94.3,10|57,61879,14|57
A. K-6,Bergen,3870,Oradell Boro,77.4,17|57,87451,56|57,79.6,14|57,87451,55|57
A. K-6,Bergen,4410,River Edge Boro,62.8,35|57,76142,44|57,62.1,29|57,79492,45|57
A. K-6,Bergen,4620,Saddle River Boro,38.1,53|57,66712,26|57,35.7,54|57,82080,49|57
A. K-6,Burlington,830,Chesterfield Twp,64.4,30|57,75975,43|57,59.5,32|57,69386,28|57
A. K-6,Burlington,2960,Mansfield Twp,55.5,42|57,69200,31|57,56,37|57,73563,34|57
A. K-6,Burlington,3650,North Hanover Twp,66.8,28|57,78713,48|57,65.6,26|57,80877,47|57
A. K-6,Burlington,5010,Springfield Twp,82.7,10|57,57078,13|57,92,12|57,72397,33|57
A. K-6,Camden,2540,Laurel Springs Boro,77.2,18|57,34950,1|57,185,2|57,58036,9|57
A. K-6,Camden,3770,Oaklyn Boro,148.8,1|57,74652,42|57,186.7,1|57,54760,6|57
A. K-6,Camden,5560,Waterford Twp,63.6,32|57,74239,41|57,74.4,18|57,68851,26|57
A. K-6,Cape May,710,Cape May City,55.7,41|57,63165,22|57,52.3,39|57,65665,18|57
A. K-6,Cape May,2840,Lower Twp,54.4,43|57,82164,52|57,50.9,44|57,88819,56|57
A. K-6,Cape May,5610,West Cape May Boro,85,9|57,56444,12|57,38,53|57,66996,21|57
A. K-6,Essex,1400,Essex Fells Boro,59.4,38|57,39768,3|57,39.9,50|57,40136,2|57
A. K-6,Essex,1465,Fairfield Twp,77.7,16|57,83313,53|57,69.3,21|57,83813,52|57
A. K-6,Essex,3630,North Caldwell Boro,81.5,12|57,53143,8|57,82.4,13|57,79408,44|57
A. K-6,Essex,4530,Roseland Boro,61.9,36|57,71626,36|57,58.3,33|57,78300,41|57
A. K-6,Gloucester,1180,East Greenwich Twp,80.7,14|57,77301,46|57,74.1,19|57,76638,39|57
A. K-6,Gloucester,1330,Elk Twp,97.1,6|57,81684,51|57,111.7,4|57,82884,51|57
A. K-6,Gloucester,1590,Franklin Twp,69.8,24|57,55555,10|57,66,25|57,58441,10|57
A. K-6,Gloucester,2070,Harrison Twp,94.8,7|57,85098,54|57,102.5,8|57,85533,53|57
A. K-6,Gloucester,2990,Mantua Twp,59.9,37|57,80255,49|57,62.1,29|57,82567,50|57
A. K-6,Gloucester,3490,National Park Boro,87.2,8|57,73773,40|57,97,9|57,85567,54|57
A. K-6,Gloucester,4880,South Harrison Twp,108.3,4|57,67462,29|57,110,5|57,67000,22|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,63,34|57,71095,35|57,75.5,17|57,76225,38|57
A. K-6,Gloucester,5590,Wenonah Boro,48.9,49|57,65599,23|57,47.6,47|57,65771,19|57
A. K-6,Gloucester,5740,Westville Boro,79.1,15|57,63014,21|57,72,20|57,69486,29|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,82.3,11|57,85858,55|57,106.3,7|57,66841,20|57
A. K-6,Hunterdon,2590,Lebanon Boro,49,48|57,57594,14|57,51.7,41|57,60694,12|57
A. K-6,Hunterdon,3180,Milford Boro,57,40|57,61896,19|57,58,34|57,63468,17|57
A. K-6,Monmouth,130,Atlantic Highlands Boro,117.3,2|57,68220,30|57,56.2,35|57,75365,37|57
A. K-6,Monmouth,2160,Highlands Boro,52.8,45|57,51813,5|57,34,56|57,61830,13|57
A. K-6,Monmouth,4520,Roosevelt Boro,32.8,57|57,39707,2|57,11.9,57|57,67619,24|57
A. K-6,Morris,3240,Mine Hill Twp,116.3,3|57,67344,28|57,118.3,3|57,69244,27|57
A. K-6,Ocean,230,Beach Haven Boro,33.3,56|57,53000,7|57,34.3,55|57,56732,7|57
A. K-6,Ocean,320,Berkeley Twp,68.5,26|57,69785,33|57,67.4,24|57,80598,46|57
A. K-6,Ocean,1150,Eagleswood Twp,99.3,5|57,52640,6|57,109.3,6|57,52640,5|57
A. K-6,Ocean,2350,Island Heights Boro,69.1,25|57,54956,9|57,38.8,51|57,41300,3|57
A. K-6,Ocean,2690,Little Egg Harbor Twp,67.6,27|57,66024,24|57,68.8,22|57,67587,23|57
A. K-6,Ocean,2760,Long Beach Island,49.5,47|57,94319,57|57,51.8,40|57,95654,57|57
A. K-6,Ocean,3800,Ocean Gate Boro,63.3,33|57,70041,34|57,61.5,31|57,72169,32|57
A. K-6,Ocean,3820,Ocean Twp,46.5,50|57,80452,50|57,54.1,38|57,79302,42|57
A. K-6,Ocean,4710,Seaside Heights Boro,35.3,55|57,62529,20|57,38.5,52|57,69792,31|57
A. K-6,Ocean,5020,Stafford Twp,75.3,20|57,61358,17|57,78.3,16|57,62703,16|57
A. K-6,Ocean,5220,Tuckerton Boro,64.9,29|57,55762,11|57,51.1,42|57,60000,11|57
A. K-6,Sussex,1630,Fredon Twp,71.5,23|57,66528,25|57,44.8,48|57,68482,25|57
A. K-6,Sussex,1980,Hampton Twp,76.5,19|57,59124,15|57,79,15|57,57924,8|57
A. K-6,Sussex,4650,Sandyston-Walpack Twp,64,31|57,61433,18|57,67.8,23|57,32235,1|57
A. K-6,Sussex,5040,Stillwater Twp,71.6,22|57,71775,38|57,93.7,11|57,81178,48|57
A. K-6,Warren,400,Blairstown Twp,44.7,51|57,77570,47|57,51,43|57,79370,43|57
A. K-6,Warren,1620,Franklin Twp,49.9,46|57,60126,16|57,48.5,45|57,62120,15|57
A. K-6,Warren,1670,Frelinghuysen Twp,58.2,39|57,69585,32|57,65.5,27|57,69585,30|57
A. K-6,Warren,2470,Knowlton Twp,38.1,53|57,49830,4|57,41.6,49|57,51822,4|57
A. K-6,Warren,2970,Mansfield Twp,54.2,44|57,76528,45|57,48.2,46|57,77592,40|57
A. K-6,Warren,5480,Washington Boro,73.5,21|57,73345,39|57,63,28|57,73911,35|57
A. K-6,Warren,5530,Washington Twp,44.3,52|57,71710,37|57,56.2,35|57,75045,36|57
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,61.3,N.A.,74962,N.A.,59.2,N.A.,77533,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,2. State Median - Operating Type K-8,62.4,N.A.,72900,N.A.,62.7,N.A.,75700,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,5. State Average - All Operating Types,68.3,N.A.,81093,N.A.,67.1,N.A.,83386,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,6. State Median - All Operating Types,69,N.A.,79914,N.A.,66.8,N.A.,82659,N.A.
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,34.5,74|80,70127,56|80,30,78|79,78572,66|79
