GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,25061,0.141,0.839,0.02,0,0,0,11.7,81,111.2,0.081
A. K-6,Bergen,3870,Oradell Boro,21465,0.236,0.742,0.022,0,0,0,12.4,77.4,110.6,0.1111
A. K-6,Bergen,4410,River Edge Boro,22652,0.322,0.626,0.033,0.019,0,0,11.9,62.8,148,0.1095
A. K-6,Bergen,4620,Saddle River Boro,34361,0.165,0.785,0.036,0.014,0,0,7.2,38.1,33.7,0.0508
A. K-6,Burlington,830,Chesterfield Twp,26003,0.358,0.625,0.015,0.002,0,0,10.3,64.4,88.5,0.1342
A. K-6,Burlington,2960,Mansfield Twp,30815,0.224,0.751,0.021,0.004,0,0,8.9,55.5,86.3,0.1448
A. K-6,Burlington,3650,North Hanover Twp,30354,0.605,0.093,0.298,0,0,0.004,9.8,66.8,130.9,0.1291
A. K-6,Burlington,5010,Springfield Twp,23110,0.339,0.6,0.055,0.006,0,0,12.9,82.7,103.3,0.1371
A. K-6,Camden,2540,Laurel Springs Boro,19645,0.502,0.46,0.037,0,0.001,0,11.5,77.2,78.9,0.1705
A. K-6,Camden,3770,Oaklyn Boro,22731,0.413,0.5,0.078,0.001,0,0.008,8.3,148.8,253,0.087
A. K-6,Camden,5560,Waterford Twp,23924,0.485,0.387,0.05,0.001,0.058,0.019,9,63.6,152.2,0.1281
A. K-6,Cape May,710,Cape May City,33473,0.457,0.279,0.264,0,0,0,7.4,55.7,87.9,0.1377
A. K-6,Cape May,2840,Lower Twp,26956,0.472,0.464,0.056,0,0,0.008,10.4,54.4,168.1,0.1434
A. K-6,Cape May,5610,West Cape May Boro,27020,0.42,0.566,0.013,0.001,0,0,8.3,85,70.8,0.0941
A. K-6,Essex,1400,Essex Fells Boro,28713,0.228,0.724,0.034,0.014,0,0,11.5,59.4,230,0.1146
A. K-6,Essex,1465,Fairfield Twp,24206,0.23,0.721,0.042,0.007,0,0,9.9,77.7,139.8,0.0973
A. K-6,Essex,3630,North Caldwell Boro,25728,0.227,0.732,0.035,0.006,0,0,9.6,81.5,173.3,0.1501
A. K-6,Essex,4530,Roseland Boro,27362,0.231,0.737,0.027,0.005,0,0,10.5,61.9,154.7,0.1616
A. K-6,Gloucester,1180,East Greenwich Twp,20555,0.412,0.56,0.022,0.002,0,0.004,11.5,80.7,163.6,0.1176
A. K-6,Gloucester,1330,Elk Twp,25347,0.459,0.42,0.104,0.016,0,0.001,10.5,97.1,330,0.0909
A. K-6,Gloucester,1590,Franklin Twp,23166,0.48,0.388,0.056,0.07,0.006,0,10.2,69.8,157,0.1202
A. K-6,Gloucester,2070,Harrison Twp,20481,0.418,0.544,0.033,0.005,0,0,11.8,94.8,161.9,0.0741
A. K-6,Gloucester,2990,Mantua Twp,22606,0.455,0.492,0.051,0.002,0,0,9.5,59.9,179.7,0.1407
A. K-6,Gloucester,3490,National Park Boro,23423,0.602,0.325,0.055,0.003,0,0.015,9.8,87.2,164.1,0.1792
A. K-6,Gloucester,4880,South Harrison Twp,22769,0.381,0.575,0.039,0.004,0,0.001,12.2,108.3,117.3,0.08
A. K-6,Gloucester,5120,Swedesboro-Woolwich,22786,0.431,0.53,0.036,0.004,0,0,11.3,63,157.5,0.1644
A. K-6,Gloucester,5590,Wenonah Boro,25531,0.252,0.696,0.043,0.008,0,0.001,10.3,48.9,114,0.1637
A. K-6,Gloucester,5740,Westville Boro,24482,0.613,0.325,0.057,0.005,0,0,10.8,79.1,109.7,0.1912
A. K-6,Gloucester,5870,Woodbury Heights Boro,23132,0.425,0.505,0.064,0.006,0,0,10.1,82.3,247,0.1174
A. K-6,Hunterdon,2590,Lebanon Boro,30410,0.203,0.719,0.054,0.013,0.011,0,7.3,49,49,0.1224
A. K-6,Hunterdon,3180,Milford Boro,29522,0.191,0.594,0.03,0.009,0.175,0.001,7.9,57,54.8,0.2105
A. K-6,Monmouth,130,Atlantic Highlands Boro,30216,0.241,0.709,0.046,0.004,0,0,9.1,117.3,103.6,0.1667
A. K-6,Monmouth,2160,Highlands Boro,33678,0.272,0.621,0.031,0,0.071,0.005,7.8,52.8,72.5,0.2316
A. K-6,Monmouth,4520,Roosevelt Boro,26678,0.404,0.548,0.024,0.018,0,0.006,10.3,32.8,82,0.0366
A. K-6,Morris,3240,Mine Hill Twp,25471,0.363,0.601,0.036,0,0,0,10.3,116.3,116.3,0.1032
