GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,14.7,N.A.,14.7,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,13.2,N.A.,13.1,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,14.6,N.A.,14.2,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,13.7,N.A.,13.5,N.A.
A. K-6,Bergen,1270,Edgewater Boro,10.8,38|57,11.4,38|57
A. K-6,Bergen,3870,Oradell Boro,10.4,41|57,10.3,40|57
A. K-6,Bergen,4410,River Edge Boro,14.8,25|57,13.4,27|57
A. K-6,Bergen,4620,Saddle River Boro,5.6,57|57,6.1,55|57
A. K-6,Burlington,830,Chesterfield Twp,10.0,43|57,15.8,22|57
A. K-6,Burlington,2960,Mansfield Twp,11.2,35|57,11.6,35|57
A. K-6,Burlington,3650,North Hanover Twp,15.3,23|57,16.5,16|57
A. K-6,Burlington,5010,Springfield Twp,9.3,47|57,7.3,52|57
A. K-6,Camden,2540,Laurel Springs Boro,8.0,52|57,8.5,48|57
A. K-6,Camden,3770,Oaklyn Boro,32.1,2|57,16.5,16|57
A. K-6,Camden,5560,Waterford Twp,19.2,8|57,13.5,26|57
A. K-6,Cape May,710,Cape May City,13.5,27|57,9.2,47|57
A. K-6,Cape May,2840,Lower Twp,19.2,8|57,16.5,16|57
A. K-6,Cape May,5610,West Cape May Boro,9.4,45|57,11.6,35|57
A. K-6,Essex,1400,Essex Fells Boro,23.9,4|57,17.6,13|57
A. K-6,Essex,1465,Fairfield Twp,16.0,21|57,16.5,16|57
A. K-6,Essex,3630,North Caldwell Boro,20.2,7|57,18.9,6|57
A. K-6,Essex,4530,Roseland Boro,17.2,16|57,17.8,11|57
A. K-6,Gloucester,1180,East Greenwich Twp,16.3,20|57,14.0,25|57
A. K-6,Gloucester,1330,Elk Twp,34.8,1|57,35.8,1|57
A. K-6,Gloucester,1590,Franklin Twp,17.7,15|57,17.7,12|57
A. K-6,Gloucester,2070,Harrison Twp,15.4,22|57,12.1,32|57
A. K-6,Gloucester,2990,Mantua Twp,22.0,6|57,21.8,3|57
A. K-6,Gloucester,3490,National Park Boro,18.7,13|57,N.R.,N.R.
A. K-6,Gloucester,4880,South Harrison Twp,10.6,39|57,6.4,54|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,16.5,19|57,16.5,16|57
A. K-6,Gloucester,5590,Wenonah Boro,13.4,28|57,15.7,23|57
