CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,24504,,N.A.,N.A.,27486,,N.A.,N.A.
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,24053,,N.A.,N.A.,26912,,N.A.,N.A.
Atlantic,10,Absecon City,19372638,921,21030,14,23213439,963,24095,25,"K. K-12|K-8,751+",KK-12K-8751plus
Atlantic,110,Atlantic City,191113315,6568,29100,86,210251426,6430,32697,84,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,120,Atlantic Co Vocational,35663857,1702,20956,6,41275288,1731,23852,7,Q. County Voc,QCountyVoc
Atlantic,125,Atlantic Co Special Serv,21385112,309,69181,4,20002725,293,68326,2,P. CSSD,PCSSD
Atlantic,570,Brigantine City,22992257,529,43502,79,24286814,474,51261,78,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,590,Buena Regional,50237357,1664,30196,45,50887810,1658,30690,40,"L. K-12|K-12,0-1800",LK-12K-120-1800
Atlantic,960,Corbin City,1182500,68,17390,1,1138342,63,18069,3,K-12|Non-Operating,
Atlantic,1300,Egg Harbor City,14741107,534,27612,53,16565304,593,27938,41,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,1310,Egg Harbor Twp,180525749,7267,24843,57,214753723,7431,28901,68,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,1410,Estell Manor City,5572687,398,13989,1,6410559,235,27267,33,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1540,Folsom Boro,10128852,454,22306,18,10512839,432,24358,12,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1690,Galloway Twp,83220550,3273,25430,43,87901565,3194,27523,45,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1790,Greater Egg Harbor Reg,91313111,3078,29670,28,100151884,3102,32287,25,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,1940,Hamilton Twp,64335667,2854,22541,29,69936194,2856,24492,29,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1960,Hammonton Town,66192588,3429,19303,2,78040181,3386,23048,9,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Atlantic,2680,Linwood City,17184787,813,21143,15,18733495,792,23643,18,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,2780,Longport,1491119,57,26160,12,1414835,63,22458,5,K-12|Non-Operating,
Atlantic,2910,Mainland Regional,34754480,1228,28299,23,39026007,1205,32399,28,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,3020,Margate City,16324335,429,38015,76,17426638,402,43352,77,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,3480,Mullica Twp,15286122,656,23313,21,17908177,633,28308,45,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,3720,Northfield City,20597213,935,22041,23,23598542,928,25424,33,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,4180,Pleasantville City,95372208,3619,26355,73,110366245,3766,29310,71,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,4240,Port Republic City,3309722,151,21948,15,3613682,157,23077,7,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,4800,Somers Point City,22321167,809,27577,52,25219151,786,32091,57,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,5350,Ventnor City,25854791,813,31809,63,27042964,734,36857,64,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,5760,Weymouth Twp,5003013,178,28100,52,5220696,198,26421,27,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,6060,Atlantic Community Chart,8321929,352,23669,86,8628946,318,27178,75,O. Charter,OCharter
Atlantic,6104,Principle Academy Charter School,8894472,526,16903,33,10244647,467,21951,42,O. Charter,OCharter
Atlantic,7410,Charter~tech High School,7983765,373,21393,73,10311685,361,28556,80,O. Charter,OCharter
Bergen,40,Allendale Boro,20345951,865,23510,31,21147977,882,23966,23,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,80,Alpine Boro,7479778,209,35807,73,7873713,212,37120,70,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,285,Bergen Co Special Service,70627581,592,119247,7,65907215,578,114014,7,P. CSSD,PCSSD
Bergen,290,Bergen County Vocational,90917557,2607,34880,20,96146115,2544,37798,20,Q. County Voc,QCountyVoc
Bergen,300,Bergenfield Boro,88916978,3706,23996,42,92063353,3720,24748,22,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,440,Bogota Boro,30054604,1274,23587,23,36719817,1339,27431,28,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,740,Carlstadt Boro,16384672,526,31166,62,17360248,528,32906,61,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,745,Carlstadt-East Rutherford,17823668,586,30437,33,21101414,666,31690,22,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,890,Cliffside Park Boro,63850573,3120,20465,5,69257470,3021,22923,7,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,930,Closter Boro,25966269,1168,22224,26,29256495,1201,24365,28,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,990,Cresskill Boro,41285570,1800,22932,15,46884381,1745,26869,23,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,1070,Demarest Boro,18738475,704,26600,53,21836255,719,30360,59,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1130,Dumont Boro,57863927,2535,22827,33,62011346,2556,24257,18,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1230,East Rutherford Boro,21248338,759,27995,54,24468256,742,32961,62,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,1270,Edgewater Boro,27165878,1189,22843,21,30394797,1213,25061,22,H. K-12|K-6,HK-12K-6
Bergen,1345,Elmwood Park,52685823,2552,20645,9,58341710,2543,22943,8,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1360,Emerson Boro,28086466,1043,26919,34,30435187,1085,28057,31,"L. K-12|K-12,0-1800",LK-12K-120-1800
