GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,130.7,N.A.,112622,N.A.,132.2,N.A.,121963,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,114,N.A.,115672,N.A.,116.8,N.A.,120000,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,144.3,N.A.,133209,N.A.,140.3,N.A.,137219,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,127,N.A.,132345,N.A.,123.7,N.A.,135544,N.A.
A. K-6,Bergen,1270,Edgewater Boro,111.2,30|57,135960,50|57,110,31|57,143377,49|57
A. K-6,Bergen,3870,Oradell Boro,110.6,31|57,132000,48|57,113.7,29|57,135960,42|57
A. K-6,Bergen,4410,River Edge Boro,148,20|57,171246,57|57,131.1,23|57,167544,54|57
A. K-6,Bergen,4620,Saddle River Boro,33.7,57|57,79500,11|57,35.7,55|57,126000,39|57
A. K-6,Burlington,830,Chesterfield Twp,88.5,36|57,110723,27|57,142.8,16|57,119002,29|57
A. K-6,Burlington,2960,Mansfield Twp,86.3,39|57,112004,29|57,91.5,35|57,116645,27|57
A. K-6,Burlington,3650,North Hanover Twp,130.9,24|57,127728,43|57,141.8,18|57,136704,44|57
A. K-6,Burlington,5010,Springfield Twp,103.3,34|57,75000,10|57,81.2,41|57,61250,3|57
A. K-6,Camden,2540,Laurel Springs Boro,78.9,43|57,71700,8|57,92.5,34|57,91138,8|57
A. K-6,Camden,3770,Oaklyn Boro,253,2|57,139720,53|57,140,19|57,124691,35|57
A. K-6,Camden,5560,Waterford Twp,152.2,18|57,120812,41|57,117.3,27|57,115995,24|57
A. K-6,Cape May,710,Cape May City,87.9,37|57,108476,22|57,52.3,53|57,131325,40|57
A. K-6,Cape May,2840,Lower Twp,168.1,9|57,111927,28|57,142.5,17|57,111120,19|57
A. K-6,Cape May,5610,West Cape May Boro,70.8,46|57,74736,9|57,76,43|57,125000,36|57
A. K-6,Essex,1400,Essex Fells Boro,230,4|57,138207,52|57,122,25|57,138207,46|57
A. K-6,Essex,1465,Fairfield Twp,139.8,21|57,141504,56|57,144.4,15|57,148406,52|57
A. K-6,Essex,3630,North Caldwell Boro,173.3,8|57,115000,35|57,175,8|57,170500,55|57
A. K-6,Essex,4530,Roseland Boro,154.7,17|57,140080,54|57,155.3,12|57,144703,50|57
A. K-6,Gloucester,1180,East Greenwich Twp,163.6,11|57,109663,23|57,139.9,20|57,115556,23|57
A. K-6,Gloucester,1330,Elk Twp,330,1|57,112596,32|57,335,1|57,115440,22|57
A. K-6,Gloucester,1590,Franklin Twp,157,15|57,112878,33|57,164.3,9|57,121526,33|57
A. K-6,Gloucester,2070,Harrison Twp,161.9,12|57,117795,38|57,133.3,22|57,116617,26|57
A. K-6,Gloucester,2990,Mantua Twp,179.7,7|57,112500,31|57,179.1,7|57,120000,30|57
A. K-6,Gloucester,3490,National Park Boro,164.1,10|57,33500,2|57,N.R.,N.R.,N.R.,N.R.
A. K-6,Gloucester,4880,South Harrison Twp,117.3,27|57,65674,7|57,75,44|57,45000,1|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,157.5,14|57,124019,42|57,158.6,11|57,121961,34|57
A. K-6,Gloucester,5590,Wenonah Boro,114,29|57,98781,16|57,110.7,30|57,94351,11|57
A. K-6,Gloucester,5740,Westville Boro,109.7,32|57,37250,3|57,180,6|57,112309,20|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,247,3|57,110000,24|57,127.5,24|57,92500,9|57
A. K-6,Hunterdon,2590,Lebanon Boro,49,55|57,131957,47|57,46.5,54|57,139707,47|57
A. K-6,Hunterdon,3180,Milford Boro,54.8,52|57,54055,5|57,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,130,Atlantic Highlands Boro,103.6,33|57,137654,51|57,93.7,33|57,142175,48|57
A. K-6,Monmouth,2160,Highlands Boro,72.5,45|57,53624,4|57,85,39|57,93198,10|57
A. K-6,Monmouth,4520,Roosevelt Boro,82,40|57,130000,45|57,89,36|57,55276,2|57
