GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,0.308,0.267,0.284
B. K-8 / 0 - 400,Burlington,380,Beverly City,0.302,0.240,0.327
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,0.326,0.258,0.307
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,0.285,0.219,0.336
B. K-8 / 0 - 400,Burlington,4460,Riverton,0.218,0.201,0.252
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,0.333,0.326,0.372
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0.267,0.240,0.250
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,0.315,0.297,0.285
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,0.289,0.321,0.322
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,0.374,0.381,0.470
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,0.258,0.269,0.285
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,0.411,0.455,0.405
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,0.341,0.328,0.389
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,0.313,0.309,0.355
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,0.384,0.372,0.433
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,0.338,0.342,0.387
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,0.397,0.458,0.359
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,0.333,0.288,0.313
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,0.394,0.376,0.414
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,0.433,0.379,0.414
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,0.408,0.363,0.355
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,0.472,0.407,0.486
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,0.243,0.304,0.378
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,0.378,0.376,0.388
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,0.230,0.231,0.420
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,0.330,0.310,0.332
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,0.320,0.344,0.370
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,0.295,0.308,0.366
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,0.291,0.284,0.298
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,0.388,0.292,0.322
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,0.357,0.271,0.363
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,0.306,0.319,0.336
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,0.386,0.356,0.450
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,0.287,0.268,0.317
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,0.313,0.320,0.326
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,0.325,0.266,0.310
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,0.283,0.183,0.246
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,0.263,0.231,0.279
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,0.370,0.348,0.419
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,0.201,0.176,0.278
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,0.262,0.261,0.294
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,0.263,0.237,0.278
B. K-8 / 0 - 400,Morris,460,Boonton Twp,0.342,0.330,0.340
B. K-8 / 0 - 400,Morris,2010,Harding Township,0.295,0.309,0.304
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,0.257,0.239,0.268
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,0.219,0.203,0.237
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,0.298,0.255,0.286
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,0.284,0.245,0.253
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,0.323,0.268,0.278
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,0.281,0.273,0.234
B. K-8 / 0 - 400,Salem,60,Alloway Twp,0.244,0.233,0.262
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,0.338,0.337,0.360
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,0.205,0.239,0.302
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,0.302,0.325,0.379
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,0.306,0.249,0.322
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,0.219,0.244,0.317
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,0.287,0.297,0.318
B. K-8 / 0 - 400,Sussex,1800,Green Twp,0.301,0.314,0.306
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,0.302,0.237,0.360
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,0.283,0.264,0.287
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,0.313,0.301,0.291
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,0.299,0.290,0.314
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,0.279,0.260,0.271
