GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,16395,N.A.,16684,N.A.,18099,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,17827,N.A.,17538,N.A.,19420,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,16803,N.A.,17656,N.A.,19164,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,16767,N.A.,17378,N.A.,19030,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,13608,4|57,16607,20|57,21972,42|57,642,666,756
A. K-6,Bergen,3870,Oradell Boro,14802,11|57,14934,8|57,16040,7|57,738,785,774
A. K-6,Bergen,4410,River Edge Boro,14650,9|57,15988,15|57,17418,16|57,1230,1176,1194
A. K-6,Bergen,4620,Saddle River Boro,30771,57|57,35490,57|57,45653,57|57,131,117,120
A. K-6,Burlington,830,Chesterfield Twp,15579,15|57,17072,25|57,18081,20|57,713,711,729
A. K-6,Burlington,2960,Mansfield Twp,20333,45|57,20182,40|57,21983,43|57,500,528,560
A. K-6,Burlington,3650,North Hanover Twp,18772,34|57,17671,32|57,19476,30|57,1155,1300,1378
A. K-6,Burlington,5010,Springfield Twp,15280,14|57,14658,7|57,18299,23|57,234,259,240
A. K-6,Camden,2540,Laurel Springs Boro,15592,16|57,15671,11|57,18221,22|57,162,174,175
A. K-6,Camden,3770,Oaklyn Boro,18015,31|57,19022,35|57,20925,38|57,274,263,278
A. K-6,Camden,5560,Waterford Twp,17815,28|57,17874,33|57,20224,32|57,865,919,927
A. K-6,Cape May,710,Cape May City,21990,51|57,20826,44|57,25503,52|57,149,167,178
A. K-6,Cape May,2840,Lower Twp,16890,23|57,17018,23|57,17334,15|57,1502,1496,1531
A. K-6,Cape May,5610,West Cape May Boro,21820,49|57,20989,45|57,22010,44|57,77,84,86
A. K-6,Essex,1400,Essex Fells Boro,20198,43|57,20732,43|57,22090,46|57,251,254,253
A. K-6,Essex,1465,Fairfield Twp,16217,20|57,16451,18|57,18817,26|57,685,708,677
A. K-6,Essex,3630,North Caldwell Boro,17387,27|57,17578,30|57,19420,29|57,690,711,709
A. K-6,Essex,4530,Roseland Boro,16939,24|57,17538,29|57,18948,27|57,456,466,469
A. K-6,Gloucester,1180,East Greenwich Twp,12203,1|57,12928,1|57,14602,2|57,1295,1336,1313
A. K-6,Gloucester,1330,Elk Twp,15156,13|57,14962,9|57,17600,17|57,319,329,330
A. K-6,Gloucester,1590,Franklin Twp,14396,7|57,15400,10|57,15598,4|57,1299,1272,1341
A. K-6,Gloucester,2070,Harrison Twp,13258,2|57,13900,3|57,15086,3|57,1304,1300,1248
A. K-6,Gloucester,2990,Mantua Twp,16329,21|57,16450,17|57,17102,14|57,1227,1357,1304
A. K-6,Gloucester,3490,National Park Boro,13935,5|57,15800,12|57,19367,28|57,295,278,288
A. K-6,Gloucester,4880,South Harrison Twp,13421,3|57,13755,2|57,13616,1|57,319,329,324
A. K-6,Gloucester,5120,Swedesboro-Woolwich,14893,12|57,14162,4|57,15851,6|57,1502,1684,1597
A. K-6,Gloucester,5590,Wenonah Boro,18125,32|57,17053,24|57,17901,19|57,167,171,180
A. K-6,Gloucester,5740,Westville Boro,14376,6|57,16543,19|57,21290,40|57,339,351,310
A. K-6,Gloucester,5870,Woodbury Heights Boro,14666,10|57,14639,6|57,16277,8|57,230,249,261
A. K-6,Hunterdon,2590,Lebanon Boro,23165,54|57,23209,52|57,24073,51|57,97,97,103
A. K-6,Hunterdon,3180,Milford Boro,28457,56|57,26994,55|57,28149,54|57,53,56,71
A. K-6,Monmouth,130,Atlantic Highlands Boro,19861,42|57,19337,38|57,20897,37|57,256,258,267
A. K-6,Monmouth,2160,Highlands Boro,22853,53|57,23595,53|57,27004,53|57,177,181,182
A. K-6,Monmouth,4520,Roosevelt Boro,21935,50|57,21015,46|57,31208,56|57,72,82,72
A. K-6,Morris,3240,Mine Hill Twp,17061,25|57,15857,14|57,18150,21|57,341,351,371
A. K-6,Ocean,230,Beach Haven Boro,21711,47|57,25499,54|57,24017,50|57,86,76,88
A. K-6,Ocean,320,Berkeley Twp,14542,8|57,14553,5|57,15763,5|57,2388,2411,2465
A. K-6,Ocean,1150,Eagleswood Twp,19481,39|57,17010,22|57,21174,39|57,141,162,139
A. K-6,Ocean,2350,Island Heights Boro,20212,44|57,20558,42|57,19691,31|57,128,121,130
A. K-6,Ocean,2690,Little Egg Harbor Twp,15893,18|57,15830,13|57,16896,10|57,1639,1677,1745
A. K-6,Ocean,2760,Long Beach Island,27298,55|57,29949,56|57,29853,55|57,216,202,240
A. K-6,Ocean,3800,Ocean Gate Boro,19550,40|57,21526,49|57,23800,49|57,133,133,134
A. K-6,Ocean,3820,Ocean Twp,19060,37|57,17495,28|57,18459,24|57,504,519,546
A. K-6,Ocean,4710,Seaside Heights Boro,18838,36|57,23164,51|57,22504,48|57,225,207,204
A. K-6,Ocean,5020,Stafford Twp,15825,17|57,16285,16|57,16873,9|57,2164,2313,2542
A. K-6,Ocean,5220,Tuckerton Boro,16778,22|57,19669,39|57,16912,11|57,313,295,325
A. K-6,Sussex,1630,Fredon Twp,21490,46|57,20287,41|57,20331,33|57,176,184,206
A. K-6,Sussex,1980,Hampton Twp,17827,29|57,18688,34|57,20662,35|57,312,300,314
A. K-6,Sussex,4650,Sandyston-Walpack Twp,18773,35|57,19049,36|57,21633,41|57,129,127,132
A. K-6,Sussex,5040,Stillwater Twp,19788,41|57,21617,50|57,22177,47|57,272,265,282
A. K-6,Warren,400,Blairstown Twp,18307,33|57,16863,21|57,16994,13|57,400,436,470
A. K-6,Warren,1620,Franklin Twp,21765,48|57,21476,48|57,20822,36|57,191,198,220
A. K-6,Warren,1670,Frelinghuysen Twp,16171,19|57,17192,27|57,17697,18|57,126,129,135
A. K-6,Warren,2470,Knowlton Twp,22348,52|57,21196,47|57,22065,45|57,156,164,168
A. K-6,Warren,2970,Mansfield Twp,17947,30|57,17102,26|57,16937,12|57,531,560,578
A. K-6,Warren,5480,Washington Boro,17359,26|57,17610,31|57,18782,25|57,504,513,553
A. K-6,Warren,5530,Washington Twp,19457,38|57,19155,37|57,20610,34|57,391,395,375
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,17372,N.A.,17899,N.A.,19457,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,17388,N.A.,18071,N.A.,19900,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,16803,N.A.,17656,N.A.,19164,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,16767,N.A.,17378,N.A.,19030,N.A.,,,
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,29807,78|80,32006,78|80,34576,77|80,448,409,421
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,8925,1|80,17210,21|80,18633,26|80,354,188,202
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,14292,8|80,15740,11|80,17144,12|80,386,378,381
B. K-8 / 0 - 400,Atlantic,3020,Margate City,25592,71|80,30155,76|80,33764,75|80,384,356,342
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,17159,30|80,17803,27|80,16816,10|80,106,109,113
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,19175,39|80,17920,29|80,17799,16|80,145,163,169
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,27398,74|80,28806,72|80,34511,76|80,154,158,155
B. K-8 / 0 - 400,Bergen,1380,Englewood Cliffs Boro,22853,62|80,26782,70|80,25903,65|80,444,410,467
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,16824,24|80,16834,19|80,20207,31|80,348,359,346
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,19629,41|80,21997,55|80,22953,52|80,265,261,261
B. K-8 / 0 - 400,Burlington,380,Beverly City,17013,27|80,16261,14|80,18442,24|80,322,331,336
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,13689,6|80,14548,5|80,17974,20|80,393,366,346
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,21725,54|80,18660,34|80,23013,53|80,168,185,175
B. K-8 / 0 - 400,Burlington,4460,Riverton,15369,14|80,15293,8|80,17148,13|80,289,297,286
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,21718,53|80,24194,66|80,26032,66|80,113,101,97
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,15002,9|80,15494,9|80,17045,11|80,283,285,294
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,15711,16|80,16353,15|80,15600,2|80,284,297,348
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,15979,20|80,19314,41|80,19416,27|80,308,314,342
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,16767,23|80,16545,18|80,21064,36|80,377,398,409
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,12653,3|80,14149,3|80,16596,8|80,406,389,411
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,13078,4|80,16532,17|80,17961,19|80,414,393,459
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,37751,80|80,40829,80|80,35793,78|80,74,73,83
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,36746,79|80,37341,79|80,39076,80|80,190,184,194
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,26756,72|80,24930,68|80,26255,67|80,90,92,95
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,28965,77|80,31705,77|80,37292,79|80,247,235,237
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,18004,37|80,17510,24|80,17257,14|80,206,230,239
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,17251,31|80,17876,28|80,20294,32|80,269,281,282
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,17826,36|80,18955,38|80,16553,7|80,163,156,173
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,15176,12|80,18837,36|80,23029,54|80,84,75,79
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,15076,10|80,14176,4|80,16470,6|80,402,400,402
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,15330,13|80,15251,7|80,15917,3|80,126,123,123
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,12201,2|80,16030,13|80,20686,35|80,221,221,251
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,22483,60|80,21388,50|80,23365,56|80,325,350,370
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,23197,65|80,19880,44|80,26694,69|80,90,107,113
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,24853,69|80,25970,69|80,31276,74|80,93,86,89
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,18646,38|80,19824,43|80,20164,30|80,420,422,452
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,22003,57|80,21041,47|80,22771,50|80,339,366,376
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,20508,49|80,22186,57|80,23351,55|80,250,259,271
