CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Bergen,Englewood City,1370,26995.262382,567.65392422,4083.3165152,814.67078934,622.49980009,477.50777227,97928128.54,2917.9222222,33561
Bergen,Englewood Cliffs Boro,1380,35656.100481,1031.7029378,738.87695396,0.9831518764,750.80834499,129.76761754,17495160.15,456.69444444,38308
Bergen,Fair Lawn Public Schools,1450,23000.030284,331.30545835,858.41037349,871.67819907,695.77240985,198.7457115,139897482.74,5389.8055556,25956
Bergen,Fairview Boro,1470,15391.078245,0,1396.5306279,253.12456746,0,9.8531930055,36955630.92,2167.4111111,17051
Bergen,Fort Lee Boro,1550,21029.643701,779.93001989,1146.9492595,518.71349657,1033.8023758,224.52303047,100828054.47,4076.568306,24734
Bergen,Franklin Lakes Boro,1580,31503.660259,871.88209599,834.33055299,31.255389656,565.64553482,311.23734725,40267593.15,1180.2444444,34118
Bergen,Garfield City,1700,23548.737112,142.65747179,3355.2567897,879.23637678,0,2076.7805469,139727926.75,4657.1833333,30003
Bergen,Glen Rock Boro,1760,23222.189778,1532.9945258,1073.2984664,245.24947372,1640.1433849,64.422357651,72213196.06,2599.6263736,27778
Bergen,Hackensack City,1860,24711.958167,972.45709122,1813.5751158,697.37444156,75.681985826,72.808203436,155084977.32,5471.5555556,28344
Bergen,Harrington Park Boro,2050,25838.601693,135.58002811,681.77984985,25.630763429,451.11532001,372.97401015,17830405.33,648.24444444,27506
Bergen,Hasbrouck Heights Boro,2080,23542.702916,366.54826383,632.7082646,408.14974488,515.28575226,202.06828331,44520357.56,1734.5055556,25667
Bergen,Haworth Boro,2090,27774.592469,5036.2619134,446.44706005,0,0,186.25317431,14269993.16,426.68888889,33444
Bergen,Hillsdale Boro,2180,26159.973244,504.79958244,944.18044168,357.67130507,424.236589,207.89564909,31353452.62,1096.3222222,28599
Bergen,Ho Ho Kus Boro,2200,21587.017401,78.220334051,730.61979864,4.7232730024,824.97584822,372.48131293,20274254.32,859.15,23598
