GROUP,CONAME,DIST,DISTNAME,PP14,RK14,PCT14,PP24,RK24,PCT24,PP34,RK34,PCT34
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,367,N.A.,0.022,379,N.A.,0.023,390,N.A.,0.022
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,315,N.A.,0.018,365,N.A.,0.021,390,N.A.,0.02
A. K-6,Statewide,N.A.,5. State average - All operating types,296,N.A.,0.018,311,N.A.,0.018,418,N.A.,0.022
A. K-6,Statewide,N.A.,6. State median - All operating types,289,N.A.,0.017,319,N.A.,0.018,382,N.A.,0.02
A. K-6,Bergen,1270,Edgewater Boro,759,55|57,0.056,546,46|57,0.033,703,47|57,0.032
A. K-6,Bergen,3870,Oradell Boro,177,7|57,0.012,526,45|57,0.035,322,20|57,0.02
A. K-6,Bergen,4410,River Edge Boro,241,16|57,0.016,373,30|57,0.023,393,30|57,0.023
A. K-6,Bergen,4620,Saddle River Boro,141,3|57,0.005,365,29|57,0.01,602,41|57,0.013
A. K-6,Burlington,830,Chesterfield Twp,437,42|57,0.028,477,37|57,0.028,322,20|57,0.018
A. K-6,Burlington,2960,Mansfield Twp,384,37|57,0.019,613,52|57,0.03,619,43|57,0.028
A. K-6,Burlington,3650,North Hanover Twp,484,45|57,0.026,391,31|57,0.022,376,26|57,0.019
A. K-6,Burlington,5010,Springfield Twp,277,23|57,0.018,254,14|57,0.017,294,13|57,0.016
A. K-6,Camden,2540,Laurel Springs Boro,175,6|57,0.011,226,10|57,0.014,294,13|57,0.016
A. K-6,Camden,3770,Oaklyn Boro,344,33|57,0.019,343,26|57,0.018,594,40|57,0.028
A. K-6,Camden,5560,Waterford Twp,367,36|57,0.021,283,18|57,0.016,319,18|57,0.016
A. K-6,Cape May,710,Cape May City,457,44|57,0.021,964,57|57,0.046,1675,57|57,0.066
A. K-6,Cape May,2840,Lower Twp,503,46|57,0.03,337,25|57,0.02,380,28|57,0.022
A. K-6,Cape May,5610,West Cape May Boro,207,10|57,0.009,189,5|57,0.009,626,44|57,0.028
A. K-6,Essex,1400,Essex Fells Boro,505,47|57,0.025,784,55|57,0.038,937,52|57,0.042
A. K-6,Essex,1465,Fairfield Twp,219,12|57,0.014,236,13|57,0.014,214,9|57,0.011
A. K-6,Essex,3630,North Caldwell Boro,425,41|57,0.024,405,32|57,0.023,321,19|57,0.017
A. K-6,Essex,4530,Roseland Boro,106,2|57,0.006,105,2|57,0.006,228,11|57,0.012
A. K-6,Gloucester,1180,East Greenwich Twp,264,21|57,0.022,274,16|57,0.021,350,24|57,0.024
A. K-6,Gloucester,1330,Elk Twp,82,1|57,0.005,290,19|57,0.019,220,10|57,0.013
A. K-6,Gloucester,1590,Franklin Twp,254,18|57,0.018,231,12|57,0.015,294,13|57,0.019
A. K-6,Gloucester,2070,Harrison Twp,301,26|57,0.023,505,43|57,0.036,409,33|57,0.027
A. K-6,Gloucester,2990,Mantua Twp,286,25|57,0.017,291,20|57,0.018,315,17|57,0.018
A. K-6,Gloucester,3490,National Park Boro,386,38|57,0.028,548,47|57,0.035,985,53|57,0.051
A. K-6,Gloucester,4880,South Harrison Twp,328,31|57,0.024,327,23|57,0.024,198,7|57,0.015
A. K-6,Gloucester,5120,Swedesboro-Woolwich,387,39|57,0.026,364,28|57,0.026,390,29|57,0.025
A. K-6,Gloucester,5590,Wenonah Boro,315,29|57,0.017,208,7|57,0.012,466,34|57,0.026
A. K-6,Gloucester,5740,Westville Boro,337,32|57,0.023,600,50|57,0.036,1040,55|57,0.049
A. K-6,Gloucester,5870,Woodbury Heights Boro,262,20|57,0.018,407,33|57,0.028,397,32|57,0.024
A. K-6,Hunterdon,2590,Lebanon Boro,1217,57|57,0.053,924,56|57,0.04,728,49|57,0.03
