GROUP,CONAME,DIST,DISTNAME,PP18,RK18,PCT18,PP28,RK28,PCT28,PP38,RK38,PCT38
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,1705,N.A.,0.104,1673,N.A.,0.1,1756,N.A.,0.097
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,1853,N.A.,0.104,1798,N.A.,0.103,1916,N.A.,0.099
A. K-6,Statewide,N.A.,5. State average - All operating types,1894,N.A.,0.113,1973,N.A.,0.112,2012,N.A.,0.105
A. K-6,Statewide,N.A.,6. State median - All operating types,1969,N.A.,0.117,1980,N.A.,0.114,2092,N.A.,0.11
A. K-6,Bergen,1270,Edgewater Boro,2152,40|57,0.158,2167,41|57,0.131,2146,37|57,0.098
A. K-6,Bergen,3870,Oradell Boro,1602,19|57,0.108,1617,18|57,0.108,1770,22|57,0.11
A. K-6,Bergen,4410,River Edge Boro,1783,26|57,0.122,1798,29|57,0.112,1916,29|57,0.11
A. K-6,Bergen,4620,Saddle River Boro,3518,57|57,0.114,2524,55|57,0.071,2346,51|57,0.051
A. K-6,Burlington,830,Chesterfield Twp,1717,24|57,0.11,1846,34|57,0.108,1856,26|57,0.103
A. K-6,Burlington,2960,Mansfield Twp,2194,43|57,0.108,2211,43|57,0.11,2234,42|57,0.102
A. K-6,Burlington,3650,North Hanover Twp,1550,16|57,0.083,1431,9|57,0.081,1453,6|57,0.075
A. K-6,Burlington,5010,Springfield Twp,1487,12|57,0.097,1330,6|57,0.091,1479,7|57,0.081
A. K-6,Camden,2540,Laurel Springs Boro,1695,23|57,0.109,1584,16|57,0.101,1706,20|57,0.094
A. K-6,Camden,3770,Oaklyn Boro,1583,18|57,0.088,1758,25|57,0.092,1870,27|57,0.089
A. K-6,Camden,5560,Waterford Twp,1794,27|57,0.101,1773,28|57,0.099,1960,32|57,0.097
A. K-6,Cape May,710,Cape May City,2591,54|57,0.118,1808,30|57,0.087,2248,43|57,0.088
A. K-6,Cape May,2840,Lower Twp,1271,3|57,0.075,1369,7|57,0.08,1407,5|57,0.081
A. K-6,Cape May,5610,West Cape May Boro,1866,31|57,0.086,1758,25|57,0.084,1842,25|57,0.084
A. K-6,Essex,1400,Essex Fells Boro,1896,32|57,0.094,2075,39|57,0.1,2125,36|57,0.096
A. K-6,Essex,1465,Fairfield Twp,2161,41|57,0.133,2198,42|57,0.134,2278,46|57,0.121
A. K-6,Essex,3630,North Caldwell Boro,2072,38|57,0.119,2064,38|57,0.117,2323,49|57,0.12
A. K-6,Essex,4530,Roseland Boro,1969,34|57,0.116,2120,40|57,0.121,1996,34|57,0.105
A. K-6,Gloucester,1180,East Greenwich Twp,1296,5|57,0.106,1287,4|57,0.1,1387,3|57,0.095
A. K-6,Gloucester,1330,Elk Twp,1403,8|57,0.093,1418,8|57,0.095,1613,14|57,0.092
A. K-6,Gloucester,1590,Franklin Twp,1421,9|57,0.099,1548,14|57,0.1,1606,13|57,0.103
A. K-6,Gloucester,2070,Harrison Twp,1546,15|57,0.117,1625,19|57,0.117,1704,19|57,0.113
A. K-6,Gloucester,2990,Mantua Twp,1610,20|57,0.099,1682,21|57,0.102,1652,17|57,0.097
A. K-6,Gloucester,3490,National Park Boro,1424,10|57,0.102,1540,12|57,0.097,1638,15|57,0.085
A. K-6,Gloucester,4880,South Harrison Twp,1501,13|57,0.112,1812,33|57,0.132,1924,30|57,0.141
A. K-6,Gloucester,5120,Swedesboro-Woolwich,2058,37|57,0.138,1849,35|57,0.131,1982,33|57,0.125
A. K-6,Gloucester,5590,Wenonah Boro,2204,45|57,0.122,2238,45|57,0.131,2215,41|57,0.124
A. K-6,Gloucester,5740,Westville Boro,1393,7|57,0.097,1288,5|57,0.078,1599,12|57,0.075
A. K-6,Gloucester,5870,Woodbury Heights Boro,1642,21|57,0.112,1557,15|57,0.106,1683,18|57,0.103
A. K-6,Hunterdon,2590,Lebanon Boro,2232,48|57,0.096,2299,46|57,0.099,2153,39|57,0.089
A. K-6,Hunterdon,3180,Milford Boro,2036,35|57,0.072,1808,30|57,0.067,1722,21|57,0.061
A. K-6,Monmouth,130,Atlantic Highlands Boro,2507,52|57,0.126,2405,53|57,0.124,2258,44|57,0.108
A. K-6,Monmouth,2160,Highlands Boro,1719,25|57,0.075,1760,27|57,0.075,2146,37|57,0.079
A. K-6,Monmouth,4520,Roosevelt Boro,2207,47|57,0.101,1702,23|57,0.081,2097,35|57,0.067
A. K-6,Morris,3240,Mine Hill Twp,2679,55|57,0.157,2588,57|57,0.163,2432,53|57,0.134
A. K-6,Ocean,230,Beach Haven Boro,1312,6|57,0.06,1648,20|57,0.065,1537,11|57,0.064
A. K-6,Ocean,320,Berkeley Twp,1668,22|57,0.115,1457,10|57,0.1,1510,10|57,0.096
A. K-6,Ocean,1150,Eagleswood Twp,1853,29|57,0.095,1863,36|57,0.11,1934,31|57,0.091
A. K-6,Ocean,2350,Island Heights Boro,2050,36|57,0.101,2328,49|57,0.113,2308,48|57,0.117
A. K-6,Ocean,2690,Little Egg Harbor Twp,1184,2|57,0.075,973,1|57,0.061,1388,4|57,0.082
A. K-6,Ocean,2760,Long Beach Island,2177,42|57,0.08,2351,51|57,0.079,2301,47|57,0.077
A. K-6,Ocean,3800,Ocean Gate Boro,2321,51|57,0.119,1986,37|57,0.092,2193,40|57,0.092
A. K-6,Ocean,3820,Ocean Twp,1921,33|57,0.101,1597,17|57,0.091,1651,16|57,0.089
A. K-6,Ocean,4710,Seaside Heights Boro,1452,11|57,0.077,1718,24|57,0.074,1903,28|57,0.085
A. K-6,Ocean,5020,Stafford Twp,1516,14|57,0.096,1473,11|57,0.09,1508,9|57,0.089
A. K-6,Ocean,5220,Tuckerton Boro,1271,3|57,0.076,1546,13|57,0.079,1024,1|57,0.061
A. K-6,Sussex,1630,Fredon Twp,2687,56|57,0.125,2377,52|57,0.117,2328,50|57,0.115
A. K-6,Sussex,1980,Hampton Twp,2076,39|57,0.116,2307,48|57,0.123,2474,55|57,0.12
A. K-6,Sussex,4650,Sandyston-Walpack Twp,2195,44|57,0.117,2347,50|57,0.123,2361,52|57,0.109
A. K-6,Sussex,5040,Stillwater Twp,2205,46|57,0.111,2455,54|57,0.114,2479,57|57,0.112
A. K-6,Warren,400,Blairstown Twp,1571,17|57,0.086,1260,3|57,0.075,1485,8|57,0.087
A. K-6,Warren,1620,Franklin Twp,2589,53|57,0.119,2566,56|57,0.12,2465,54|57,0.118
A. K-6,Warren,1670,Frelinghuysen Twp,1836,28|57,0.114,1691,22|57,0.098,1835,24|57,0.104
A. K-6,Warren,2470,Knowlton Twp,2246,49|57,0.101,2215,44|57,0.105,2273,45|57,0.103
A. K-6,Warren,2970,Mansfield Twp,1858,30|57,0.104,1810,32|57,0.106,1787,23|57,0.106
A. K-6,Warren,5480,Washington Boro,1124,1|57,0.065,1140,2|57,0.065,1183,2|57,0.063
A. K-6,Warren,5530,Washington Twp,2254,50|57,0.116,2306,47|57,0.12,2475,56|57,0.12
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,1851,N.A.,0.107,1869,N.A.,0.104,1964,N.A.,0.101
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,1978,N.A.,0.114,1961,N.A.,0.109,2070,N.A.,0.104
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,1894,N.A.,0.113,1973,N.A.,0.112,2012,N.A.,0.105
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,1969,N.A.,0.117,1980,N.A.,0.114,2092,N.A.,0.11
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,2329,62|80,0.078,2233,56|80,0.07,2288,58|80,0.066
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,1170,1|80,0.131,2047,43|80,0.119,2284,55|80,0.123
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,1490,9|80,0.104,1632,11|80,0.104,1852,19|80,0.108
B. K-8 / 0 - 400,Atlantic,3020,Margate City,1915,31|80,0.075,2025,40|80,0.067,2299,61|80,0.068
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,2077,43|80,0.121,2101,46|80,0.118,1954,31|80,0.116
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,2037,36|80,0.106,2091,45|80,0.117,1948,30|80,0.109
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,2147,46|80,0.078,1968,34|80,0.068,2379,69|80,0.069
B. K-8 / 0 - 400,Bergen,1380,Englewood Cliffs Boro,2438,66|80,0.107,2839,78|80,0.106,2479,78|80,0.096
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,1533,11|80,0.091,1538,7|80,0.091,1883,23|80,0.093
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,1780,21|80,0.091,1779,21|80,0.081,1734,13|80,0.076
B. K-8 / 0 - 400,Burlington,380,Beverly City,1450,4|80,0.085,1324,2|80,0.081,1593,4|80,0.086
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,2093,44|80,0.153,2211,54|80,0.152,2092,41|80,0.116
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,2008,34|80,0.092,1728,18|80,0.093,2256,52|80,0.098
B. K-8 / 0 - 400,Burlington,4460,Riverton,1913,30|80,0.124,1827,25|80,0.119,1923,27|80,0.112
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,2044,37|80,0.094,2472,64|80,0.102,2284,55|80,0.088
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,1476,7|80,0.098,1414,3|80,0.091,1614,5|80,0.095
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,1758,20|80,0.112,1705,17|80,0.104,1556,2|80,0.1
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,2053,39|80,0.129,2377,62|80,0.123,2084,40|80,0.107
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,2153,47|80,0.128,1961,33|80,0.119,2227,50|80,0.106
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,1576,13|80,0.125,1651,14|80,0.117,1710,10|80,0.103
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,1419,3|80,0.108,1632,11|80,0.099,1844,18|80,0.103
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,2548,74|80,0.068,2476,65|80,0.061,2298,60|80,0.064
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,2184,52|80,0.059,2334,61|80,0.063,2020,35|80,0.052
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,2267,58|80,0.085,2175,49|80,0.087,2299,61|80,0.088
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,1451,5|80,0.05,1491,6|80,0.047,1622,6|80,0.044
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,2128,45|80,0.118,1476,5|80,0.084,1996,33|80,0.116
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,1781,22|80,0.103,2271,58|80,0.127,1983,32|80,0.098
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,1835,27|80,0.103,1931,31|80,0.102,1877,22|80,0.113
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,1688,17|80,0.111,1632,11|80,0.087,1539,1|80,0.067
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,1793,24|80,0.119,1829,26|80,0.129,1931,29|80,0.117
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,1473,6|80,0.096,1443,4|80,0.095,1726,11|80,0.108
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,2160,48|80,0.177,2677,74|80,0.167,2460,71|80,0.119
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,2175,50|80,0.097,1997,39|80,0.093,2022,36|80,0.087
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,2050,38|80,0.088,1730,19|80,0.087,1826,16|80,0.068
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,1526,10|80,0.061,1669,15|80,0.064,1731,12|80,0.055
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,1861,28|80,0.1,1996,38|80,0.101,1918,24|80,0.095
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,2328,61|80,0.106,2262,57|80,0.108,2306,63|80,0.101
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,2192,53|80,0.107,2088,44|80,0.094,2147,43|80,0.092
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,2217,55|80,0.096,2033,41|80,0.089,2076,39|80,0.091
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,2826,76|80,0.102,2575,68|80,0.086,2211,49|80,0.091
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,1730,19|80,0.081,1777,20|80,0.077,1921,25|80,0.075
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,1371,2|80,0.078,1319,1|80,0.071,1693,8|80,0.075
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,2278,59|80,0.1,2379,63|80,0.099,2306,63|80,0.084
