CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
80,6060,6220578,2544551,2421063,101282,22206,732587,438492,2374677,645273,568764,0,0,0,0,9.1,55000,81.8,62225,65.4,99782,8,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,Atlantic,327.0
80,6104,9096162,5259057,4138554,200000,920503,906523,562219,2092333,1043228,838250,0,0,0,20000,12.8,61169,184.4,75000,161.7,126788,13.5,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,Atlantic,485.0
80,7410,6919993,3255637,3088921,123273,43443,1639633,1180345,1332362,1067888,692361,0,0,0,14000,8.4,63248,90,79511,90,117373,11.8,Charter~tech High School,Atlantic,K. Charter,C,,,1,Atlantic,360.0
80,6013,19376391,10524630,9508026,629699,386905,2227379,1692960,4220798,1433956,2403584,0,0,0,162209,15.3,66300,179.6,67160,209.5,118481,14.8,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,Bergen,1257.0
80,6430,5411409,3019691,2803491,101500,114700,814242,396586,1017286,911946,560190,0,0,0,20000,10.2,73439,101.7,60696,101.7,102968,11,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,Bergen,305.0
80,7890,7128403,4065652,3787652,150000,128000,1157890,905602,879154,698154,1025708,0,0,0,40000,11.5,74055,314,48574,89.5,136437,8,Teaneck Community Cs,Bergen,K. Charter,C,,,1,Bergen,358.0
80,6026,2002043,1145890,1058390,76000,11500,176893,145393,472599,375599,206660,0,0,0,0,11.4,57250,160,62000,160,140000,15,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,Burlington,160.0
80,6076,5693017,3139070,2894070,125000,120000,749098,390361,1538649,1231483,266200,0,0,0,20000,12.4,56186,120,61821,65.5,82400,5.8,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,Burlington,360.0
80,1799,32313602,17927714,12971605,1673387,3282722,3245648,1544238,4872232,2922615,6268008,0,0,0,1225135,19,77184,251.1,78938,118.2,114144,6.7,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden,2009.1
80,1801,23744350,10111931,7999268,1042663,1070000,2567112,703475,7554800,1173593,3510507,0,0,0,0,29.1,71463,230,88033,88.5,112750,3.4,Camden Prep,Camden,K. Charter,C,,,1,Camden,1150.0
