GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
A. K-6,Statewide,N.A.,Group average: A. K-6,9699,N.A.,0.565,0.941,10005,N.A.,0.558,0.938,10586,N.A.,0.551,0.932
A. K-6,Statewide,N.A.,Group median:  A. K-6,10125,N.A.,0.548,0.943,10690,N.A.,0.55,0.937,11405,N.A.,0.553,0.935
A. K-6,Statewide,N.A.,State average:   All operating types,9937,N.A.,0.54,0.935,10297,N.A.,0.534,0.931,11166,N.A.,0.527,0.917
A. K-6,Statewide,N.A.,State median:    All operating types,9889,N.A.,0.544,0.933,10304,N.A.,0.539,0.928,11146,N.A.,0.531,0.924
A. K-6,Bergen,1270,Edgewater Boro,9234,16|57,0.486,0.884,10237,23|58,0.501,0.899,10375,21|56,0.518,0.8979
A. K-6,Bergen,3870,Oradell Boro,8511,9|57,0.566,0.9334,9030,8|58,0.544,0.9332,9462,10|56,0.548,0.9437
A. K-6,Bergen,4410,River Edge Boro,10485,33|57,0.621,0.9386,9892,20|58,0.608,0.9223,11564,31|56,0.625,0.9303
A. K-6,Bergen,4620,Saddle River School District,18996,57|57,0.434,0.8716,17226,57|58,0.385,0.8449,16457,52|56,0.4,0.8374
A. K-6,Burlington,830,Chesterfield Twp,8351,6|57,0.495,0.9163,9298,12|58,0.505,0.9269,10125,19|56,0.501,0.9412
A. K-6,Burlington,2960,Mansfield Twp,11060,36|57,0.521,0.9297,11271,38|58,0.505,0.9306,10496,23|56,0.507,0.93
A. K-6,Burlington,3650,North Hanover Twp,11019,35|57,0.617,0.9378,10746,32|58,0.55,0.9119,11603,32|56,0.521,0.8824
A. K-6,Burlington,5010,Springfield Twp,8911,14|57,0.599,0.9534,8542,3|58,0.563,0.9332,8792,3|56,0.562,0.9616
A. K-6,Camden,2540,Laurel Springs Boro,8902,13|57,0.514,0.8249,9830,18|58,0.543,0.8188,9407,9|56,0.502,0.7982
A. K-6,Camden,3770,Oaklyn Boro,9542,18|57,0.476,0.8596,10818,36|58,0.503,0.853,13601,49|56,0.49,0.835
A. K-6,Camden,5560,Waterford Twp,9886,21|57,0.54,0.9639,10782,35|58,0.558,0.9636,11776,35|56,0.556,0.953
A. K-6,Cape May,710,Cape May City,13961,54|57,0.58,0.9,15296,54|58,0.565,0.9297,15017,51|56,0.478,0.864
A. K-6,Cape May,2840,Lower Twp,9623,20|57,0.548,0.9624,9175,10|58,0.544,0.9646,9345,7|56,0.557,0.9633
A. K-6,Cape May,5610,West Cape May Boro,9618,19|57,0.461,0.9369,10377,26|58,0.467,0.8632,10060,17|56,0.426,0.7691
A. K-6,Essex,1400,Essex Fells Boro,12268,45|57,0.567,0.8951,13100,50|58,0.567,0.9052,12742,45|56,0.566,0.9
A. K-6,Essex,1465,Fairfield Twp,9975,23|57,0.591,0.9711,9258,11|58,0.58,0.9564,11152,26|56,0.55,0.9531
A. K-6,Essex,3630,North Caldwell Boro,10031,27|57,0.532,0.9254,10689,29|58,0.537,0.9079,12070,40|56,0.533,0.918
A. K-6,Essex,4530,Roseland Boro,10358,31|57,0.579,0.9905,11292,39|58,0.591,0.9873,11510,29|56,0.559,0.9798
A. K-6,Gloucester,1180,East Greenwich Twp,8404,7|57,0.581,0.9429,8611,4|58,0.576,0.9497,9229,6|56,0.563,0.9434
A. K-6,Gloucester,1330,Elk Twp,8166,4|57,0.532,0.8708,9528,13|58,0.593,0.8915,9228,5|56,0.48,0.8182
A. K-6,Gloucester,1590,Franklin Twp,8157,3|57,0.538,0.9275,8833,6|58,0.554,0.9357,8482,2|56,0.532,0.9312
A. K-6,Gloucester,2070,Harrison Twp,8345,5|57,0.596,0.9435,8472,2|58,0.587,0.9288,9487,11|56,0.613,0.9476
A. K-6,Gloucester,2990,Mantua Twp,10135,30|57,0.598,0.9778,9961,21|58,0.59,0.9697,9678,12|56,0.581,0.9716
A. K-6,Gloucester,3490,National Park Boro,10097,28|57,0.623,0.9519,10343,25|58,0.579,0.9512,12273,42|56,0.562,0.9285
A. K-6,Gloucester,4880,South Harrison Twp,6474,1|57,0.509,0.8521,6844,1|58,0.454,0.8358,7432,1|56,0.497,0.8526
A. K-6,Gloucester,5120,Swedesboro-Woolwich,8662,10|57,0.56,0.9114,9571,14|58,0.554,0.9075,9979,15|56,0.568,0.9253
A. K-6,Gloucester,5590,Wenonah Boro,10114,29|57,0.532,0.9533,10771,34|58,0.512,0.9279,10465,22|56,0.507,0.9459
A. K-6,Gloucester,5740,Westville Boro,10029,26|57,0.657,0.9553,10320,24|58,0.604,0.9477,11775,34|56,0.56,0.9114
A. K-6,Gloucester,5870,Woodbury Heights Boro,10026,25|57,0.684,0.9641,10158,22|58,0.649,0.9559,11299,28|56,0.632,0.9237
A. K-6,Hunterdon,1970,Hampton Boro,12112,N.A.,0.471,0.8827,12051,46|58,0.468,0.9311,12122,41|56,0.436,0.9278
A. K-6,Hunterdon,2590,Lebanon Boro,13494,53|57,0.519,0.9224,14253,52|58,0.516,0.8957,12308,43|56,0.487,0.9139
A. K-6,Hunterdon,3180,Milford Boro,12494,46|57,0.476,0.83,11519,40|58,0.446,0.7885,17485,55|56,0.445,0.7702
A. K-6,Monmouth,130,Atlantic Highlands Boro,11506,41|57,0.595,0.9358,12553,48|58,0.593,0.9038,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,2160,Highlands Boro,13394,52|57,0.505,0.8831,13134,51|58,0.466,0.8351,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,4520,Roosevelt Boro,11720,42|57,0.556,0.9043,12016,45|58,0.525,0.8634,13140,46|56,0.459,0.8282
A. K-6,Morris,3240,Mine Hill Twp,8916,15|57,0.509,0.9059,9874,19|58,0.534,0.8863,8946,4|56,0.492,0.8893
A. K-6,Ocean,230,Beach Haven Boro,13308,51|57,0.512,0.9591,16473,56|58,0.501,0.9432,16590,53|56,0.473,0.9167
A. K-6,Ocean,320,Berkeley Twp,8675,11|57,0.585,0.9659,8959,7|58,0.567,0.9525,10112,18|56,0.565,0.9317
A. K-6,Ocean,1150,Eagleswood Twp,12704,49|57,0.58,0.8894,10753,33|58,0.551,0.8807,11875,37|56,0.547,0.8705
A. K-6,Ocean,2350,Island Heights Boro,12678,48|57,0.579,0.9349,12001,44|58,0.608,0.9344,11816,36|56,0.585,0.938
A. K-6,Ocean,2690,Little Egg Harbor Twp,10405,32|57,0.635,0.9879,10950,37|58,0.635,0.9972,12061,39|56,0.628,0.9913
A. K-6,Ocean,2760,Long Beach Island,16316,56|57,0.505,0.9057,18340,58|58,0.491,0.9001,16958,54|56,0.505,0.9176
A. K-6,Ocean,3800,Ocean Gate Boro,14856,55|57,0.596,0.9637,14656,53|58,0.613,0.9641,13970,50|56,0.601,0.937
A. K-6,Ocean,3820,Ocean Twp,8019,2|57,0.506,0.9445,9632,16|58,0.569,0.9591,10913,24|56,0.56,0.9368
A. K-6,Ocean,4710,Seaside Heights Boro,12873,50|57,0.558,0.9686,15512,55|58,0.557,0.9739,18072,56|56,0.537,0.9633
A. K-6,Ocean,5020,Stafford Twp,8448,8|57,0.548,0.9496,8628,5|58,0.55,0.9524,9350,8|56,0.556,0.9559
A. K-6,Ocean,5220,Tuckerton Boro,11166,38|57,0.6,0.98,11552,41|58,0.585,0.9749,12030,38|56,0.578,0.9477
A. K-6,Sussex,1630,Fredon Twp,9893,22|57,0.462,0.9308,9674,17|58,0.45,0.9445,10054,16|56,0.444,0.9478
A. K-6,Sussex,1980,Hampton Twp,11156,37|57,0.571,0.9552,11608,42|58,0.567,0.9495,12571,44|56,0.542,0.9493
A. K-6,Sussex,4650,Sandyston-Walpack Twp,11226,39|57,0.504,0.8757,10475,27|58,0.463,0.9025,11526,30|56,0.447,0.8965
A. K-6,Sussex,5040,Stillwater Twp,11884,44|57,0.583,0.9554,12562,49|58,0.593,0.9603,13352,47|56,0.559,0.9403
A. K-6,Warren,400,Blairstown Twp,10023,24|57,0.563,0.9394,10694,31|58,0.572,0.9452,11147,25|56,0.58,0.937
A. K-6,Warren,1620,Franklin Twp,12539,47|57,0.558,0.9356,12116,47|58,0.561,0.9573,13463,48|56,0.567,0.948
