GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,Statewide,N.A.,Group Average: A. K-6,64.3,N.A.,73494,N.A.,66.6,N.A.,75202,N.A.
A. K-6,Statewide,N.A.,Group Median:  A. K-6,64.7,N.A.,73603,N.A.,63.4,N.A.,75475,N.A.
A. K-6,Statewide,N.A.,State Average:   All Operating Types,65.8,N.A.,85278,N.A.,64.6,N.A.,87022,N.A.
A. K-6,Statewide,N.A.,State Median:    All Operating Types,66.3,N.A.,84250,N.A.,64.9,N.A.,86787,N.A.
A. K-6,Bergen,1270,Edgewater Boro,97.1,8|58,64824,20|58,71.7,20|56,65949,17|56
A. K-6,Bergen,3870,Oradell Boro,77.3,18|58,95869,57|58,84.8,12|56,91730,54|56
A. K-6,Bergen,4410,River Edge Boro,56.7,38|58,87075,52|58,73.0,18|56,85548,48|56
A. K-6,Bergen,4620,Saddle River School District,38.3,54|58,92408,56|58,38.7,53|56,98504,55|56
A. K-6,Burlington,830,Chesterfield Twp,57.7,36|58,69931,31|58,51.1,42|56,71597,26|56
A. K-6,Burlington,2960,Mansfield Twp,61.2,33|58,76255,39|58,61.2,32|56,78753,39|56
A. K-6,Burlington,3650,North Hanover Twp,51.5,40|58,81111,45|58,47.7,47|56,78187,37|56
A. K-6,Burlington,5010,Springfield Twp,144.0,3|58,84000,48|58,98.0,8|56,86180,49|56
A. K-6,Camden,2540,Laurel Springs Boro,94.0,9|58,72971,34|58,59.3,34|56,85276,47|56
A. K-6,Camden,3770,Oaklyn Boro,179.3,2|58,57848,9|58,109.2,4|56,67510,19|56
A. K-6,Camden,5560,Waterford Twp,70.2,23|58,67784,23|58,70.3,23|56,75624,33|56
A. K-6,Cape May,710,Cape May City,77.5,17|58,68100,24|58,49.0,44|56,67300,18|56
A. K-6,Cape May,2840,Lower Twp,43.2,50|58,89479,54|58,51.7,41|56,90479,53|56
A. K-6,Cape May,5610,West Cape May Boro,40.5,53|58,68664,26|58,37.5,54|56,70483,23|56
A. K-6,Essex,1400,Essex Fells Boro,48.3,45|58,39768,4|58,60.3,33|56,52721,6|56
A. K-6,Essex,1465,Fairfield Twp,78.0,16|58,86946,51|58,71.3,21|56,82323,42|56
A. K-6,Essex,3630,North Caldwell Boro,79.8,15|58,79408,43|58,55.9,36|56,71711,27|56
A. K-6,Essex,4530,Roseland Boro,49.1,44|58,82962,46|58,45.0,49|56,84633,44|56
A. K-6,Gloucester,1180,East Greenwich Twp,75.9,19|58,76776,40|58,78.3,14|56,84992,46|56
A. K-6,Gloucester,1330,Elk Twp,108.4,5|58,84917,50|58,117.0,3|56,84729,45|56
A. K-6,Gloucester,1590,Franklin Twp,73.1,21|58,64523,19|58,68.6,25|56,69812,22|56
A. K-6,Gloucester,2070,Harrison Twp,107.5,6|58,88611,53|58,92.9,10|56,88936,51|56
A. K-6,Gloucester,2990,Mantua Twp,68.7,25|58,83662,47|58,63.8,28|56,71394,25|56
A. K-6,Gloucester,3490,National Park Boro,82.0,13|58,77727,41|58,142.5,2|56,89867,52|56
A. K-6,Gloucester,4880,South Harrison Twp,117.0,4|58,62904,17|58,173.0,1|56,73611,31|56
