GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,Group average: A. K-6,48,N.A.,0.003,58,N.A.,0.003,48,N.A.,0.002
A. K-6,Statewide,N.A.,Group median:  A. K-6,47,N.A.,0.003,53,N.A.,0.003,48,N.A.,0.002
A. K-6,Statewide,N.A.,State average:   All operating types,47,N.A.,0.003,46,N.A.,0.002,51,N.A.,0.002
A. K-6,Statewide,N.A.,State median:    All operating types,42,N.A.,0.002,44,N.A.,0.002,48,N.A.,0.002
A. K-6,Bergen,1270,Edgewater Boro,58,36|57,0.003,37,19|58,0.002,46,26|56,0.002
A. K-6,Bergen,3870,Oradell Boro,60,38|57,0.004,71,38|58,0.004,73,38|56,0.004
A. K-6,Bergen,4410,River Edge Boro,30,16|57,0.002,42,21|58,0.003,47,27|56,0.003
A. K-6,Bergen,4620,Saddle River School District,503,57|57,0.012,1108,58|58,0.025,588,56|56,0.014
A. K-6,Burlington,830,Chesterfield Twp,41,25|57,0.002,45,23|58,0.002,85,41|56,0.004
A. K-6,Burlington,2960,Mansfield Twp,59,37|57,0.003,62,33|58,0.003,81,39|56,0.004
A. K-6,Burlington,3650,North Hanover Twp,51,30|57,0.003,46,25|58,0.002,36,17|56,0.002
A. K-6,Burlington,5010,Springfield Twp,15,10|57,0.001,32,16|58,0.002,33,12|56,0.002
A. K-6,Camden,2540,Laurel Springs Boro,55,33|57,0.003,84,42|58,0.005,63,35|56,0.003
A. K-6,Camden,3770,Oaklyn Boro,61,40|57,0.003,11,6|58,53E-5,33,12|56,0.001
A. K-6,Camden,5560,Waterford Twp,42,26|57,0.002,31,14|58,0.002,44,25|56,0.002
A. K-6,Cape May,710,Cape May City,60,38|57,0.003,160,51|58,0.006,89,43|56,0.003
A. K-6,Cape May,2840,Lower Twp,64,41|57,0.004,46,25|58,0.003,37,18|56,0.002
A. K-6,Cape May,5610,West Cape May Boro,73,45|57,0.004,140,50|58,0.006,106,46|56,0.005
A. K-6,Essex,1400,Essex Fells Boro,40,23|57,0.002,52,29|58,0.002,57,32|56,0.003
A. K-6,Essex,1465,Fairfield Twp,80,48|57,0.005,93,45|58,0.006,64,36|56,0.003
A. K-6,Essex,3630,North Caldwell Boro,25,12|57,0.001,116,47|58,0.006,106,46|56,0.005
A. K-6,Essex,4530,Roseland Boro,57,35|57,0.003,65,35|58,0.003,69,37|56,0.003
A. K-6,Gloucester,1180,East Greenwich Twp,35,20|57,0.002,36,18|58,0.002,58,33|56,0.004
A. K-6,Gloucester,1330,Elk Twp,5,2|57,34E-5,5,2|58,3E-4,21,5|56,0.001
A. K-6,Gloucester,1590,Franklin Twp,34,18|57,0.002,30,13|58,0.002,37,18|56,0.002
A. K-6,Gloucester,2070,Harrison Twp,47,28|57,0.003,88,43|58,0.006,48,28|56,0.003
A. K-6,Gloucester,2990,Mantua Twp,52,32|57,0.003,44,22|58,0.003,28,7|56,0.002
A. K-6,Gloucester,3490,National Park Boro,5,2|57,32E-5,57,31|58,0.003,34,15|56,0.002
A. K-6,Gloucester,4880,South Harrison Twp,42,26|57,0.003,7,3|58,45E-5,27,6|56,0.002
A. K-6,Gloucester,5120,Swedesboro-Woolwich,38,22|57,0.002,62,33|58,0.004,35,16|56,0.002
A. K-6,Gloucester,5590,Wenonah Boro,40,23|57,0.002,65,35|58,0.003,60,34|56,0.003
A. K-6,Gloucester,5740,Westville Boro,8,6|57,53E-5,20,9|58,0.001,53,31|56,0.003
A. K-6,Gloucester,5870,Woodbury Heights Boro,25,12|57,0.002,81,39|58,0.005,48,28|56,0.003
A. K-6,Hunterdon,1970,Hampton Boro,39,N.A.,0.001,8,4|58,3E-4,163,53|56,0.006
A. K-6,Hunterdon,2590,Lebanon Boro,72,44|57,0.003,70,37|58,0.003,91,44|56,0.004
A. K-6,Hunterdon,3180,Milford Boro,36,21|57,0.001,121,48|58,0.005,167,54|56,0.004
A. K-6,Monmouth,130,Atlantic Highlands Boro,200,54|57,0.01,230,54|58,0.011,N.R.,N.R.,N.R.
A. K-6,Monmouth,2160,Highlands Boro,282,55|57,0.011,261,55|58,0.009,N.R.,N.R.,N.R.
A. K-6,Monmouth,4520,Roosevelt Boro,29,15|57,0.001,22,10|58,0.001,116,49|56,0.004
A. K-6,Morris,3240,Mine Hill Twp,51,30|57,0.003,23,11|58,0.001,33,12|56,0.002
A. K-6,Ocean,230,Beach Haven Boro,98,50|57,0.004,82,40|58,0.002,136,50|56,0.004
A. K-6,Ocean,320,Berkeley Twp,15,10|57,0.001,9,5|58,55E-5,15,2|56,82E-5
A. K-6,Ocean,1150,Eagleswood Twp,78,46|57,0.004,262,56|58,0.013,142,51|56,0.007
