CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
80,6060,7575518,3166095,2805642,99741,260712,680636,644947,2662384,635547,1066403,79155,0,0,49350,Atlantic Community Charter School,Atlantic,K. Charter/Ren,C,,,1,332.6,10.1,56450,83.3,62225,83.3,123300,9.3,Atlantic
80,6104,8778497,4248172,3441283,99077,707812,0,0,3652319,2044410,878006,0,0,0,10620,Principle Academy Charter School,Atlantic,K. Charter/Ren,C,,,1,459.6,12.8,64600,174.9,78000,153.3,130592,12.9,Atlantic
80,7410,7318980,3442032,3294503,146419,1110,977221,914064,1630486,1314879,1030913,73546,0,238329,71151,Charter~tech High School,Atlantic,K. Charter/Ren,C,,,1,310.3,7.4,72192,44.3,80318,77.5,141248,12.3,Atlantic
80,6013,22939138,11140826,9847952,817544,475330,0,0,9073264,5094552,2725048,0,0,0,88835,Bergen Arts And Sciences Charter School,Bergen,K. Charter/Ren,C,,,1,1273.7,14.6,70100,141.6,69820,159.3,112628,12,Bergen
80,6430,5374813,3177757,2600507,109387,467863,556505,555395,863083,783898,777468,194043,0,0,3702,Englewood On The Palisades Charter Schoo,Bergen,K. Charter/Ren,C,,,1,308.5,11.9,68999,309,55000,77.3,105055,6.8,Bergen
80,7890,7045012,4032050,3866102,52821,113127,0,0,872091,696742,2140872,703422,0,0,14296,Teaneck Community Cs,Bergen,K. Charter/Ren,C,,,1,368.2,11.9,74605,368,58415,92,140901,8,Bergen
80,6026,1920507,1075321,1041583,28352,5386,0,0,628283,502495,216903,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter/Ren,C,,,1,153,9.6,59063,153,65100,153,147000,17,Burlington
80,6076,6016329,2899583,2418535,162982,318066,0,0,2427170,2073017,689576,0,0,0,0,Benjamin Banneker Prep Cs,Burlington,K. Charter/Ren,C,,,1,358.3,15.9,57680,119.3,60000,71.6,87000,5.1,Burlington
80,1799,42979101,14406747,12704986,838737,863024,0,0,26912675,15578817,1659679,0,0,0,0,Kipp Cooper Norcross,Camden,K. Charter/Ren,C,,,1,2225.1,17.1,77946,278.1,79543,,,,Camden
80,1801,29402380,8575179,6261182,1116069,1197928,0,0,13950032,5874480,6877169,0,0,0,82285,Camden Prep,Camden,K. Charter/Ren,C,,,1,1454.1,72.7,70000,1454,84000,161.6,105000,2.3,Camden
80,1802,51993923,29182357,21722037,1290269,6170051,3380319,2010533,12347321,4772770,6307645,147859,0,776281,0,Mastery Schools Of Camden,Camden,K. Charter/Ren,C,,,1,2871,14.1,80100,239.3,77500,358.9,160200,26.9,Camden
