GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,Group average: A. K-6,17153,N.A.,17927,N.A.,19221,N.A.,,,
A. K-6,Statewide,N.A.,Group median:  A. K-6,18459,N.A.,19428,N.A.,20612,N.A.,,,
A. K-6,Statewide,N.A.,State average:   All operating types,18404,N.A.,19286,N.A.,21199,N.A.,,,
A. K-6,Statewide,N.A.,State median:    All operating types,18180,N.A.,19116,N.A.,21004,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,19010,33|57,20445,36|58,20012,24|56,659,683,862
A. K-6,Bergen,3870,Oradell Boro,15047,7|57,16584,12|58,17278,9|56,796,778,792
A. K-6,Bergen,4410,River Edge Boro,16881,18|57,16260,11|58,18495,15|56,1171,1264,1182
A. K-6,Bergen,4620,Saddle River School District,43748,57|57,44756,58|58,41165,56|56,108,117,136
A. K-6,Burlington,830,Chesterfield Twp,16858,17|57,18401,23|58,20211,26|56,719,687,674
A. K-6,Burlington,2960,Mansfield Twp,21243,42|57,22321,45|58,20701,30|56,547,523,616
A. K-6,Burlington,3650,North Hanover Twp,17865,27|57,19546,31|58,22270,37|56,1402,1412,1460
A. K-6,Burlington,5010,Springfield Twp,14865,6|57,15185,4|58,15633,3|56,286,302,305
A. K-6,Camden,2540,Laurel Springs Boro,17318,22|57,18111,22|58,18736,16|56,181,179,190
A. K-6,Camden,3770,Oaklyn Boro,20032,37|57,21517,42|58,27782,48|56,277,269,214
A. K-6,Camden,5560,Waterford Twp,18306,29|57,19335,29|58,21172,33|56,936,918,933
A. K-6,Cape May,710,Cape May City,24080,50|57,27059,52|58,31435,51|56,157,159,168
A. K-6,Cape May,2840,Lower Twp,17544,24|57,16871,13|58,16787,7|56,1449,1534,1628
A. K-6,Cape May,5610,West Cape May Boro,20852,40|57,22239,44|58,23639,43|56,83,83,94
A. K-6,Essex,1400,Essex Fells Boro,21645,44|57,23109,48|58,22494,38|56,245,248,265
A. K-6,Essex,1465,Fairfield Twp,16887,19|57,15971,9|58,20287,27|56,698,734,700
A. K-6,Essex,3630,North Caldwell Boro,18837,31|57,19913,35|58,22647,39|56,694,693,709
A. K-6,Essex,4530,Roseland Boro,17891,28|57,19099,28|58,20597,28|56,467,450,476
A. K-6,Gloucester,1180,East Greenwich Twp,14466,3|57,14956,2|58,16390,5|56,1266,1238,1216
A. K-6,Gloucester,1330,Elk Twp,15361,10|57,16073,10|58,19235,20|56,337,354,366
A. K-6,Gloucester,1590,Franklin Twp,15154,8|57,15940,8|58,15945,4|56,1314,1305,1343
