GROUP,CONAME,DIST,DISTNAME,PP16,RK16,PCT16,PP26,RK26,PCT26,PP36,RK36,PCT36
A. K-6,Statewide,N.A.,Group average: A. K-6,3116,N.A.,0.182,3349,N.A.,0.187,3754,N.A.,0.195
A. K-6,Statewide,N.A.,Group median:  A. K-6,3379,N.A.,0.183,3624,N.A.,0.187,4038,N.A.,0.196
A. K-6,Statewide,N.A.,State average:   All operating types,3041,N.A.,0.165,3264,N.A.,0.169,3687,N.A.,0.174
A. K-6,Statewide,N.A.,State median:    All operating types,3003,N.A.,0.165,3269,N.A.,0.171,3660,N.A.,0.174
A. K-6,Bergen,1270,Edgewater Boro,3558,37|57,0.187,3889,34|58,0.19,3590,20|56,0.179
A. K-6,Bergen,3870,Oradell Boro,2636,13|57,0.175,2954,16|58,0.178,3158,11|56,0.183
A. K-6,Bergen,4410,River Edge Boro,2237,5|57,0.133,2201,5|58,0.135,2282,3|56,0.123
A. K-6,Bergen,4620,Saddle River School District,13118,57|57,0.3,12569,58|58,0.281,11637,56|56,0.283
A. K-6,Burlington,830,Chesterfield Twp,4044,43|57,0.24,4250,42|58,0.231,4991,42|56,0.247
A. K-6,Burlington,2960,Mansfield Twp,4447,45|57,0.209,4963,48|58,0.222,4646,37|56,0.224
A. K-6,Burlington,3650,North Hanover Twp,3491,35|57,0.195,4639,45|58,0.237,5448,45|56,0.245
A. K-6,Burlington,5010,Springfield Twp,2564,12|57,0.172,3196,18|58,0.21,3427,16|56,0.219
A. K-6,Camden,2540,Laurel Springs Boro,2865,17|57,0.165,1976,3|58,0.109,2720,7|56,0.145
A. K-6,Camden,3770,Oaklyn Boro,5496,52|57,0.274,4783,46|58,0.222,6424,49|56,0.231
A. K-6,Camden,5560,Waterford Twp,3983,42|57,0.218,4163,41|58,0.215,4630,36|56,0.219
A. K-6,Cape May,710,Cape May City,3422,30|57,0.142,4883,47|58,0.18,7285,51|56,0.232
A. K-6,Cape May,2840,Lower Twp,3444,31|57,0.196,3425,24|58,0.203,3221,12|56,0.192
A. K-6,Cape May,5610,West Cape May Boro,6364,56|57,0.305,5550,50|58,0.25,5326,43|56,0.225
A. K-6,Essex,1400,Essex Fells Boro,3306,28|57,0.153,3769,30|58,0.163,3501,17|56,0.156
A. K-6,Essex,1465,Fairfield Twp,2535,10|57,0.15,2496,10|58,0.156,3786,22|56,0.187
A. K-6,Essex,3630,North Caldwell Boro,3027,23|57,0.161,3319,21|58,0.167,3998,26|56,0.177
A. K-6,Essex,4530,Roseland Boro,3705,38|57,0.207,3457,27|58,0.181,3912,25|56,0.19
A. K-6,Gloucester,1180,East Greenwich Twp,2479,9|57,0.171,2722,12|58,0.182,3055,10|56,0.186
A. K-6,Gloucester,1330,Elk Twp,2784,16|57,0.181,2451,8|58,0.152,4394,33|56,0.228
A. K-6,Gloucester,1590,Franklin Twp,2369,8|57,0.156,2486,9|58,0.156,2715,5|56,0.17
A. K-6,Gloucester,2070,Harrison Twp,1717,3|57,0.123,1655,1|58,0.115,1827,1|56,0.118
A. K-6,Gloucester,2990,Mantua Twp,2917,20|57,0.172,2831,14|58,0.168,3311,15|56,0.199
A. K-6,Gloucester,3490,National Park Boro,3107,26|57,0.192,3836,32|58,0.215,4702,38|56,0.215
A. K-6,Gloucester,4880,South Harrison Twp,1973,4|57,0.155,3315,20|58,0.22,3009,9|56,0.201
A. K-6,Gloucester,5120,Swedesboro-Woolwich,2248,6|57,0.145,2413,7|58,0.14,2723,8|56,0.155
A. K-6,Gloucester,5590,Wenonah Boro,3738,39|57,0.197,4066,36|58,0.193,4031,28|56,0.195
A. K-6,Gloucester,5740,Westville Boro,2636,13|57,0.173,3478,29|58,0.204,4709,39|56,0.224
