GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,Statewide,N.A.,Group Average: A. K-6,10.5,N.A.,72286,N.A.,10.7,N.A.,73700,N.A.
A. K-6,Statewide,N.A.,Group Median:  A. K-6,9.9,N.A.,69343,N.A.,9.4,N.A.,71896,N.A.
A. K-6,Statewide,N.A.,State Average:   All Operating Types,11.7,N.A.,81927,N.A.,11.7,N.A.,84011,N.A.
A. K-6,Statewide,N.A.,State Median:    All Operating Types,10.9,N.A.,80196,N.A.,10.9,N.A.,82780,N.A.
A. K-6,Bergen,1270,Edgewater Boro,9.8,33|58,66701,25|58,10.0,24|56,75284,37|56
A. K-6,Bergen,3870,Oradell Boro,12.5,5|58,75257,45|58,13.3,4|56,79630,50|56
A. K-6,Bergen,4410,River Edge Boro,12.2,6|58,71788,40|58,12.7,5|56,77070,44|56
A. K-6,Bergen,4620,Saddle River School District,8.0,49|58,77545,53|58,8.1,46|56,79956,51|56
A. K-6,Burlington,830,Chesterfield Twp,10.6,19|58,77145,51|58,10.3,20|56,76504,41|56
A. K-6,Burlington,2960,Mansfield Twp,9.6,36|58,77167,52|58,9.6,26|56,78924,49|56
A. K-6,Burlington,3650,North Hanover Twp,9.9,29|58,73258,42|58,9.4,28|56,76067,39|56
A. K-6,Burlington,5010,Springfield Twp,13.1,2|58,64047,17|58,17.5,1|56,68120,24|56
A. K-6,Camden,2540,Laurel Springs Boro,11.8,8|58,78276,55|58,13.6,3|56,70926,30|56
A. K-6,Camden,3770,Oaklyn Boro,8.3,45|58,62960,11|58,9.6,26|56,75244,36|56
A. K-6,Camden,5560,Waterford Twp,10.2,21|58,67465,26|58,10.3,20|56,76950,43|56
A. K-6,Cape May,710,Cape May City,6.1,58|58,62935,10|58,5.8,55|56,62935,9|56
A. K-6,Cape May,2840,Lower Twp,11.0,16|58,62153,8|58,10.8,14|56,66349,17|56
A. K-6,Cape May,5610,West Cape May Boro,8.4,44|58,63364,13|58,7.7,51|56,65557,14|56
A. K-6,Essex,1400,Essex Fells Boro,7.9,50|58,64885,21|58,8.4,45|56,70790,29|56
A. K-6,Essex,1465,Fairfield Twp,10.6,19|58,65037,22|58,9.9,25|56,62734,8|56
A. K-6,Essex,3630,North Caldwell Boro,9.7,35|58,62859,9|58,9.3,30|56,61815,7|56
A. K-6,Essex,4530,Roseland Boro,10.0,24|58,72712,41|58,10.2,23|56,75778,38|56
A. K-6,Gloucester,1180,East Greenwich Twp,11.3,12|58,68256,30|58,11.8,9|56,76172,40|56
A. K-6,Gloucester,1330,Elk Twp,10.8,18|58,68963,33|58,9.2,34|56,66969,20|56
A. K-6,Gloucester,1590,Franklin Twp,11.4,10|58,59999,6|58,11.6,10|56,61712,6|56
A. K-6,Gloucester,2070,Harrison Twp,12.7,4|58,81382,57|58,12.1,8|56,85624,56|56
A. K-6,Gloucester,2990,Mantua Twp,11.3,12|58,76813,50|58,11.4,12|56,83262,53|56
A. K-6,Gloucester,3490,National Park Boro,9.3,37|58,70357,36|58,9.3,30|56,71367,32|56
A. K-6,Gloucester,4880,South Harrison Twp,11.3,12|58,60000,7|58,9.4,28|56,59428,3|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,10.1,22|58,67684,28|58,10.9,13|56,67234,22|56
A. K-6,Gloucester,5590,Wenonah Boro,8.2,46|58,64757,20|58,8.0,48|56,65557,14|56
A. K-6,Gloucester,5740,Westville Boro,10.0,24|58,76735,49|58,9.2,34|56,78386,47|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,9.8,33|58,69798,35|58,9.2,34|56,69798,27|56
A. K-6,Hunterdon,1970,Hampton Boro,8.5,42|58,64035,16|58,8.6,43|56,66172,16|56
A. K-6,Hunterdon,2590,Lebanon Boro,7.1,54|58,63971,15|58,6.6,53|56,66660,19|56
A. K-6,Hunterdon,3180,Milford Boro,7.6,52|58,58411,3|58,9.0,38|56,65383,13|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,8.8,40|58,89858,58|58,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,2160,Highlands Boro,7.9,50|58,68815,31|58,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,4520,Roosevelt Boro,39.5,1|58,63439,14|58,7.8,50|56,77977,46|56
A. K-6,Morris,3240,Mine Hill Twp,11.1,15|58,67465,26|58,10.5,17|56,69738,25|56
A. K-6,Ocean,230,Beach Haven Boro,6.3,56|58,56125,1|58,5.1,56|56,60656,4|56
A. K-6,Ocean,320,Berkeley Twp,11.4,10|58,71285,37|58,11.6,10|56,71125,31|56
A. K-6,Ocean,1150,Eagleswood Twp,10.0,24|58,59635,5|58,8.5,44|56,61710,5|56
A. K-6,Ocean,2350,Island Heights Boro,10.9,17|58,63340,12|58,9.3,30|56,64288,11|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,9.9,29|58,69374,34|58,12.3,7|56,81624,52|56
A. K-6,Ocean,2760,Long Beach Island,6.3,56|58,79674,56|58,6.3,54|56,83944,54|56
A. K-6,Ocean,3800,Ocean Gate Boro,7.6,52|58,65430,23|58,8.1,46|56,67230,21|56
A. K-6,Ocean,3820,Ocean Twp,11.6,9|58,71402,38|58,15.5,2|56,64027,10|56
A. K-6,Ocean,4710,Seaside Heights Boro,6.9,55|58,75284,47|58,7.3,52|56,78884,48|56
A. K-6,Ocean,5020,Stafford Twp,13.1,2|58,64521,19|58,12.7,5|56,66456,18|56
A. K-6,Ocean,5220,Tuckerton Boro,8.9,39|58,58540,4|58,8.7,41|56,58592,1|56
A. K-6,Sussex,1630,Fredon Twp,10.0,24|58,66382,24|58,10.4,18|56,69797,26|56
A. K-6,Sussex,1980,Hampton Twp,8.5,42|58,68892,32|58,8.7,41|56,67620,23|56
A. K-6,Sussex,4650,Sandyston-Walpack Twp,10.1,22|58,71506,39|58,10.3,20|56,69910,28|56
A. K-6,Sussex,5040,Stillwater Twp,8.6,41|58,78197,54|58,8.8,40|56,74947,35|56
A. K-6,Warren,400,Blairstown Twp,8.2,46|58,75270,46|58,8.0,48|56,77575,45|56
A. K-6,Warren,1620,Franklin Twp,8.1,48|58,67870,29|58,9.2,34|56,72120,33|56
A. K-6,Warren,1670,Frelinghuysen Twp,10.0,24|58,57115,2|58,9.3,30|56,58626,2|56
A. K-6,Warren,2470,Knowlton Twp,9.0,38|58,74590,43|58,8.9,39|56,76585,42|56
A. K-6,Warren,2970,Mansfield Twp,9.9,29|58,76612,48|58,10.8,14|56,84690,55|56
A. K-6,Warren,5480,Washington Boro,12.0,7|58,64476,18|58,10.4,18|56,64476,12|56
A. K-6,Warren,5530,Washington Twp,9.9,29|58,74605,44|58,10.6,16|56,74605,34|56
B. K-8 / 0 - 400,Statewide,N.A.,Group Average: B. K-8 / 0-400,8.6,N.A.,72006,N.A.,8.6,N.A.,73707,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,Group Median:  B. K-8 / 0-400,8.5,N.A.,70252,N.A.,8.5,N.A.,72226,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,State Average:   All Operating Types,11.7,N.A.,81927,N.A.,11.7,N.A.,84011,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,State Median:    All Operating Types,10.9,N.A.,80196,N.A.,10.9,N.A.,82780,N.A.
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,6.5,65|75,102124,75|75,6.8,61|75,100012,74|75
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,11.3,4|75,69914,39|75,12.2,4|75,69914,32|75
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,10.1,14|75,67147,27|75,9.9,16|75,70580,34|75
B. K-8 / 0 - 400,Atlantic,3020,Margate City,6.5,65|75,98620,74|75,7.2,57|75,100900,75|75
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,9.7,20|75,64181,20|75,9.0,31|75,69509,31|75
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,11.2,5|75,59477,7|75,10.0,13|75,62437,9|75
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,8.2,46|75,78979,64|75,8.1,46|75,82116,68|75
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,10.0,16|75,68707,35|75,10.3,10|75,69122,30|75
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,9.5,23|75,83930,70|75,8.5,37|75,86451,70|75
B. K-8 / 0 - 400,Burlington,380,Beverly City,8.9,31|75,64426,21|75,9.2,26|75,69051,29|75
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,14.4,1|75,82684,68|75,12.1,5|75,63133,11|75
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,9.6,22|75,68576,34|75,9.1,29|75,72626,41|75
B. K-8 / 0 - 400,Burlington,4460,Riverton,9.4,25|75,71226,48|75,9.0,31|75,74124,47|75
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,7.0,62|75,58211,4|75,6.5,66|75,54944,3|75
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,8.2,46|75,70966,47|75,8.7,34|75,73247,42|75
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,8.5,37|75,68378,32|75,7.9,49|75,72354,38|75
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,10.2,12|75,62850,16|75,13.0,3|75,66945,21|75
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,10.2,12|75,69361,38|75,9.8,18|75,71430,35|75
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,11.2,5|75,79834,65|75,11.1,6|75,81607,65|75
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,7.7,53|75,75042,58|75,8.1,46|75,79524,62|75
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,5.8,73|75,84678,71|75,5.7,71|75,87953,71|75
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,8.7,35|75,71612,50|75,9.7,20|75,75524,53|75
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,6.4,68|75,82806,69|75,5.7,71|75,83938,69|75
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,8.5,37|75,60939,9|75,7.8,52|75,61014,7|75
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,9.4,25|75,73596,53|75,9.1,29|75,72596,40|75
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,10.1,14|75,67742,29|75,10.1,12|75,68267,27|75
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,11.4,3|75,62728,15|75,5.3,75|75,64878,16|75
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,10.4,9|75,55014,2|75,9.9,16|75,54186,1|75
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,13.6,2|75,68253,31|75,63.5,1|75,67938,24|75
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,10.3,11|75,57682,3|75,14.9,2|75,55588,4|75
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,10.5,8|75,62079,11|75,9.7,20|75,63989,13|75
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,6.4,68|75,59853,8|75,7.0,58|75,58115,5|75
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,5.7,75|75,61375,10|75,5.4,74|75,61375,8|75
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,6.5,65|75,80019,66|75,7.4,56|75,79567,63|75
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,8.9,31|75,86790,72|75,9.5,25|75,88665,72|75
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,8.4,41|75,64832,22|75,9.7,20|75,64647,15|75
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,7.0,62|75,67145,26|75,6.6,65|75,72380,39|75
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,8.3,43|75,72440,51|75,8.3,41|75,73980,46|75
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,9.3,28|75,62230,13|75,8.5,37|75,64514,14|75
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,6.0,71|75,66075,23|75,6.3,69|75,68105,26|75
B. K-8 / 0 - 400,Monmouth,270,Belmar Boro,7.9,51|75,70288,43|75,8.2,43|75,73350,43|75
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,5.8,73|75,68225,30|75,6.4,68|75,75499,52|75
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,7.6,55|75,67030,25|75,7.9,49|75,74412,48|75
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,7.8,52|75,58240,5|75,6.7,62|75,62710,10|75
