GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,Group Average: A. K-6,14.3,N.A.,13.9,N.A.
A. K-6,Statewide,N.A.,Group Median:  A. K-6,13.1,N.A.,13.6,N.A.
A. K-6,Statewide,N.A.,State Average:   All Operating Types,13.9,N.A.,13.8,N.A.
A. K-6,Statewide,N.A.,State Median:    All Operating Types,13.3,N.A.,13.3,N.A.
A. K-6,Bergen,1270,Edgewater Boro,12.8,30|56,13.6,26|56
A. K-6,Bergen,3870,Oradell Boro,10.3,41|56,10.1,41|56
A. K-6,Bergen,4410,River Edge Boro,11.8,37|56,13.5,28|56
A. K-6,Bergen,4620,Saddle River School District,4.4,55|56,4.4,54|56
A. K-6,Burlington,830,Chesterfield Twp,12.8,30|56,11.9,36|56
A. K-6,Burlington,2960,Mansfield Twp,11.1,40|56,11.0,39|56
A. K-6,Burlington,3650,North Hanover Twp,17.1,14|56,16.5,12|56
A. K-6,Burlington,5010,Springfield Twp,7.1,53|56,5.0,52|56
A. K-6,Camden,2540,Laurel Springs Boro,9.0,46|56,4.7,53|56
A. K-6,Camden,3770,Oaklyn Boro,17.0,15|56,15.5,17|56
A. K-6,Camden,5560,Waterford Twp,14.8,24|56,12.7,32|56
A. K-6,Cape May,710,Cape May City,9.1,45|56,9.4,45|56
A. K-6,Cape May,2840,Lower Twp,18.1,8|56,15.6,15|56
A. K-6,Cape May,5610,West Cape May Boro,11.7,38|56,N.R.,N.R.
A. K-6,Essex,1400,Essex Fells Boro,18.1,8|56,17.1,10|56
A. K-6,Essex,1465,Fairfield Twp,15.7,20|56,20.5,6|56
A. K-6,Essex,3630,North Caldwell Boro,15.7,20|56,21.9,3|56
A. K-6,Essex,4530,Roseland Boro,17.8,11|56,13.6,26|56
A. K-6,Gloucester,1180,East Greenwich Twp,12.3,34|56,14.3,22|56
A. K-6,Gloucester,1330,Elk Twp,17.6,12|56,20.5,6|56
A. K-6,Gloucester,1590,Franklin Twp,16.6,17|56,16.5,12|56
A. K-6,Gloucester,2070,Harrison Twp,13.3,27|56,13.8,24|56
A. K-6,Gloucester,2990,Mantua Twp,15.8,19|56,14.8,20|56
A. K-6,Gloucester,3490,National Park Boro,N.R.,N.R.,16.4,14|56
A. K-6,Gloucester,4880,South Harrison Twp,17.0,15|56,9.8,44|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,18.0,10|56,17.0,11|56
A. K-6,Gloucester,5590,Wenonah Boro,23.5,1|56,23.7,2|56
A. K-6,Gloucester,5740,Westville Boro,21.3,3|56,21.3,4|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,14.3,26|56,14.8,20|56
A. K-6,Hunterdon,1970,Hampton Boro,15.6,22|56,15.2,19|56
A. K-6,Hunterdon,2590,Lebanon Boro,7.2,51|56,7.6,47|56
A. K-6,Hunterdon,3180,Milford Boro,N.R.,N.R.,N.R.,N.R.
A. K-6,Monmouth,130,Atlantic Highlands Boro,12.7,32|56,N.R.,N.R.
A. K-6,Monmouth,2160,Highlands Boro,22.1,2|56,N.R.,N.R.
A. K-6,Monmouth,4520,Roosevelt Boro,5.3,54|56,5.6,51|56
A. K-6,Morris,3240,Mine Hill Twp,12.3,34|56,13.7,25|56
A. K-6,Ocean,230,Beach Haven Boro,13.1,28|56,13.0,29|56
A. K-6,Ocean,320,Berkeley Twp,18.9,6|56,18.5,8|56
A. K-6,Ocean,1150,Eagleswood Twp,3.9,56|56,6.0,50|56
A. K-6,Ocean,2350,Island Heights Boro,7.3,50|56,10.1,41|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,16.6,17|56,14.3,22|56
A. K-6,Ocean,2760,Long Beach Island,11.3,39|56,11.7,37|56
A. K-6,Ocean,3800,Ocean Gate Boro,9.7,44|56,20.6,5|56
A. K-6,Ocean,3820,Ocean Twp,20.0,4|56,15.3,18|56
A. K-6,Ocean,4710,Seaside Heights Boro,12.7,32|56,27.1,1|56
