CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
80,6060,7816506,3763628,3192957,208559,362112,848468,607729,2453450,821506,750960,0,0,0,18760,9.5,56750,82.5,62270,82.5,123300,9.7,Atlantic Community Charter School,Atlantic,K. Charter/Ren,C,,,1,Atlantic,330.0
80,6104,9774701,5534609,4193262,200000,1141347,1284795,844820,2090548,1048425,864750,0,0,0,20000,10.8,65960,164.6,79950,144.3,133856,14.2,Principle Academy Charter School,Atlantic,K. Charter/Ren,C,,,1,Atlantic,433.0
80,7410,8065113,4230304,4019660,139584,71060,1449531,940738,1684235,1399306,701043,0,0,0,106406,6,72322,41.3,80116,62,150663,11.8,Charter~tech High School,Atlantic,K. Charter/Ren,C,,,1,Atlantic,248.0
80,6013,25674476,13034131,11568106,728424,737601,3458079,2760627,6639835,2694357,2542430,0,0,0,50000,14.4,74850,116.4,73566,182.9,116806,14.3,Bergen Arts And Sciences Charter School,Bergen,K. Charter/Ren,C,,,1,Bergen,1280.0
80,6430,5967414,3358450,3046950,140500,171000,906738,473196,1126262,1016987,575964,0,0,0,14000,10.7,81195,309,65270,77.3,128414,7.5,Englewood On The Palisades Charter Schoo,Bergen,K. Charter/Ren,C,,,1,Bergen,309.0
80,7890,7892210,4598997,4303997,135000,160000,1284655,869155,951558,717468,1057000,0,0,0,172000,13,75605,104.7,60195,94.3,145692,8.2,Teaneck Community Cs,Bergen,K. Charter/Ren,C,,,1,Bergen,377.0
80,6026,2306593,1392052,1323777,54625,13650,232703,157653,463858,400595,217980,0,0,0,0,10.3,64063,158,70100,158,152000,16.3,Riverbank Charter School Of Excelle,Burlington,K. Charter/Ren,C,,,1,Burlington,158.0
80,6076,6327237,3608363,2928363,200000,480000,924045,698308,1510229,1312518,284600,0,0,0,0,13.4,60000,117.3,62400,70.4,90480,5.9,Benjamin Banneker Prep Cs,Burlington,K. Charter/Ren,C,,,1,Burlington,352.0
80,1799,49180998,25539978,20104577,1389274,4046127,3907765,2616745,10893005,6424618,1096507,0,0,0,184000,17.9,83000,131.4,81000,2233,43342,142,Kipp Cooper Norcross,Camden,K. Charter/Ren,C,,,1,Camden,2233.0
80,1801,34001647,13383617,11715209,1046671,621737,6897624,1210562,7649477,3398976,6070929,0,0,0,0,96.3,75000,722,74050,240.7,115000,2.8,Camden Prep,Camden,K. Charter/Ren,C,,,1,Camden,1444.0
80,1802,63241000,39399940,31243940,1789000,6367000,8182833,2443833,11655227,3400227,4003000,0,0,0,1350000,14.4,85515,217.7,80900,404.3,163000,29.9,Mastery Schools Of Camden,Camden,K. Charter/Ren,C,,,1,Camden,2830.0
80,6086,2614848,1241048,1156374,54674,30000,395757,264757,653429,547629,324614,0,0,0,0,11.7,63914,,,37.3,133350,3.2,Hope Community Cs,Camden,K. Charter/Ren,C,,,1,Camden,112.0
80,6107,47920507,30130081,26670081,2260000,1200000,4740377,2597939,5672337,3812337,7377713,0,0,0,1425000,12.2,73000,106.8,82000,129.3,115000,11.8,Camden’s Promise Charter School,Camden,K. Charter/Ren,C,,,1,Camden,2456.0
80,7109,26749857,12017383,10666642,360028,990713,6933285,5547340,5101483,3299589,2425007,0,0,0,189340,16.2,63000,222.9,70000,104,110000,6.9,Leap Academy University Cs,Camden,K. Charter/Ren,C,,,1,Camden,1560.0
80,6028,4865768,2727146,2596101,95045,36000,257075,0,1013001,652316,868546,0,0,0,0,12.1,56275,,,199.5,93859,16.5,Vineland Public Charter School,Cumberland,K. Charter/Ren,C,,,1,Cumberland,399.0
80,6069,4772210,2587045,2091089,181413,314543,587439,212871,843873,557823,753853,0,0,0,81818,11.4,53523,,,160,112500,14,Millville Public Charter School,Cumberland,K. Charter/Ren,C,,,1,Cumberland,320.0
80,6089,2350217,1366287,1289987,36700,39600,370100,138600,402255,308370,211574,0,0,0,0,11.6,53500,92.5,74151,92.5,48800,9,Compass Academy Cs,Cumberland,K. Charter/Ren,C,,,1,Cumberland,185.0
80,6100,2257915,934734,828984,48000,57750,394281,210581,547458,359458,381442,0,0,0,0,17.1,50000,,,120,135300,7,Bridgeton Public Charter School,Cumberland,K. Charter/Ren,C,,,1,Cumberland,120.0
80,6020,6469311,2803514,2608986,80000,114528,452265,379015,995425,956125,719416,0,0,0,0,16,75250,100,72800,50,116850,3.6,Pride Academy Charter School,Essex,K. Charter/Ren,C,,,1,Essex,300.0
80,6022,4883055,2264451,2094951,125000,44500,860972,418582,1024529,594336,733103,0,0,0,0,17.5,56049,333,59002,83.3,104500,5,Burch Charter School Of Excellence,Essex,K. Charter/Ren,C,,,1,Essex,333.0
80,6029,4382130,2259846,1439212,106494,714140,547121,282121,866361,514858,708802,0,0,0,0,11.7,71056,35,76313,46.7,120000,5.3,Newark Educators Community Charter Schoo,Essex,K. Charter/Ren,C,,,1,Essex,140.0
80,6053,46530031,25039727,22043477,1200000,1796250,9578422,4960259,6312138,4943115,5599744,0,0,0,0,32.9,63343,175.4,84567,140.3,86342,5.1,Great Oaks Legacy Charter School,Essex,K. Charter/Ren,C,,,1,Essex,2105.0
80,6058,6428074,3827490,3152490,120000,555000,886629,659629,1227051,708651,486904,0,0,0,0,11.9,74676,79.2,85187,95,106108,9.2,Roseville Community Cs,Essex,K. Charter/Ren,C,,,1,Essex,285.0
80,6094,11630528,5594409,5244507,152671,197231,2991479,2230918,1720178,1365929,1324463,0,0,0,0,23.3,76199,76.9,73485,103.3,132000,5.8,Phillip's Academy Charter School,Essex,K. Charter/Ren,C,,,1,Essex,723.0
80,6099,7057654,3928133,3334311,11697,582125,1197642,788569,1266736,937498,665144,0,0,0,17000,17,72000,170,87000,85,109440,5.5,Link Community Charter School,Essex,K. Charter/Ren,C,,,1,Essex,340.0
80,6109,7908333,4145175,2340506,429140,1375529,637965,305265,1904334,1124185,1212859,0,0,0,0,55.5,79500,55.5,67725,83.3,117548,3,Lead Charter School,Essex,K. Charter/Ren,C,,,1,Essex,333.0
80,6320,2340114,1571373,1310267,58705,202401,164500,0,326813,170519,277428,0,0,0,0,16.7,74960,,,50,90900,3,Discovery Cs,Essex,K. Charter/Ren,C,,,1,Essex,100.0
80,6410,7551622,3827015,3437311,285000,104704,1649093,1459343,1328901,704049,746612,0,0,0,0,22.7,54443,136.3,65000,68.2,91075,3.5,East Orange Community Cs,Essex,K. Charter/Ren,C,,,1,Essex,409.0
80,6665,6286227,3204226,2825338,165235,213653,876351,665936,1243344,1012323,962306,0,0,0,0,19.2,82750,158,107055,158,233056,9.3,Gray Cs,Essex,K. Charter/Ren,C,,,1,Essex,316.0
80,7021,16013246,7333789,5344323,244925,1744541,2929002,2262325,3955343,2532370,1795112,0,0,0,0,29.3,73913,158,92700,98.8,118450,4,People's Achieve Community Charter Schoo,Essex,K. Charter/Ren,C,,,1,Essex,790.0
80,7210,26530860,14029803,12231803,600000,1198000,3031446,1513920,5736560,4757180,3733051,0,0,0,0,22.1,74414,93.3,85550,60.7,122637,3.4,Marion P. Thomas Cs,Essex,K. Charter/Ren,C,,,1,Essex,1306.0
80,7290,10424136,5409133,4397887,832000,179246,1997291,976366,2702242,2100304,315469,0,0,0,513788,10.8,79218,366,107000,73.2,160000,7,New Horizons Comm. Cs,Essex,K. Charter/Ren,C,,,1,Essex,366.0
80,7320,134743733,61118794,49411186,5134755,6572853,26104328,10276255,44812828,13284001,2707783,0,0,0,0,35.3,84000,558.3,92000,837.4,146650,25.2,North Star Academy Charter School,Essex,K. Charter/Ren,C,,,1,Essex,6699.0
80,7325,134941467,75444349,61127829,2988771,11327749,20977161,15481460,26323683,15035220,12018789,0,0,0,5178858,21.8,75000,197.5,77888,6321,90000,322,Team Academy Charter School,Essex,K. Charter/Ren,C,,,1,Essex,6321.0
80,7730,13517696,6939114,5859267,595431,484416,2724459,2147587,2284932,1785698,1569191,0,0,0,37200,19.1,60824,131.2,49000,175.5,135530,10.5,Robert Treat Academy Cs,Essex,K. Charter/Ren,C,,,1,Essex,702.0
80,7735,14434561,8094062,7414062,160000,520000,1592645,865145,3576184,3165184,1171670,0,0,0,47500,14.7,71335,186,79530,46.5,151320,3.4,Maria L. Varisco-Rogers Cs,Essex,K. Charter/Ren,C,,,1,Essex,558.0
80,6030,8791282,5147513,3788474,316500,1042539,1433893,1097628,1728876,1340156,481000,0,0,0,0,22.2,62262,67,78699,55.8,114610,3.4,The Ethical Community Charter School,Hudson,K. Charter/Ren,C,,,1,Hudson,335.0
80,6036,7756636,4485134,1240262,175513,3069359,610552,457220,1938852,1689541,722098,0,0,0,0,23.1,72000,146,85000,219,123500,11,Hola Hoboken Dual Lang Cs,Hudson,K. Charter/Ren,C,,,1,Hudson,438.0
80,6064,10157940,5987884,4934811,403073,650000,1297591,1227591,2036485,1108485,815980,0,0,0,50000,14.8,68123,128,92830,96,140230,7.3,Dr Lena Edwards Academic Charter School,Hudson,K. Charter/Ren,C,,,1,Hudson,384.0
80,6082,26429367,12772201,11940326,562989,268886,6303350,5651172,4033057,2908807,3320760,0,0,0,391248,22,77500,141.8,78000,156,106250,8.2,Beloved Community Charter School,Hudson,K. Charter/Ren,C,,,1,Hudson,1560.0
80,6093,7487500,4110426,3698426,125000,287000,1093718,367768,1460371,1038971,822985,0,0,0,30000,17.7,61000,207.5,71000,138.3,120000,8.5,Jersey City Global Cs,Hudson,K. Charter/Ren,C,,,1,Hudson,415.0
80,6103,26009300,14290994,13277831,761321,251842,3762842,2809503,4868029,3787116,3087434,0,0,0,520000,12.6,74500,77.6,73000,73.3,107750,6.8,Empowerment Academy Charter School,Hudson,K. Charter/Ren,C,,,1,Hudson,1320.0
