CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
80,7290,5791977,2426739,2265452,97430,63857,0,0,1925914,1601778,1439324,668400,0,0,79834,New Horizons Comm. Cs,Essex,K. Charter/Ren,C,,,1,382.9,Essex,
80,7320,104824566,36331746,27869509,5310581,3151656,0,0,51713896,23777869,16778924,0,0,0,1946244,North Star Academy Charter School,Essex,K. Charter/Ren,C,,,1,6399.5,Essex,
80,7325,101117497,33325274,28785817,2438616,2100841,0,0,52121478,32016568,15670745,0,0,0,211744,Team Academy Charter School,Essex,K. Charter/Ren,C,,,1,6041.2,Essex,
80,7730,10619997,5068692,4367927,480780,219985,1000857,883937,1817930,1494603,2671238,823926,0,61280,0,Robert Treat Academy Cs,Essex,K. Charter/Ren,C,,,1,694.8,Essex,
80,7735,8582792,3789099,3715124,49088,24887,755020,755020,2891466,2450182,1147208,162979,0,0,0,Maria L. Varisco-Rogers Cs,Essex,K. Charter/Ren,C,,,1,558,Essex,
80,6030,5622886,2666999,2420807,103928,142264,0,0,1376806,1102509,1412660,734039,166421,0,0,The Ethical Community Charter School,Hudson,K. Charter/Ren,C,,,1,372.5,Hudson,
80,6036,5296065,3206709,2893899,84974,227836,0,0,1000648,800190,1088708,177173,0,0,0,Hola Hoboken Dual Lang Cs,Hudson,K. Charter/Ren,C,,,1,423,Hudson,
80,6064,7153304,4336256,4274863,22787,38606,0,0,2087955,1660440,729093,0,0,0,0,Dr Lena Edwards Academic Charter School,Hudson,K. Charter/Ren,C,,,1,365.1,Hudson,
80,6082,22201666,10483594,9841547,218866,423181,0,0,4798572,3395055,6919500,3025542,0,0,772968,Beloved Community Charter School,Hudson,K. Charter/Ren,C,,,1,1547.8,Hudson,
80,6093,5203097,2479429,2047189,85863,346377,173832,91642,1533103,1046523,999237,0,17496,0,92366,Jersey City Global Cs,Hudson,K. Charter/Ren,C,,,1,409,Hudson,
80,6103,15411127,7890319,7488555,240637,161127,0,0,3079210,2431541,4441598,1566217,0,0,229621,Empowerment Academy Charter School,Hudson,K. Charter/Ren,C,,,1,989.7,Hudson,
80,6105,11620439,5836048,5529462,177978,128608,0,0,4149285,2076574,1635106,0,0,0,148579,Hudson Arts And Science  Charter School,Hudson,K. Charter/Ren,C,,,1,831.5,Hudson,
80,6420,3873072,2503667,2436208,8713,58746,0,0,965013,701782,404392,0,0,0,0,Elysian Cs Of Hoboken,Hudson,K. Charter/Ren,C,,,1,288,Hudson,
80,6720,4725032,2248340,2160461,70456,17423,495007,342219,914032,732356,1067652,0,0,0,0,Hoboken Cs,Hudson,K. Charter/Ren,C,,,1,297.4,Hudson,
80,6910,6838541,3720875,3362841,209877,148157,0,0,2817495,2019400,300171,0,0,0,17440,Jersey City Comm. Cs,Hudson,K. Charter/Ren,C,,,1,575,Hudson,
80,6915,7511385,3946772,3570587,195099,181086,347171,186350,1245506,947455,1958261,718842,0,13675,99207,Jersey City Golden Door Charter School,Hudson,K. Charter/Ren,C,,,1,620.4,Hudson,
80,7115,8034696,5334259,4961588,168834,203837,63653,56360,1394438,1000415,1242346,234276,0,0,3098,Learning Community Cs,Hudson,K. Charter/Ren,C,,,1,592.9,Hudson,
80,7830,3210684,2009162,1879914,106901,22347,347232,125968,380206,218365,474084,0,0,0,0,Soaring Heights Cs,Hudson,K. Charter/Ren,C,,,1,269.6,Hudson,
80,7898,,,,,,,,,,,,,,,Kindle Education Public Charter School,Hudson,K. Charter/Ren,C,,,1,,Hudson,
80,8060,7067318,4170101,3859956,78146,231999,387867,349642,1404920,1215337,1104429,0,0,0,19700,University Academy Cs,Hudson,K. Charter/Ren,C,,,1,419,Hudson,
80,6017,16080915,7560512,6881417,221207,457888,176292,176292,5550943,4732767,2793168,976246,0,0,0,Foundation Academy Cs,Mercer,K. Charter/Ren,C,,,1,1046.4,Mercer,
80,6025,6494087,3827189,3241930,114553,470706,0,0,1406466,877013,1079608,59548,180824,0,0,Paul Robeson Humanities  Charter School,Mercer,K. Charter/Ren,C,,,1,439.1,Mercer,
80,6183,9086147,2696918,2224584,137676,334658,0,0,5209824,3850893,1179405,0,0,0,0,Trenton Stem-To-Civics Cs,Mercer,K. Charter/Ren,C,,,1,583.5,Mercer,
80,6810,1250568,704460,687910,8694,7856,70445,60892,394378,330671,60653,0,20631,0,0,International Charter School,Mercer,K. Charter/Ren,C,,,1,108,Mercer,
80,7500,6043424,3378101,3179271,91086,107744,0,0,1649308,1326250,1016015,107854,0,0,0,Pace Cs Of Hamilton,Mercer,K. Charter/Ren,C,,,1,439.9,Mercer,
80,7540,6589373,4425560,4185479,145609,94472,205142,117400,1340387,905028,614285,85860,0,3999,1291,Princeton Cs,Mercer,K. Charter/Ren,C,,,1,421,Mercer,
80,7895,4903132,1880189,1674057,16114,190018,0,0,1875540,1123392,1147403,39355,0,0,0,Achievers Early College Prep Charter Sch,Mercer,K. Charter/Ren,C,,,1,341.8,Mercer,
80,7902,,,,,,,,,,,,,,,Mccorristin Charter School District,Mercer,K. Charter/Ren,C,,,1,,Mercer,
80,8140,4770874,2671651,2224721,234544,212386,283554,283554,1094808,890683,720861,144496,0,0,657206,Village Cs,Mercer,K. Charter/Ren,C,,,1,357.7,Mercer,
80,6032,7058724,3088832,2570325,64891,453616,663547,634872,1758001,1273027,1409680,799009,23000,115663,3880,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter/Ren,C,,,1,370.3,Middlesex,
80,6041,7923830,4959175,4746377,132258,80540,0,0,1545360,1304133,1409113,0,0,0,0,Hatikvah International Cs,Middlesex,K. Charter/Ren,C,,,1,596.1,Middlesex,
80,6635,6222093,3498267,3414715,67325,16227,0,0,2476764,2053358,186893,0,60169,0,0,Greater Brunswick Cs,Middlesex,K. Charter/Ren,C,,,1,395.5,Middlesex,
80,7896,6279660,3558990,3413378,68657,76955,0,0,1192489,773166,1528180,507496,0,0,1561,Middlesex Charter School,Middlesex,K. Charter/Ren,C,,,1,438.6,Middlesex,
80,6010,3599028,1768613,1655226,17148,96239,615387,615387,646335,556586,531976,32913,36717,0,11659,Academy Charter High School,Monmouth,K. Charter/Ren,C,,,1,179.1,Monmouth,
80,6740,3961925,2288228,2093225,131823,63180,0,0,967684,624071,706013,302146,0,0,12220,Hope Academy Cs,Monmouth,K. Charter/Ren,C,,,1,275.6,Monmouth,
80,7720,3186085,1979617,1906144,13860,59613,463185,427812,492782,246775,89147,0,58433,10092,1388,The Red Bank Cs,Monmouth,K. Charter/Ren,C,,,1,179.4,Monmouth,
80,7891,10777879,5503969,5303230,39269,161470,0,0,3103534,1463504,2170376,1099919,0,0,6429,College Achieve Greater Asbury Park Char,Monmouth,K. Charter/Ren,C,,,1,536.5,Monmouth,
80,8050,4156835,2299493,2185695,26885,86913,0,0,1019235,815726,817047,511843,0,0,11658,Unity Cs,Morris,K. Charter/Ren,C,,,1,253,Morris,
80,7893,6926591,4772607,4385859,204183,182565,0,0,1508493,607337,645490,52146,0,0,35,Ocean Academy Charter School,Ocean,K. Charter/Ren,C,,,1,443.4,Ocean,
80,6021,11882173,3884223,3798985,8283,76955,0,0,2677941,2141058,5320009,1594534,0,0,0,Community Charter School Of Paterso,Passaic,K. Charter/Ren,C,,,1,885,Passaic,
80,6079,11079216,5070673,4466328,35249,569096,552044,464992,2062946,819188,3393552,626042,0,0,102369,John P Holland Charter School,Passaic,K. Charter/Ren,C,,,1,594.1,Passaic,
80,6080,25496693,13784019,12720201,685505,378313,0,0,8273480,3799327,3439194,0,0,0,148360,Passaic Arts And Science Charter School,Passaic,K. Charter/Ren,C,,,1,1933.6,Passaic,
80,6096,16433568,8470353,7754902,459518,255933,0,0,4763744,1921133,3199471,0,0,0,125335,Paterson Arts And Science Charter School,Passaic,K. Charter/Ren,C,,,1,1173,Passaic,
80,6106,8235421,3823058,3767435,6643,48980,0,0,2539543,2003773,1872820,165488,0,0,0,Philip’s Charter School Of Paterson,Passaic,K. Charter/Ren,C,,,1,509.9,Passaic,
80,6230,1614227,720940,713844,653,6443,94295,80839,356437,300512,442555,60669,0,0,2700,Classical Academy Charter School Of Clif,Passaic,K. Charter/Ren,C,,,1,161.7,Passaic,
80,7503,21710460,11442836,11008383,311430,123023,1507038,1345685,5698190,4914482,2393009,1564629,0,662306,87100,Paterson Cs For Sci/Tech,Passaic,K. Charter/Ren,C,,,1,1614.8,Passaic,
80,7892,21256884,10468445,6988751,20365,3459329,0,0,5910850,3938649,4877589,480663,0,0,12156,College Achieve Paterson Charter School,Passaic,K. Charter/Ren,C,,,1,1276.3,Passaic,
80,7899,,,,,,,,,,,,,,,Brilla New Jersey Charter School,Passaic,K. Charter/Ren,C,,,1,,Passaic,
80,7897,2823440,1738278,1607653,86476,44149,0,0,735086,97106,304575,31871,45501,0,7200,Creativity Colaboratory Charter School,Salem,K. Charter/Ren,C,,,1,191,Salem,
80,6018,17112177,9730902,9136708,275634,318560,1062075,849892,3033087,2485284,3095394,754224,0,186536,0,Central Jersey College Prep Charter Scho,Somerset,K. Charter/Ren,C,,,1,1279.6,Somerset,
80,6081,7369775,4469518,4201657,176039,91822,0,0,1121805,963413,1778452,1329141,0,0,0,Thomas Edison Energysmart Charter School,Somerset,K. Charter/Ren,C,,,1,603.3,Somerset,
80,7850,3861178,2194458,2068046,82621,43791,490286,437852,674037,518101,424580,121666,0,77817,0,Sussex County Technology Charter School,Sussex,K. Charter/Ren,C,,,1,222.6,Sussex,
80,6033,3823840,2242282,1832091,214290,195901,61419,38916,1102038,819481,292931,0,0,0,0,The Barack Obama Green Charter High Scho,Union,K. Charter/Ren,C,,,1,260,Union,
80,6101,22795854,11659794,9552046,86130,2021618,0,0,5997861,3257691,5115064,789132,23135,0,0,College Achieve Central Charter School,Union,K. Charter/Ren,C,,,1,1395.3,Union,
80,6102,6453066,3156861,2997500,50510,108851,0,0,1915955,1156706,1296347,271841,83903,0,17296,Cresthaven Academy Charter School,Union,K. Charter/Ren,C,,,1,522,Union,
80,7600,4811513,2473555,1864182,114760,494613,258544,136495,1521530,973490,519392,0,25000,10280,0,Queen City Academy Cs,Union,K. Charter/Ren,C,,,1,395,Union,
80,8010,4188411,2185856,1950805,116259,118792,0,0,890979,418030,1111576,124525,0,0,0,Union County Teams Cs,Union,K. Charter/Ren,C,,,1,327.6,Union,
80,7727,2314183,1393957,1354834,31748,7375,0,0,555304,443995,364922,94511,0,0,105497,Ridge And Valley Cs,Warren,K. Charter/Ren,C,,,1,129,Warren,
