GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,31297,0.149,0.802,0.048,0,0,0.001,9.8,97.1,113.3,0.1309
A. K-6,Bergen,3870,Oradell Boro,23984,0.259,0.721,0.02,0,0,0,12.5,77.3,110.4,0.1035
A. K-6,Bergen,4410,River Edge Boro,24523,0.346,0.603,0.034,0.017,0,0,12.2,56.7,119,0.1126
A. K-6,Bergen,4620,Saddle River School District,40063,0.17,0.787,0.022,0.019,0,0.002,8,38.3,28.8,0.113
A. K-6,Burlington,830,Chesterfield Twp,28308,0.359,0.601,0.017,0.003,0,0.02,10.6,57.7,115.3,0.1604
A. K-6,Burlington,2960,Mansfield Twp,32051,0.262,0.708,0.018,0.011,0,0.001,9.6,61.2,91.8,0.1397
A. K-6,Burlington,3650,North Hanover Twp,29782,0.556,0.092,0.349,0,0,0.003,9.9,51.5,142.1,0.1196
A. K-6,Burlington,5010,Springfield Twp,23380,0.318,0.611,0.063,0.008,0,0,13.1,144,84.7,0.1667
A. K-6,Camden,2540,Laurel Springs Boro,26343,0.544,0.402,0.054,0,0,0,11.8,94,94,0.1809
A. K-6,Camden,3770,Oaklyn Boro,26202,0.445,0.49,0.055,0.004,0,0.006,8.3,179.3,134.5,0.1078
A. K-6,Camden,5560,Waterford Twp,24880,0.545,0.409,0.034,0.002,0,0.01,10.2,70.2,132.3,0.1458
A. K-6,Cape May,710,Cape May City,56849,0.38,0.244,0.363,0.003,0,0.01,6.1,77.5,51.7,0.0839
A. K-6,Cape May,2840,Lower Twp,25276,0.398,0.54,0.048,0,0,0.014,11,43.2,158.6,0.1598
A. K-6,Cape May,5610,West Cape May Boro,32633,0.442,0.497,0.061,0,0,0,8.4,40.5,81,0.0988
A. K-6,Essex,1400,Essex Fells Boro,31489,0.238,0.729,0.021,0.012,0,0,7.9,48.3,123.5,0.1093
A. K-6,Essex,1465,Fairfield Twp,22980,0.236,0.749,0.011,0.004,0,0,10.6,78,146.3,0.1083
A. K-6,Essex,3630,North Caldwell Boro,32314,0.202,0.614,0.022,0.003,0.032,0.127,9.7,79.8,135.6,0.1445
A. K-6,Essex,4530,Roseland Boro,31457,0.238,0.724,0.033,0.005,0,0,10,49.1,147.3,0.1606
A. K-6,Gloucester,1180,East Greenwich Twp,24525,0.458,0.524,0.016,0.001,0,0.001,11.3,75.9,121.5,0.1325
A. K-6,Gloucester,1330,Elk Twp,27042,0.53,0.38,0.067,0.022,0,0.001,10.8,108.4,173.5,0.1268
A. K-6,Gloucester,1590,Franklin Twp,24146,0.456,0.406,0.052,0.08,0.006,0,11.4,73.1,164.4,0.1316
A. K-6,Gloucester,2070,Harrison Twp,21291,0.413,0.554,0.025,0.006,0,0.002,12.7,107.5,151.2,0.0816
A. K-6,Gloucester,2990,Mantua Twp,23882,0.445,0.508,0.034,0.004,0,0.009,11.3,68.7,152.4,0.1328
A. K-6,Gloucester,3490,National Park Boro,26462,0.621,0.294,0.066,0.008,0,0.011,9.3,82,0,0.2056
A. K-6,Gloucester,4880,South Harrison Twp,24528,0.426,0.529,0.036,0.002,0,0.007,11.3,117,175.5,0.1225
A. K-6,Gloucester,5120,Swedesboro-Woolwich,27677,0.494,0.482,0.023,0,0,0.001,10.1,62.4,156.1,0.1742
A. K-6,Gloucester,5590,Wenonah Boro,30320,0.241,0.716,0.032,0.008,0,0.003,8.2,42.6,162,0.1975
A. K-6,Gloucester,5740,Westville Boro,28875,0.638,0.298,0.047,0.009,0,0.008,10,63.4,184,0.1848
A. K-6,Gloucester,5870,Woodbury Heights Boro,23029,0.465,0.489,0.036,0.009,0,0.001,9.8,98.1,127.5,0.1176
A. K-6,Hunterdon,1970,Hampton Boro,34378,0.384,0.469,0.092,0,0.05,0.005,8.5,46.7,112,0.1875
A. K-6,Hunterdon,2590,Lebanon Boro,33020,0.207,0.734,0.012,0.012,0.036,0,7.1,49.4,44.5,0.2247
A. K-6,Hunterdon,3180,Milford Boro,32989,0.236,0.665,0.056,0.002,0,0.041,7.6,69,0,0.1594
A. K-6,Monmouth,130,Atlantic Highlands Boro,31440,0.256,0.694,0.033,0.004,0,0.013,8.8,47,94,0.1596
A. K-6,Monmouth,2160,Highlands Boro,44650,0.25,0.614,0.049,0,0.082,0.005,7.9,80,160,0.2
A. K-6,Monmouth,4520,Roosevelt Boro,26404,0.372,0.556,0.044,0.028,0,0,39.5,10.5,43.5,0.1149
A. K-6,Morris,3240,Mine Hill Twp,31319,0.414,0.528,0.052,0,0,0.006,11.1,91.5,122,0.1148
A. K-6,Ocean,230,Beach Haven Boro,44460,0.259,0.685,0.056,0,0,0,6.3,21,63,0.0794
A. K-6,Ocean,320,Berkeley Twp,23442,0.345,0.588,0.052,0.002,0,0.013,11.4,66.5,184.1,0.1851
A. K-6,Ocean,1150,Eagleswood Twp,28994,0.346,0.609,0.044,0,0,0.001,10,375,37.5,0.12
A. K-6,Ocean,2350,Island Heights Boro,28158,0.318,0.634,0.044,0,0,0.004,10.9,82.4,70,0.1071
A. K-6,Ocean,2690,Little Egg Harbor Twp,27976,0.511,0.359,0.091,0.035,0,0.004,9.9,67.9,143.7,0.1784
A. K-6,Ocean,2760,Long Beach Island,52015,0.244,0.709,0.038,0.008,0,0.001,6.3,47.3,63,0.1164
A. K-6,Ocean,3800,Ocean Gate Boro,35777,0.381,0.491,0.121,0,0,0.007,7.6,66,66,0.1818
A. K-6,Ocean,3820,Ocean Twp,23185,0.294,0.661,0.036,0.005,0,0.004,11.6,57.8,192.7,0.1834
A. K-6,Ocean,4710,Seaside Heights Boro,42930,0.319,0.573,0.095,0.003,0,0.01,6.9,31.4,73.3,0.2303
A. K-6,Ocean,5020,Stafford Twp,23141,0.349,0.608,0.039,0.001,0,0.003,13.1,84.2,194.3,0.1443
A. K-6,Ocean,5220,Tuckerton Boro,28533,0.522,0.414,0.051,0,0,0.013,8.9,75.5,80.5,0.1192
A. K-6,Sussex,1630,Fredon Twp,35627,0.211,0.729,0.048,0.001,0,0.011,10,62,62,0.1237
A. K-6,Sussex,1980,Hampton Twp,29121,0.256,0.707,0.026,0.011,0,0,8.5,67.5,114.6,0.172
A. K-6,Sussex,4650,Sandyston-Walpack Twp,33413,0.238,0.597,0.155,0.01,0,0,10.1,45.7,64,0.1484
A. K-6,Sussex,5040,Stillwater Twp,30760,0.322,0.613,0.049,0.004,0,0.012,8.6,71.8,110.4,0.1916
A. K-6,Warren,400,Blairstown Twp,28714,0.272,0.684,0.041,0.003,0,0,8.2,51.3,87.3,0.1862
A. K-6,Warren,1620,Franklin Twp,33232,0.275,0.551,0.047,0,0.065,0.062,8.1,52.4,71.7,0.0465
A. K-6,Warren,1670,Frelinghuysen Twp,28813,0.242,0.701,0.048,0.009,0,0,10,59.5,66.1,0.1092
A. K-6,Warren,2470,Knowlton Twp,30054,0.268,0.685,0.043,0.004,0,0,9,41.2,59,0.1695
A. K-6,Warren,2970,Mansfield Twp,26830,0.495,0.466,0.036,0.003,0,0,9.9,51.3,153.9,0.1641
A. K-6,Warren,5480,Washington Boro,24190,0.557,0.374,0.069,0,0,0,12,57.2,190.7,0.1066
A. K-6,Warren,5530,Washington Twp,28520,0.303,0.621,0.059,0,0,0.017,9.9,37.6,101.8,0.1425
