CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
3,745,14940211,7851245,7252023,491645,107577,2792994,1831361,1750009,1308011,1899669,1031246,0,616546,369653,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,45,CD,,1,757,Bergen,
3,890,46973208,29445986,27593485,708081,1144420,6782224,4502522,5347412,3996102,3641745,1856724,44124,1005531,296347,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,32,B,,1,3043.5,Bergen,
3,930,19551053,11806660,11013828,514815,278017,3562089,2927148,2197721,1846499,1896081,1037180,0,84384,123976,Closter Boro,Bergen,D. K-8 / 751 +,23,I,,1,1204,Bergen,
3,990,30067857,19411025,17221992,681925,1507108,3550210,2926286,3437179,2954440,2950687,1457275,8600,710155,20101,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,31,I,,1,1696,Bergen,
3,1070,14770101,8516623,7963028,319384,234211,2456478,2024532,1714352,1374210,1862772,897849,0,157947,328654,Demarest Boro,Bergen,D. K-8 / 751 +,23,I,,1,767.4,Bergen,
3,1130,41638252,25701459,24328217,1199620,173622,4387508,3897634,5277552,4638383,5291383,2879512,0,902518,6314,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,32,FG,,1,2555.4,Bergen,
3,1230,17183620,10819250,10122162,281323,415765,2395268,1871453,2167543,1759966,1701289,833269,0,51408,20909,East Rutherford Boro,Bergen,D. K-8 / 751 +,23,CD,,1,743.9,Bergen,
3,1270,12528415,6884456,6085333,506227,292896,2344640,1431009,1503241,1306338,1517367,736703,96203,20922,0,Edgewater Boro,Bergen,A. K-6,1,DE,,1,659,Bergen,
3,1345,36138451,19378266,18652320,444523,281423,6573773,4783020,5324175,4494883,3969978,2044126,20000,854223,47333,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,32,CD,,1,2534.1,Bergen,
3,1360,19991882,11433693,10602779,433706,397208,2474383,2101631,2543868,2366438,2503329,1435736,0,995039,156159,Emerson Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,1056.2,Bergen,
3,1370,55418073,32064562,27260254,946233,3858075,10029824,6811493,6135834,4483284,5990120,985991,0,1171480,345497,Englewood City,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2881.6,Bergen,
3,1380,11191102,6232762,5950320,143809,138633,2534854,2077751,1108302,870488,1278547,733209,0,13897,205902,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,389.3,Bergen,
3,1450,95029043,57166578,53435912,1432590,2298076,15331088,12626702,9817519,8389898,10532635,3441233,0,1659737,532303,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,33,GH,,1,5499.7,Bergen,
3,1470,18523904,10345352,9858525,287185,199642,3308778,2760533,2804600,2459910,1966307,743434,0,51091,373126,Fairview Boro,Bergen,D. K-8 / 751 +,23,A,,1,1553,Bergen,
3,1550,67166230,39220369,37360323,1655925,204121,12505204,10157255,7106782,5486699,6779474,2628971,0,1376565,152395,Fort Lee Boro,Bergen,G. K-12 / 3501 +,33,FG,,1,4010.2,Bergen,
3,1580,32110224,20217710,19534136,587619,95955,5583034,5241193,2926566,2724759,3293802,494511,29084,60028,29629,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,23,I,,1,1209.5,Bergen,
3,1700,94288857,58015040,56728208,616461,670371,14230771,11065290,10839462,9455031,10072382,5750131,0,885651,129082,Garfield City,Bergen,G. K-12 / 3501 +,33,B,1,1,4690.3,Bergen,
3,1760,47386181,28614273,25477399,795091,2341783,7025959,4513171,4999916,4136554,5654993,1081358,0,1091040,529262,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,32,J,,1,2590.8,Bergen,
3,1860,108215379,63754897,57299965,3195199,3259733,18399553,13964790,10716852,9043040,13533857,5330821,0,1773720,811272,Hackensack City,Bergen,G. K-12 / 3501 +,33,CD,,1,5181.7,Bergen,
3,2050,12145195,7520013,7285784,127445,106784,1989325,1531741,1308031,1060610,1196166,438456,0,123773,5463,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,617.6,Bergen,
3,2080,30856448,17604122,16490967,411268,701887,5166058,4282552,3151414,2686143,3936216,1708368,0,986591,336686,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,31,FG,,1,1720.7,Bergen,
3,2090,9384039,5691890,5412865,143423,135602,1544434,1200504,896109,653674,1188706,638937,0,62900,352429,Haworth Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,425.9,Bergen,
3,2180,22583253,13344986,13023515,289549,31922,4300386,2944113,2153221,1705976,2637922,441087,0,146433,40669,Hillsdale Boro,Bergen,D. K-8 / 751 +,23,GH,,1,1102.1,Bergen,
3,2200,10313494,5733480,5593585,101767,38128,2095176,1933650,1337449,1111383,1124522,629589,0,22867,0,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,22,J,,1,545.7,Bergen,
