CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
A. Statewide,N.A.,State Average:   All Operating Types,N.A.,N.A.,28817,,N.A.,N.A.,29950,,N.A.,N.A.
A. Statewide,N.A.,State Median:    All Operating Types,N.A.,N.A.,28087,,N.A.,N.A.,29241,,N.A.,N.A.
Atlantic,10,Absecon City,24361150,998,24408,16,26125531,987,26470,25,"K. K-12|K-8,751+",KK-12K-8751plus
Atlantic,110,Atlantic City,231012944,6440,35871,89,247786930,6438,38490,94,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,120,Atlantic Co Vocational,42971170,1735,24763,8,48688295,1772,27474,9,CoVoc|County Voc,
Atlantic,125,Atlantic Co Special Serv,20062097,313,64177,1,21531697,328,65716,1,P. CSSD,PCSSD
Atlantic,570,Brigantine City,23301282,440,52944,74,23651205,411,57558,75,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,590,Buena Regional,57069125,1632,34960,47,56350439,1720,32771,37,"L. K-12|K-12,0-1800",LK-12K-120-1800
Atlantic,960,Corbin City,1191963,64,18624,3,1232732,64,19261,2,K-12|Non-Operating,
Atlantic,1300,Egg Harbor City,18494721,571,32382,58,17959487,585,30690,42,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,1310,Egg Harbor Twp,211365197,7478,28264,49,228932460,7421,30850,63,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,1410,Estell Manor City,6328854,241,26279,13,6342257,240,26430,12,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1540,Folsom Boro,12130044,425,28568,30,12615150,429,29413,28,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1690,Galloway Twp,89655582,3177,28221,40,93528744,3123,29950,39,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1790,Greater Egg Harbor Reg,106937586,3042,35151,31,110354647,3080,35827,27,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,1940,Hamilton Twp,70643707,2892,24425,17,78534385,2900,27079,28,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1960,Hammonton Town,81795879,3395,24096,7,82088982,3311,24793,8,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Atlantic,2680,Linwood City,20145856,856,23544,10,20428264,835,24467,10,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,2780,Longport,1501989,60,25033,6,1551547,50,31031,12,K-12|Non-Operating,
Atlantic,2910,Mainland Regional,38938869,1178,33059,24,40630979,1177,34519,22,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,3020,Margate City,16145140,372,43362,70,19629641,347,56519,73,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,3480,Mullica Twp,17799264,643,27696,29,21404027,626,34188,59,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,3720,Northfield City,24259815,943,25717,25,26275932,923,28481,33,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,4180,Pleasantville City,113628254,3941,28829,58,125142047,3902,32073,73,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,4240,Port Republic City,3809856,161,23607,4,3995353,166,24137,2,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,4800,Somers Point City,24172178,790,30583,51,25642205,746,34373,61,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,5350,Ventnor City,26932630,647,41634,68,27153429,602,45091,67,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,5760,Weymouth Twp,5328577,197,27038,21,6516717,225,28916,24,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,6060,Atlantic Community Chart,9767979,327,29899,81,10119018,333,30424,76,Charter/Ren|Charter/Re,
Atlantic,6104,Principle Academy Charter School,11250496,465,24215,52,12774710,460,27795,68,Charter/Ren|Charter/Re,
Atlantic,7410,Charter~tech High School,9690394,354,27413,73,10557605,310,34024,80,Charter/Ren|Charter/Re,
Bergen,40,Allendale Boro,22788482,920,24772,19,26580224,904,29401,38,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,80,Alpine Boro,8801869,211,41714,69,9815122,221,44386,69,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,285,Bergen Co Special Service,67978848,590,115269,7,72294295,596,121223,7,P. CSSD,PCSSD
Bergen,290,Bergen County Vocational,99872176,2646,37750,17,104037702,2754,37783,19,CoVoc|County Voc,
Bergen,300,Bergenfield Boro,100211545,3738,26813,33,105233503,3782,27822,36,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,440,Bogota Boro,36480124,1398,26100,10,40110968,1416,28335,19,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,740,Carlstadt Boro,21128012,546,38687,66,18818892,513,36708,65,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,745,Carlstadt-East Rutherford,24671848,780,31650,16,26835844,848,31650,15,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,890,Cliffside Park Boro,75568848,3087,24480,9,76885363,3110,24721,7,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,930,Closter Boro,29431830,1228,23968,13,31381701,1215,25826,16,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,990,Cresskill Boro,46837732,1715,27311,19,48121810,1740,27651,17,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,1070,Demarest Boro,22571675,778,28996,46,26439210,783,33759,63,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1130,Dumont Boro,66742954,2632,25355,17,76769671,2608,29432,40,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,1230,East Rutherford Boro,25409526,750,33882,69,27209372,769,35391,65,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,1270,Edgewater Boro,32880496,1219,26972,28,37970467,1213,31297,38,H. K-12|K-6,HK-12K-6
Bergen,1345,Elmwood Park,64423920,2586,24912,12,73414525,2615,28074,29,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
